cluster	Samples	proportion
1	TRM_0	N1	0.30939226519337
2	TRM_1	N1	0.104972375690608
3	TRM_2	N1	0.193370165745856
4	TRM_3	N1	0.0497237569060773
5	TRM_4	N1	0.226519337016575
6	TRM_5	N1	0.116022099447514
7	TRM_0	N2	0.0354609929078014
8	TRM_1	N2	0.498817966903073
9	TRM_2	N2	0.340425531914894
10	TRM_3	N2	0.0118203309692671
11	TRM_4	N2	0.0851063829787234
12	TRM_5	N2	0.0283687943262411
13	TRM_0	T1	0.445405405405405
14	TRM_1	T1	0.0389189189189189
15	TRM_2	T1	0.0194594594594595
16	TRM_3	T1	0.313513513513514
17	TRM_4	T1	0.0940540540540541
18	TRM_5	T1	0.0886486486486486
19	TRM_0	T2	0.294117647058824
20	TRM_1	T2	0.0588235294117647
21	TRM_2	T2	0.0294117647058824
22	TRM_3	T2	0.294117647058824
23	TRM_4	T2	0.235294117647059
24	TRM_5	T2	0.0882352941176471
