p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.diff
9.73765864809221e-78	1.04707880883687	0.983	0.852	2.23362414069939e-73	0	RPS26	0.131
1.77463992648067e-54	1.10925210013155	0.766	0.356	4.07066906336137e-50	0	IGKC	0.41
1.81852314449276e-41	1.33456616338488	0.587	0.269	4.17132838883749e-37	0	IGHG4	0.318
3.43614608723553e-32	1.63058474597337	0.434	0.191	7.88183189490085e-28	0	ERN1	0.243
8.49057724906359e-31	0.929631684323963	0.724	0.493	1.94756860939021e-26	0	LITAF	0.231
2.31019805492514e-30	1.04867250723594	0.483	0.224	5.29913229838729e-26	0	IGLC2	0.259
1.89765571765196e-28	1.06631235444864	0.662	0.406	4.35284268515006e-24	0	KLF2	0.256
3.85541409365598e-28	0.822382075736915	0.869	0.726	8.8435488480281e-24	0	IRF1	0.143
5.83878605113891e-24	0.70025249343061	0.915	0.8	1.33930074441024e-19	0	TNFAIP3	0.115
5.19078014380061e-21	1.00420263268074	0.529	0.325	1.19066114938498e-16	0	AC016831.5	0.204
1.22212990479875e-20	0.731569593310208	0.873	0.747	2.80332157562738e-16	0	DUSP2	0.126
1.83567240412216e-20	1.32553060644301	0.394	0.202	4.2106653605754e-16	0	IGHG1	0.192
2.37970906958826e-20	0.737353135790223	0.763	0.616	5.45857666382156e-16	0	CNOT6L	0.147
3.25687403262561e-20	0.699331504352106	0.747	0.579	7.47061765603663e-16	0	STAT3	0.168
3.52970917604972e-20	0.534135405776425	0.963	0.909	8.09644690802284e-16	0	NEAT1	0.0539999999999999
6.50190257806212e-20	0.974043525258702	0.537	0.345	1.49140641335589e-15	0	AC058791.1	0.192
7.14684073024235e-19	0.847258967543321	0.861	0.772	1.63934232670299e-14	0	NFKBIA	0.089
3.8555298452222e-18	0.557391644158829	0.873	0.762	8.84381435897069e-14	0	CST7	0.111
3.99768154114568e-18	1.00291458899752	0.585	0.392	9.16988191907996e-14	0	IL7R	0.193
1.34418670481031e-17	1.32505501016447	0.39	0.227	3.08329546349388e-13	0	GCHFR	0.163
2.13990680295728e-17	1.0177700493821	0.492	0.316	4.90851822462342e-13	0	MIAT	0.176
2.40326666269453e-17	1.21554259076838	0.473	0.308	5.51261307088872e-13	0	CMC1	0.165
7.60830518588822e-16	0.938679581492487	0.598	0.439	1.74519304353904e-11	0	NFKBIZ	0.159
1.45223004555248e-15	0.510409348307082	0.849	0.734	3.33112527848828e-11	0	STK17A	0.115
5.38845548889698e-15	0.626017039400114	0.77	0.654	1.23600392004319e-10	0	PIK3R1	0.116
2.06551984652117e-14	0.507897560834301	1	0.971	4.73788942395026e-10	0	HSP90AA1	0.029
2.07329271757244e-14	1.18407686422639	0.355	0.204	4.75571883556767e-10	0	IFNGR1	0.151
2.33616964246599e-14	1.47000758261661	0.403	0.256	5.35870592588848e-10	0	CEBPD	0.147
5.51929455032191e-14	0.633085478148873	0.847	0.751	1.26601578395284e-09	0	BTG2	0.096
3.23711425217589e-13	0.847925422769632	0.639	0.497	7.42529267164106e-09	0	VMP1	0.142
9.87436136941983e-13	1.13155339200821	0.382	0.244	2.26498101091752e-08	0	UPP1	0.138
1.05897469004265e-12	0.604449776244244	0.598	0.439	2.42907614401982e-08	0	GBP5	0.159
1.96730739545568e-12	0.644761412018334	0.938	0.853	4.51260970369624e-08	0	DNAJB1	0.085
3.28032584238129e-12	1.11191266878551	0.382	0.244	7.5244114172542e-08	0	MAP3K8	0.138
5.08828714164567e-12	1.01109245592521	0.386	0.248	1.16715130455068e-07	0	SOCS3	0.138
7.43039482218348e-12	0.638137990173287	0.631	0.495	1.70438396431245e-07	0	GIMAP7	0.136
1.7610108172208e-11	0.51826762319331	0.778	0.642	4.03940661254107e-07	0	ISG20	0.136
2.84874794880593e-11	0.671135574947583	0.654	0.512	6.53445804497104e-07	0	DUSP4	0.142
6.72422442869378e-11	0.778259608191904	0.506	0.381	1.54240259945378e-06	0	HIF1A	0.125
1.03633327517522e-10	0.527998247586267	0.732	0.602	2.37714126659693e-06	0	CACYBP	0.13
1.25760367953894e-10	0.824706882799039	0.492	0.373	2.88469132012643e-06	0	METRNL	0.119
1.9422539000662e-10	0.656564765318754	0.627	0.487	4.45514199597186e-06	0	ARID5B	0.14
2.08889698854088e-10	1.07645472497313	0.438	0.321	4.79151191231506e-06	0	PLIN2	0.117
2.26946979165887e-10	0.587034743203655	0.554	0.412	5.20570980810712e-06	0	GBP2	0.142
9.0633122947442e-10	0.537247553734991	0.55	0.425	2.07894257416842e-05	0	BTN3A2	0.125
1.10902298169122e-09	0.842366790083522	0.373	0.254	2.54387691540333e-05	0	PIM2	0.119
1.14920921159809e-09	0.733406753860399	0.431	0.312	2.63605608956371e-05	0	NAA50	0.119
1.23684627545428e-09	0.771353968402386	0.483	0.354	2.83707798663703e-05	0	PPP1R14B	0.129
2.6831937354783e-09	1.73282809092505	0.697	0.576	6.15470979044012e-05	0	MT2A	0.121
5.10485621084949e-09	0.635635602508887	0.427	0.308	0.000117095191764466	0	ARID5A	0.119
5.18308024288263e-09	0.613259287976072	0.674	0.587	0.000118889494611242	0	SOCS1	0.0870000000000001
7.15679419773495e-09	0.916878463447872	0.409	0.302	0.000164162545307644	0	PIM3	0.107
9.37568323266548e-09	0.636367405681596	0.446	0.33	0.000215059421990881	0	HERPUD2	0.116
