p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.diff
9.73765864809221e-78	1.04707880883687	0.983	0.852	2.23362414069939e-73	0	RPS26	0.131
1.77463992648067e-54	1.10925210013155	0.766	0.356	4.07066906336137e-50	0	IGKC	0.41
3.79186787545421e-53	-0.936763997829941	0.959	0.952	8.69778653271688e-49	0	ACTB	0.00700000000000001
2.84688451969489e-47	-4.36685997680838	0.041	0.373	6.53018371127614e-43	0	KRT13	-0.332
1.81852314449276e-41	1.33456616338488	0.587	0.269	4.17132838883749e-37	0	IGHG4	0.318
5.97712070725849e-36	-0.93067420263878	0.68	0.844	1.37103194783095e-31	0	CORO1A	-0.164
3.43614608723553e-32	1.63058474597337	0.434	0.191	7.88183189490085e-28	0	ERN1	0.243
8.49057724906359e-31	0.929631684323963	0.724	0.493	1.94756860939021e-26	0	LITAF	0.231
2.31019805492514e-30	1.04867250723594	0.483	0.224	5.29913229838729e-26	0	IGLC2	0.259
7.49977622584112e-29	-0.705203096661392	0.88	0.897	1.72029867068344e-24	0	PFN1	-0.017
1.89765571765196e-28	1.06631235444864	0.662	0.406	4.35284268515006e-24	0	KLF2	0.256
3.85541409365598e-28	0.822382075736915	0.869	0.726	8.8435488480281e-24	0	IRF1	0.143
1.1531162869947e-27	-0.889299892729121	0.693	0.802	2.64501813910845e-23	0	TRAC	-0.109
9.74706654000971e-25	-0.748999648107938	0.708	0.838	2.23578212294743e-20	0	CD3G	-0.13
5.83878605113891e-24	0.70025249343061	0.915	0.8	1.33930074441024e-19	0	TNFAIP3	0.115
1.49490717672781e-22	-0.514679933894084	0.925	0.916	3.42901808197825e-18	0	CFL1	0.00900000000000001
1.78340038647395e-21	-0.957006590982947	0.527	0.699	4.09076380649396e-17	0	CD63	-0.172
3.458145629316e-21	-1.2998614242214	0.139	0.35	7.93229444452503e-17	0	S100A9	-0.211
5.19078014380061e-21	1.00420263268074	0.529	0.325	1.19066114938498e-16	0	AC016831.5	0.204
1.22212990479875e-20	0.731569593310208	0.873	0.747	2.80332157562738e-16	0	DUSP2	0.126
1.83567240412216e-20	1.32553060644301	0.394	0.202	4.2106653605754e-16	0	IGHG1	0.192
2.37970906958826e-20	0.737353135790223	0.763	0.616	5.45857666382156e-16	0	CNOT6L	0.147
3.25687403262561e-20	0.699331504352106	0.747	0.579	7.47061765603663e-16	0	STAT3	0.168
3.52970917604972e-20	0.534135405776425	0.963	0.909	8.09644690802284e-16	0	NEAT1	0.0539999999999999
6.01318675197928e-20	-0.518396446612892	0.913	0.926	1.37930477716901e-15	0	ACTG1	-0.013
6.50190257806212e-20	0.974043525258702	0.537	0.345	1.49140641335589e-15	0	AC058791.1	0.192
8.37704730155586e-20	-0.740402127703884	0.498	0.713	1.92152711003088e-15	0	CD8A	-0.215
7.14684073024235e-19	0.847258967543321	0.861	0.772	1.63934232670299e-14	0	NFKBIA	0.089
1.00932909640743e-18	-0.605107670016359	0.847	0.893	2.31519908133937e-14	0	IL32	-0.046
3.8555298452222e-18	0.557391644158829	0.873	0.762	8.84381435897069e-14	0	CST7	0.111
3.99768154114568e-18	1.00291458899752	0.585	0.392	9.16988191907996e-14	0	IL7R	0.193
6.89697917378357e-18	-1.43261574181771	0.216	0.419	1.58202908288247e-13	0	ITGA1	-0.203
1.09764569694412e-17	-0.951241365136852	0.353	0.564	2.51777969965043e-13	0	BLOC1S1	-0.211
1.34418670481031e-17	1.32505501016447	0.39	0.227	3.08329546349388e-13	0	GCHFR	0.163
1.68489221982872e-17	-0.738703768555451	0.764	0.826	3.86480577384313e-13	0	S100A4	-0.0619999999999999
2.13990680295728e-17	1.0177700493821	0.492	0.316	4.90851822462342e-13	0	MIAT	0.176
2.40326666269453e-17	1.21554259076838	0.473	0.308	5.51261307088872e-13	0	CMC1	0.165
3.90387731731672e-17	-0.5245632208613	0.855	0.879	8.9547137904611e-13	0	MYL12A	-0.024
3.03904502958772e-16	-0.768145934143496	0.361	0.581	6.9709614888683e-12	0	CD8B	-0.22
7.60830518588822e-16	0.938679581492487	0.598	0.439	1.74519304353904e-11	0	NFKBIZ	0.159
7.77729334047184e-16	-1.02400072996917	0.247	0.45	1.78395554643743e-11	0	THEMIS	-0.203
1.45223004555248e-15	0.510409348307082	0.849	0.734	3.33112527848828e-11	0	STK17A	0.115
5.38845548889698e-15	0.626017039400114	0.77	0.654	1.23600392004319e-10	0	PIK3R1	0.116
7.13387954219277e-15	-0.57368354656376	0.618	0.747	1.63636928938818e-10	0	LSP1	-0.129
9.59593122571437e-15	-1.08320687374594	0.201	0.39	2.20111470455436e-10	0	BCL2	-0.189
2.06551984652117e-14	0.507897560834301	1	0.971	4.73788942395026e-10	0	HSP90AA1	0.029
2.07329271757244e-14	1.18407686422639	0.355	0.204	4.75571883556767e-10	0	IFNGR1	0.151
2.33616964246599e-14	1.47000758261661	0.403	0.256	5.35870592588848e-10	0	CEBPD	0.147
3.13773528509478e-14	-0.935527993496172	0.44	0.585	7.19733719695041e-10	0	CKLF	-0.145
5.51929455032191e-14	0.633085478148873	0.847	0.751	1.26601578395284e-09	0	BTG2	0.096
9.19240041096306e-14	-1.17697770848292	0.203	0.377	2.10855280626671e-09	0	FAM118A	-0.174
1.95910739153795e-13	-1.02203314994599	0.187	0.363	4.49380053470975e-09	0	ITGB7	-0.176
