Samples	group	TRM_0	TRM_1	TRM_2	TRM_3	TRM_4	TRM_5
1	ec10_GSM1297240	tumor	1.48690013160883	1.64925908109306	0.798362816092111	3.29968970404169	0.73693939881048	2.69807321576907
2	ec10_GSM1297241	normal	1.29910572334658	1.71095422372857	0.962590328704476	2.68213791454165	0.676177463430316	1.99769022426166
3	ec101_GSM1297310	tumor	1.4214486328391	1.54839863879787	0.785190725521535	3.22239663147731	0.866179070888924	2.49842459609609
4	ec101_GSM1297311	normal	1.57710610429953	1.88101459684	1.01704265574963	3.04130871429305	0.734206719176981	2.2632520656266
5	ec102_GSM1297220	tumor	1.45347254378236	1.71155263075052	0.792634581892325	3.27555314554117	0.607699726732036	2.51089849578972
6	ec102_GSM1297221	normal	1.55963297435324	1.82436924583116	1.023372985441	2.95989955512868	1.00827841183089	2.07620536954506
7	ec106_GSM1297312	tumor	1.5292937079097	1.67255675175152	0.876417199414245	3.35518955719417	0.834351390451696	2.60866239223417
8	ec106_GSM1297313	normal	1.4225733988769	1.69520107821845	0.960536162592759	2.6913504846524	0.865053849863366	1.95720722632017
9	ec108_GSM1297140	tumor	1.37328118946445	1.46793332169528	0.601825873657627	3.04847388114303	0.523468895675936	2.73798169074909
10	ec108_GSM1297141	normal	1.79125045299313	1.95743813843267	1.16359518099924	3.22037135161756	0.929352194181	2.23650339648809
11	ec11_GSM1297242	tumor	1.38792923075665	1.66478295570209	1.06210367127758	3.08115672006761	0.577640250763543	2.17909518400325
12	ec11_GSM1297243	normal	1.37332366352902	1.65221607144715	0.92929500174568	2.83212831255748	0.758318598296094	2.08562270306256
13	ec112_GSM1297222	tumor	1.11881162571481	1.31482234981133	0.646907164557129	2.86937275174772	0.238787976209613	2.65128029131399
14	ec112_GSM1297223	normal	1.47302440816789	1.65069216086013	0.920220344531562	2.98636161742542	0.779697797781707	2.21124141317121
15	ec117_GSM1297224	tumor	1.60525399822227	1.71695053842594	0.925288756677791	3.34124853228549	0.901382414402829	2.5794570401042
16	ec117_GSM1297225	normal	1.31149668698191	1.60072843598874	0.951882280048341	2.90073976961481	0.904918823340299	2.17767342140366
17	ec119_GSM1297142	tumor	1.38327613007384	1.80294039193054	0.736428529823219	3.22575420461364	0.445828644912393	2.46338286646754
18	ec119_GSM1297143	normal	1.29584544905294	1.81579433136039	0.996446633903905	3.01777172368207	0.683893264748432	2.26157538234744
19	ec12_GSM1297244	tumor	1.34991338273449	1.58295567744811	0.857803891723513	3.03235702630345	0.764909178588651	2.37684023170715
20	ec12_GSM1297245	normal	1.41675131556919	1.73092250969533	0.96890410790661	2.87817950107529	0.802362964153673	2.13575996788401
21	ec120_GSM1297144	tumor	1.42327676856623	1.70413734105852	0.718023935478159	3.31181061116146	0.52636232117023	2.51917174763213
22	ec120_GSM1297145	normal	1.320275518793	1.78284084555979	0.8776353017933	2.83476420364591	0.821973959170551	2.16854329865031
23	ec122_GSM1297146	tumor	1.42688716048346	1.64625209651536	0.718208273427267	3.39975069414828	0.302282591223276	2.78179524736318
24	ec122_GSM1297147	normal	1.4989038643411	1.7609293425344	0.913656077047032	3.04468173473018	0.482639447034239	2.25550146411137
25	ec129_GSM1297226	tumor	1.32782486005558	1.50898899786474	0.829096095327311	3.01104906089799	0.779376306060119	2.49338376702562
26	ec129_GSM1297227	normal	1.56960757593812	1.77259050934287	0.983006126157945	2.93503074862582	0.838370036971548	2.03548679919301
27	ec13_GSM1297246	tumor	1.51515785181473	1.75283865135846	1.06372320678303	3.04182342242494	0.583105610030542	2.38408614037067
28	ec13_GSM1297247	normal	1.57338770060849	1.81865539263954	0.992708140988311	2.99152359438907	0.93369233242244	2.239861330582
29	ec131_GSM1297148	tumor	1.22039563926276	1.54929728642166	0.270707068354261	3.32209043204839	0.498553287252853	2.63788758172695
30	ec131_GSM1297149	normal	1.46600275918286	1.63805321569627	0.867569035673136	2.9793983414024	0.779697797781707	2.304630355151
31	ec132_GSM1297150	tumor	1.8992543206706	2.04289838159734	1.03452179120201	3.55592029546814	0.639527407169265	2.59676384344979
32	ec132_GSM1297151	normal	1.53897381485436	1.80127872894232	1.01183612652142	2.93598057226907	0.910223436746504	2.24671369947135
33	ec134_GSM1297152	tumor	1.43795458866121	1.49202825823857	0.886769844331112	2.90693245510611	0.652226330171998	2.16401951298268
34	ec134_GSM1297153	normal	1.58166808715343	1.85269243640424	1.080088592738	3.0824318751952	0.881932165246745	2.33267486544366
