ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007059	BP	GO:0007059	chromosome segregation	57/373	423/18888	0.134751773049645	6.82356967657293	17.1932845783385	4.28726217124476e-31	9.22922416894616e-28	8.04235402558559e-28	CCDC69/CENPF/HJURP/ASPM/AURKB/BIRC5/BRCA1/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CDT1/CENPE/CENPH/CENPL/CENPN/DLGAP5/ECT2/ESCO2/ESPL1/FBXO5/KIF11/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/KNTC1/MAD2L1/MAD2L2/MYBL2/NDC80/NEK2/NUF2/NUSAP1/OIP5/P3H4/PRC1/SGO2/SKA1/SKA3/SMC2/SPAG5/SPC25/SPDL1/STIL/TACC3/TOP2A/TPX2/XRCC3/ZWINT	57
GO:0000070	BP	GO:0000070	mitotic sister chromatid segregation	41/373	188/18888	0.218085106382979	11.0434088186641	19.643248478592	5.03641155194879e-31	9.22922416894616e-28	8.04235402558559e-28	CENPF/AURKB/BIRC5/BUB1B/CCNB1/CDC20/CDCA5/CDCA8/CDK1/CDT1/CENPE/DLGAP5/ESPL1/FBXO5/KIF11/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/KNTC1/MAD2L1/MAD2L2/MYBL2/NDC80/NEK2/NUF2/NUSAP1/PRC1/SKA1/SKA3/SMC2/SPAG5/SPC25/SPDL1/TPX2/XRCC3/ZWINT	41
GO:0000819	BP	GO:0000819	sister chromatid segregation	43/373	229/18888	0.187772925764192	9.50845850357657	18.3864756868196	1.24978091641987e-29	1.52681568622627e-26	1.33046852646242e-26	CENPF/AURKB/BIRC5/BUB1B/CCNB1/CDC20/CDCA5/CDCA8/CDK1/CDT1/CENPE/DLGAP5/ESPL1/FBXO5/KIF11/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/KNTC1/MAD2L1/MAD2L2/MYBL2/NDC80/NEK2/NUF2/NUSAP1/PRC1/SKA1/SKA3/SMC2/SPAG5/SPC25/SPDL1/TACC3/TOP2A/TPX2/XRCC3/ZWINT	43
GO:0098813	BP	GO:0098813	nuclear chromosome segregation	47/373	317/18888	0.148264984227129	7.50785260611801	16.5853156807689	1.45271904941163e-27	1.3310538290234e-24	1.15988147260918e-24	CENPF/ASPM/AURKB/BIRC5/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CDT1/CENPE/DLGAP5/ECT2/ESPL1/FBXO5/KIF11/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/KNTC1/MAD2L1/MAD2L2/MYBL2/NDC80/NEK2/NUF2/NUSAP1/P3H4/PRC1/SKA1/SKA3/SMC2/SPAG5/SPC25/SPDL1/TACC3/TOP2A/TPX2/XRCC3/ZWINT	47
GO:0140014	BP	GO:0140014	mitotic nuclear division	44/373	277/18888	0.15884476534296	8.0435922997261	16.7619016394473	4.01458153787173e-27	2.46582170416054e-24	2.1487191930561e-24	CENPF/AURKB/BIRC5/BUB1B/CCNB1/CDC20/CDCA5/CDCA8/CDK1/CDT1/CENPE/DLGAP5/ESPL1/FBXO43/FBXO5/KIF11/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/KNTC1/MAD2L1/MAD2L2/MTBP/MYBL2/NDC80/NEK2/NUF2/NUSAP1/PDXP/PRC1/SKA1/SKA3/SMC2/SPAG5/SPC25/SPDL1/TPX2/XRCC3/ZWINT	44
GO:0000280	BP	GO:0000280	nuclear division	54/373	446/18888	0.121076233183857	6.13106673559432	15.5648568772232	4.03681588675669e-27	2.46582170416054e-24	2.1487191930561e-24	CENPF/ASPM/AURKB/BIRC5/BRCA2/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CDT1/CENPE/DLGAP5/ESPL1/FANCA/FBXO43/FBXO5/KIF11/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/KNTC1/MAD2L1/MAD2L2/MSX1/MTBP/MYBL2/NDC80/NEK2/NUF2/NUSAP1/P3H4/PDXP/PRC1/RAD51/RAD51AP1/RAD54L/SKA1/SKA3/SMC2/SPAG5/SPC25/SPDL1/TOP2A/TPX2/XRCC3/ZWINT	54
GO:0048285	BP	GO:0048285	organelle fission	55/373	493/18888	0.111561866125761	5.64927755330661	14.8468077512814	7.90290295435048e-26	4.13773418967065e-23	3.6056251975187e-23	CENPF/ASPM/AURKB/BIRC5/BRCA2/BUB1B/CCNB1/CCNB2/CDC20/CDCA5/CDCA8/CDK1/CDT1/CENPE/DLGAP5/ESPL1/FANCA/FBXO43/FBXO5/KIF11/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/KNTC1/MAD2L1/MAD2L2/MIEF2/MSX1/MTBP/MYBL2/NDC80/NEK2/NUF2/NUSAP1/P3H4/PDXP/PRC1/RAD51/RAD51AP1/RAD54L/SKA1/SKA3/SMC2/SPAG5/SPC25/SPDL1/TOP2A/TPX2/XRCC3/ZWINT	55
GO:0044772	BP	GO:0044772	mitotic cell cycle phase transition	47/373	451/18888	0.104212860310421	5.27713808456632	13.0487966242383	6.76031541704234e-21	2.81088844778668e-18	2.44941065572909e-18	CENPF/FAM107A/AURKB/BCAT1/BID/BIRC5/BRCA1/BUB1B/CCNB1/CCNB2/CCNF/CDC20/CDC25A/CDC7/CDCA5/CDCA8/CDK1/CDK4/CENPE/CLSPN/DBF4/DLGAP5/DTL/E2F7/ESPL1/FBXO5/FOXM1/GTSE1/IQGAP3/KIF14/KNL1/KNTC1/MAD2L1/MAD2L2/MTBP/NDC80/NUF2/ORC1/PRKDC/RRM2/SPC25/SPDL1/STIL/TACC3/TICRR/XRCC3/ZWINT	47
GO:0051310	BP	GO:0051310	metaphase chromosome alignment	25/373	100/18888	0.25	12.6595174262735	16.592596341851	6.90259100411462e-21	2.81088844778668e-18	2.44941065572909e-18	CENPF/AURKB/BIRC5/CCNB1/CDCA5/CDCA8/CDT1/CENPE/ECT2/KIF14/KIF18A/KIF2C/KIFC1/KNL1/KNSTRN/KNTC1/NDC80/NEK2/NUF2/SKA1/SKA3/SPAG5/SPC25/SPDL1/ZWINT	25
GO:0050000	BP	GO:0050000	chromosome localization	26/373	120/18888	0.216666666666667	10.971581769437	15.5531989889999	5.70919933381468e-20	2.07152250001546e-17	1.80512652115945e-17	CENPF/AURKB/BIRC5/CCNB1/CDCA5/CDCA8/CDT1/CENPE/DLGAP5/ECT2/KIF14/KIF18A/KIF2C/KIFC1/KNL1/KNSTRN/KNTC1/NDC80/NEK2/NUF2/SKA1/SKA3/SPAG5/SPC25/SPDL1/ZWINT	26
