category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cell growth and death	hsa04110	Cell cycle	28/220	158/8768	0.177215189873418	7.06283084004603	12.3369273080544	1.52092309658434e-16	3.72626158663162e-14	3.63420571499626e-14	9212/701/891/9133/991/993/8318/8317/113130/983/1019/81620/10926/1663/157570/9700/26271/57082/4085/10459/4175/4176/27085/10403/4998/5111/5591/90381	28
Genetic Information Processing	Replication and repair	hsa03030	DNA replication	9/220	36/8768	0.25	9.96363636363636	8.64536241307703	1.74856514633603e-07	2.14199230426164e-05	2.08907520114883e-05	4175/4176/5111/5427/5557/5558/5983/5984/10535	9
Cellular Processes	Cell motility	hsa04814	Motor proteins	15/220	197/8768	0.0761421319796954	3.03461005999077	4.63343569417312	0.000124149103302197	0.0101388434363461	0.00988836717529783	1062/3832/9928/56992/81930/10112/9493/347240/11004/3797/24137/3833/4633/4636/4647	15
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	10/220	100/8768	0.1	3.98545454545455	4.81676655724051	0.000194154350833586	0.0118919539885571	0.0115981677997958	6358/6363/1237/3627/6373/3559/146433/2829/6354/8743	10
Genetic Information Processing	Replication and repair	hsa03430	Mismatch repair	4/220	23/8768	0.173913043478261	6.93122529644269	4.56912478471332	0.00234686925460394	0.0928804018280101	0.0905858269171141	2956/5111/5983/5984	4
Genetic Information Processing	Replication and repair	hsa03460	Fanconi anemia pathway	6/220	55/8768	0.109090909090909	4.34776859504132	3.99537461233576	0.00242195012337068	0.0928804018280101	0.0905858269171141	672/675/2175/55215/5888/29089	6
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	7/220	75/8768	0.0933333333333333	3.71975757575758	3.79472731972335	0.00265771439627309	0.0928804018280101	0.0905858269171141	637/891/9133/983/1019/51512/6241	7
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	16/220	298/8768	0.0536912751677852	2.139841366687	3.21155547323184	0.00335500995121609	0.0928804018280101	0.0905858269171141	6358/6363/1237/959/3627/6373/3559/90865/146433/23495/2829/6354/3598/51330/7293/8743	16
Genetic Information Processing	Replication and repair	hsa03440	Homologous recombination	5/220	41/8768	0.121951219512195	4.86031042128603	3.97453436668004	0.00341193312837588	0.0928804018280101	0.0905858269171141	672/675/5888/8438/7517	5
Metabolism	Amino acid metabolism	hsa00280	Valine, leucine and isoleucine degradation	5/220	48/8768	0.104166666666667	4.15151515151515	3.51225761343761	0.00676767101964583	0.165807939981323	0.161711718048379	316/36/38/586/84693	5
Cellular Processes	Cell growth and death	hsa04114	Oocyte meiosis	9/220	139/8768	0.0647482014388489	2.58051013734467	3.01320749009197	0.00819476863264641	0.182519846818034	0.178010763599113	891/9133/991/983/9700/286151/26271/4085/10459	9
Metabolism	Metabolism of cofactors and vitamins	hsa00670	One carbon pool by folate	4/220	39/8768	0.102564102564103	4.08764568764569	3.10014567887043	0.0159594003304168	0.325837756746009	0.31778805921093	875/25902/6470/7298	4
Genetic Information Processing	Replication and repair	hsa03410	Base excision repair	4/220	44/8768	0.0909090909090909	3.62314049586777	2.79830242502669	0.0239164425259038	0.450732955295879	0.439597769504466	5111/5427/5983/5984	4
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	4/220	50/8768	0.08	3.18836363636364	2.48943416976503	0.0361578758805389	0.569205758468735	0.555143747249851	2532/959/3820/6403	4
Human Diseases	Drug resistance: antineoplastic	hsa01523	Antifolate resistance	3/220	30/8768	0.1	3.98545454545455	2.62766294905316	0.038462319772637	0.569205758468735	0.555143747249851	6470/6573/7298	3
Human Diseases	Drug resistance: antineoplastic	hsa01524	Platinum drug resistance	5/220	75/8768	0.0666666666666667	2.6569696969697	2.31187817366156	0.0397766146463333	0.569205758468735	0.555143747249851	637/332/672/2956/7153	5
Metabolism	Carbohydrate metabolism	hsa00630	Glyoxylate and dicarboxylate metabolism	3/220	31/8768	0.0967741935483871	3.85689149560117	2.55621872734687	0.0418191985813764	0.569205758468735	0.555143747249851	38/84693/6470	3
NA	NA	hsa04981	Folate transport and metabolism	3/220	31/8768	0.0967741935483871	3.85689149560117	2.55621872734687	0.0418191985813764	0.569205758468735	0.555143747249851	6470/6573/7298	3
Metabolism	Global and overview maps	hsa01212	Fatty acid metabolism	4/220	57/8768	0.0701754385964912	2.79681020733652	2.18328390891897	0.0542628850373072	0.699705622849488	0.682419662242036	36/38/3992/51495	4
Organismal Systems	Endocrine system	hsa04914	Progesterone-mediated oocyte maturation	6/220	111/8768	0.0540540540540541	2.15429975429975	1.96336466560732	0.0601902809541032	0.724179388190025	0.706288812541937	891/9133/993/983/4085/10459	6
Metabolism	Global and overview maps	hsa01232	Nucleotide metabolism	5/220	85/8768	0.0588235294117647	2.34438502673797	1.99803373260065	0.0620725189877165	0.724179388190025	0.706288812541937	8833/3251/6241/7083/7298	5
Genetic Information Processing	Replication and repair	hsa03420	Nucleotide excision repair	4/220	63/8768	0.0634920634920635	2.53044733044733	1.95572983979413	0.0730294533072711	0.81328254819461	0.793190712954571	5111/5427/5983/5984	4
Metabolism	Amino acid metabolism	hsa00260	Glycine, serine and threonine metabolism	3/220	41/8768	0.0731707317073171	2.91618625277162	1.97288489355823	0.0828660291883042	0.88230822528838	0.86051113701595	875/10993/6470	3
Metabolism	Amino acid metabolism	hsa00380	Tryptophan metabolism	3/220	42/8768	0.0714285714285714	2.84675324675325	1.9245557628579	0.0876638101813967	0.88230822528838	0.86051113701595	316/3620/38	3
Metabolism	Lipid metabolism	hsa00071	Fatty acid degradation	3/220	43/8768	0.0697674418604651	2.78054968287526	1.87763076800195	0.0925762023878757	0.88230822528838	0.86051113701595	124/36/38	3
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	9/220	216/8768	0.0416666666666667	1.66060606060606	1.57703078111408	0.0936327096224404	0.88230822528838	0.86051113701595	959/4973/6403/637/929/7184/3329/4688/8743	9
Cellular Processes	Cell growth and death	hsa04218	Cellular senescence	7/220	157/8768	0.0445859872611465	1.77695425593515	1.57587972682814	0.099901574914129	0.898219643813025	0.876029470013133	891/9133/993/983/1019/2305/4605	7
Metabolism	Amino acid metabolism	hsa00340	Histidine metabolism	2/220	22/8768	0.0909090909090909	3.62314049586777	1.97620840906611	0.104325706994236	0.898219643813025	0.876029470013133	443/3176	2
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	5/220	100/8768	0.05	1.99272727272727	1.60167755192041	0.10631987620644	0.898219643813025	0.876029470013133	1380/3559/931/929/913	5
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	9/220	224/8768	0.0401785714285714	1.6012987012987	1.4624742970708	0.110653132479908	0.903667248585911	0.881342493787334	3559/567/701/9133/991/1019/9700/4085/4487	9
Metabolism	Global and overview maps	hsa01230	Biosynthesis of amino acids	4/220	75/8768	0.0533333333333333	2.12557575757576	1.57045360063067	0.118953561739455	0.940116858908599	0.916891630385615	875/586/10993/6470	4
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	3/220	50/8768	0.06	2.39127272727273	1.58268114548371	0.129904059927592	0.943751482488344	0.920436461975743	959/941/23495	3
Organismal Systems	Digestive system	hsa04977	Vitamin digestion and absorption	2/220	26/8768	0.0769230769230769	3.06573426573427	1.69223359791397	0.137702470833116	0.943751482488344	0.920436461975743	949/6573	2
Organismal Systems	Immune system	hsa04620	Toll-like receptor signaling pathway	5/220	109/8768	0.0458715596330275	1.82819015846539	1.39577055250161	0.138659075188311	0.943751482488344	0.920436461975743	941/3627/6373/7098/929	5
Metabolism	Amino acid metabolism	hsa00270	Cysteine and methionine metabolism	3/220	52/8768	0.0576923076923077	2.2993006993007	1.50749999775389	0.141415817526425	0.943751482488344	0.920436461975743	875/586/10993	3
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	7/220	173/8768	0.0404624277456647	1.61261166579086	1.3055393330224	0.144499055812326	0.943751482488344	0.920436461975743	3627/90865/91543/7098/637/1019/8743	7
Metabolism	Xenobiotics biodegradation and metabolism	hsa00983	Drug metabolism - other enzymes	4/220	81/8768	0.0493827160493827	1.96812570145903	1.40424839251346	0.145641707097642	0.943751482488344	0.920436461975743	8833/3251/6241/7083	4
Metabolism	Lipid metabolism	hsa01040	Biosynthesis of unsaturated fatty acids	2/220	27/8768	0.0740740740740741	2.95218855218855	1.62977507116711	0.146377780957376	0.943751482488344	0.920436461975743	3992/51495	2
Metabolism	Lipid metabolism	hsa00600	Sphingolipid metabolism	3/220	54/8768	0.0555555555555556	2.21414141414141	1.43569425363575	0.153254782431061	0.949488584679526	0.926031831244909	29956/2717/6610	3
Genetic Information Processing	Chromosome	hsa03083	Polycomb repressive complex	4/220	83/8768	0.0481927710843374	1.92070098576123	1.35200198699114	0.155018544437474	0.949488584679526	0.926031831244909	171023/9212/11335/100170841	4
Metabolism	Global and overview maps	hsa01200	Carbon metabolism	5/220	116/8768	0.0431034482758621	1.71786833855799	1.24859078523059	0.166449582077317	0.959374481137745	0.935673500400723	38/84693/10993/6470/8801	5
Human Diseases	Cancer: specific types	hsa05224	Breast cancer	6/220	148/8768	0.0405405405405405	1.61572481572482	1.21190469834085	0.167863621892808	0.959374481137745	0.935673500400723	672/675/1019/2535/8648/6667	6
Metabolism	Nucleotide metabolism	hsa00240	Pyrimidine metabolism	3/220	58/8768	0.0517241379310345	2.06144200626959	1.30108532040617	0.177807137597888	0.959374481137745	0.935673500400723	6241/7083/7298	3
Metabolism	Global and overview maps	hsa01240	Biosynthesis of cofactors	6/220	153/8768	0.0392156862745098	1.56292335115865	1.12686509288485	0.186430026892454	0.959374481137745	0.935673500400723	3620/586/25902/57026/5372/6470	6
Metabolism	Carbohydrate metabolism	hsa00052	Galactose metabolism	2/220	32/8768	0.0625	2.49090909090909	1.35542167501226	0.191178883839983	0.959374481137745	0.935673500400723	2595/2717	2
Metabolism	Carbohydrate metabolism	hsa00640	Propanoate metabolism	2/220	32/8768	0.0625	2.49090909090909	1.35542167501226	0.191178883839983	0.959374481137745	0.935673500400723	84693/8801	2
Cellular Processes	Cell growth and death	hsa04215	Apoptosis - multiple species	2/220	32/8768	0.0625	2.49090909090909	1.35542167501226	0.191178883839983	0.959374481137745	0.935673500400723	637/332	2
Human Diseases	Immune disease	hsa05310	Asthma	2/220	32/8768	0.0625	2.49090909090909	1.35542167501226	0.191178883839983	0.959374481137745	0.935673500400723	959/2206	2
Environmental Information Processing	Signal transduction	hsa04071	Sphingolipid signaling pathway	5/220	122/8768	0.040983606557377	1.63338301043219	1.13016875519725	0.191874896227549	0.959374481137745	0.935673500400723	2206/1901/637/29956/6610	5
Organismal Systems	Digestive system	hsa04978	Mineral absorption	3/220	61/8768	0.0491803278688525	1.96005961251863	1.20707271335877	0.196882359927627	0.964723563645373	0.94089043586466	1181/6546/2512	3
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecules	6/220	158/8768	0.0379746835443038	1.51346375143844	1.04481967977335	0.205761270962527	0.976306319999973	0.952187044640145	57863/959/941/80380/6403/64115	6
Human Diseases	Infectious disease: viral	hsa05160	Hepatitis C	6/220	159/8768	0.0377358490566038	1.50394511149228	1.02875043507105	0.209712574207479	0.976306319999973	0.952187044640145	3627/91543/7098/637/1019/949	6
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	7/220	193/8768	0.0362694300518135	1.44550164861046	1.00395787949256	0.211200959020402	0.976306319999973	0.952187044640145	6358/6363/1237/3627/6373/2829/6354	7
Organismal Systems	Endocrine system	hsa04927	Cortisol synthesis and secretion	3/220	65/8768	0.0461538461538462	1.83944055944056	1.08972451919664	0.223031903210141	0.982268416517176	0.9580018498363	8622/949/6667	3
NA	NA	hsa04820	Cytoskeleton in muscle cells	8/220	232/8768	0.0344827586206897	1.3742946708464	0.9269045625535	0.227587096409739	0.982268416517176	0.9580018498363	287/2006/2318/4001/84823/25802/4633/4636	8
Metabolism	Amino acid metabolism	hsa00350	Tyrosine metabolism	2/220	36/8768	0.0555555555555556	2.21414141414141	1.17103060857771	0.228151791870143	0.982268416517176	0.9580018498363	124/316	2
Environmental Information Processing	Signal transduction	hsa04068	FoxO signaling pathway	5/220	133/8768	0.037593984962406	1.49829118250171	0.92892882342335	0.241654706309495	0.982268416517176	0.9580018498363	1901/891/9133/10733/8743	5
Metabolism	Metabolism of cofactors and vitamins	hsa00760	Nicotinate and nicotinamide metabolism	2/220	38/8768	0.0526315789473684	2.09760765550239	1.08776828121638	0.246831057015396	0.982268416517176	0.9580018498363	316/83594	2
Human Diseases	Immune disease	hsa05340	Primary immunodeficiency	2/220	38/8768	0.0526315789473684	2.09760765550239	1.08776828121638	0.246831057015396	0.982268416517176	0.9580018498363	959/23495	2
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	4/220	102/8768	0.0392156862745098	1.56292335115865	0.917370129356155	0.253342861094311	0.982268416517176	0.9580018498363	713/728/2214/6403	4
Cellular Processes	Cellular community - eukaryotes	hsa04530	Tight junction	6/220	170/8768	0.0352941176470588	1.40663101604278	0.858876715299205	0.254807760421337	0.982268416517176	0.9580018498363	10095/913/1019/4633/5111/27134	6
Cellular Processes	Cell growth and death	hsa04210	Apoptosis	5/220	136/8768	0.0367647058823529	1.46524064171123	0.877194644173851	0.255808565512191	0.982268416517176	0.9580018498363	637/332/4001/84823/8743	5
Human Diseases	Immune disease	hsa05330	Allograft rejection	2/220	39/8768	0.0512820512820513	2.04382284382284	1.04804864487255	0.256193468541318	0.982268416517176	0.9580018498363	959/941	2
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	3/220	70/8768	0.0428571428571429	1.70805194805195	0.954133242754867	0.256592565947344	0.982268416517176	0.9580018498363	959/941/637	3
Metabolism	Carbohydrate metabolism	hsa00500	Starch and sucrose metabolism	2/220	40/8768	0.05	1.99272727272727	1.0095019612576	0.265562287226125	0.999350398765587	0.974661828226803	2595/11181	2
Metabolism	Xenobiotics biodegradation and metabolism	hsa00982	Drug metabolism - cytochrome P450	3/220	73/8768	0.0410958904109589	1.63785803237858	0.87792062632687	0.277055267800114	0.999350398765587	0.974661828226803	124/316/27306	3
Genetic Information Processing	Replication and repair	hsa03450	Non-homologous end-joining	1/220	13/8768	0.0769230769230769	3.06573426573427	1.19570113473864	0.28149116887716	0.999350398765587	0.974661828226803	5591	1
Organismal Systems	Digestive system	hsa04975	Fat digestion and absorption	2/220	43/8768	0.0465116279069767	1.85369978858351	0.900246145950116	0.293646823822997	0.999350398765587	0.974661828226803	38/949	2
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	2/220	44/8768	0.0454545454545455	1.81157024793388	0.865763384176498	0.302982382707149	0.999350398765587	0.974661828226803	941/3329	2
Human Diseases	Cancer: specific types	hsa05212	Pancreatic cancer	3/220	77/8768	0.038961038961039	1.55277449822904	0.781561348582669	0.304567724893825	0.999350398765587	0.974661828226803	675/1019/5888	3
Metabolism	Xenobiotics biodegradation and metabolism	hsa00980	Metabolism of xenobiotics by cytochrome P450	3/220	79/8768	0.0379746835443038	1.51346375143844	0.735432847678195	0.318376578777031	0.999350398765587	0.974661828226803	124/27306/3290	3
Genetic Information Processing	Folding, sorting and degradation	hsa03050	Proteasome	2/220	46/8768	0.0434782608695652	1.73280632411067	0.799400968796081	0.321583920062423	0.999350398765587	0.974661828226803	5690/5708	2
Metabolism	Carbohydrate metabolism	hsa00620	Pyruvate metabolism	2/220	47/8768	0.0425531914893617	1.69593810444874	0.767433916122748	0.330840595463759	0.999350398765587	0.974661828226803	124/38	2
Organismal Systems	Immune system	hsa04670	Leukocyte transendothelial migration	4/220	116/8768	0.0344827586206897	1.3742946708464	0.651011964002327	0.332299412543895	0.999350398765587	0.974661828226803	7294/4633/4636/4688	4
Metabolism	Glycan biosynthesis and metabolism	hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	1/220	16/8768	0.0625	2.49090909090909	0.95755138034888	0.334312504922923	0.999350398765587	0.974661828226803	2717	1
Organismal Systems	Immune system	hsa04623	Cytosolic DNA-sensing pathway	3/220	83/8768	0.036144578313253	1.44052573932092	0.64688936374951	0.34600568658719	0.999350398765587	0.974661828226803	9447/3627/90865	3
Human Diseases	Endocrine and metabolic disease	hsa04934	Cushing syndrome	5/220	155/8768	0.032258064516129	1.28563049853372	0.575569524024301	0.348983489589501	0.999350398765587	0.974661828226803	1019/2535/8622/949/6667	5
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	5/220	157/8768	0.0318471337579618	1.26925303995368	0.546120191515192	0.358989716758022	0.999350398765587	0.974661828226803	10396/713/1901/5031/6566	5
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	2/220	51/8768	0.0392156862745098	1.56292335115865	0.646778264124319	0.367476002699194	0.999350398765587	0.974661828226803	255738/949	2
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	5/220	159/8768	0.0314465408805031	1.25328759291023	0.517059726272381	0.369006422829603	0.999350398765587	0.974661828226803	2214/4973/929/4688/949	5
Cellular Processes	Cell growth and death	hsa04217	Necroptosis	5/220	159/8768	0.0314465408805031	1.25328759291023	0.517059726272381	0.369006422829603	0.999350398765587	0.974661828226803	90865/7098/637/2512/8743	5
Human Diseases	Infectious disease: viral	hsa05167	Kaposi sarcoma-associated herpesvirus infection	6/220	196/8768	0.0306122448979592	1.22003710575139	0.499789888301324	0.369216395022146	0.999350398765587	0.974661828226803	1237/131450/7098/285/637/1019	6
Organismal Systems	Circulatory system	hsa04260	Cardiac muscle contraction	3/220	87/8768	0.0344827586206897	1.3742946708464	0.562850399757219	0.373535268427831	0.999350398765587	0.974661828226803	6546/783/4633	3
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	3/220	88/8768	0.0340909090909091	1.35867768595041	0.542488354407697	0.380387127773007	0.999350398765587	0.974661828226803	713/728/1380	3
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	2/220	54/8768	0.037037037037037	1.47609427609428	0.562970514320841	0.394440318743267	0.999350398765587	0.974661828226803	959/941	2
Metabolism	Nucleotide metabolism	hsa00230	Purine metabolism	4/220	128/8768	0.03125	1.24545454545455	0.448769961383919	0.400976785571053	0.999350398765587	0.974661828226803	8833/3251/8622/6241	4
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	6/220	204/8768	0.0294117647058824	1.17219251336898	0.399204663904349	0.40528791008113	0.999350398765587	0.974661828226803	1380/3627/567/637/1019/5708	6
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	2/220	56/8768	0.0357142857142857	1.42337662337662	0.509878315052584	0.412125816242163	0.999350398765587	0.974661828226803	929/3329	2
Metabolism	Metabolism of cofactors and vitamins	hsa00770	Pantothenate and CoA biosynthesis	1/220	21/8768	0.0476190476190476	1.8978354978355	0.660817359412125	0.413895186584767	0.999350398765587	0.974661828226803	586	1
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	3/220	95/8768	0.0315789473684211	1.25856459330144	0.406490846670386	0.427808892447026	0.999350398765587	0.974661828226803	3627/6354/7184	3
Metabolism	Metabolism of other amino acids	hsa00480	Glutathione metabolism	2/220	59/8768	0.0338983050847458	1.35100154083205	0.433965765498208	0.438166457364053	0.999350398765587	0.974661828226803	27306/6241	2
Metabolism	Metabolism of terpenoids and polyketides	hsa00900	Terpenoid backbone biosynthesis	1/220	23/8768	0.0434782608695652	1.73280632411067	0.564518016184093	0.443008869144235	0.999350398765587	0.974661828226803	38	1
Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	1/220	23/8768	0.0434782608695652	1.73280632411067	0.564518016184093	0.443008869144235	0.999350398765587	0.974661828226803	57486	1
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	3/220	99/8768	0.0303030303030303	1.20771349862259	0.333428258113872	0.454343900715439	0.999350398765587	0.974661828226803	6546/783/4633	3
Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	2/220	62/8768	0.032258064516129	1.28563049853372	0.362072614613428	0.463570695671334	0.999350398765587	0.974661828226803	27306/5730	2
Metabolism	Amino acid metabolism	hsa00310	Lysine degradation	2/220	63/8768	0.0317460317460317	1.26522366522367	0.338924330147239	0.471888903772917	0.999350398765587	0.974661828226803	8985/38	2
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	4/220	141/8768	0.0283687943262411	1.13062540296583	0.250848718935316	0.473883775735115	0.999350398765587	0.974661828226803	713/959/941/2214	4
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	3/220	103/8768	0.029126213592233	1.16081200353045	0.263364587529444	0.480360259177043	0.999350398765587	0.974661828226803	9630/929/913	3
Human Diseases	Endocrine and metabolic disease	hsa04950	Maturity onset diabetes of the young	1/220	26/8768	0.0384615384615385	1.53286713286713	0.436520650511322	0.484001836615225	0.999350398765587	0.974661828226803	5080	1
Human Diseases	Endocrine and metabolic disease	hsa04936	Alcoholic liver disease	4/220	144/8768	0.0277777777777778	1.10707070707071	0.20782707712004	0.490269375953932	0.999350398765587	0.974661828226803	124/713/728/929	4
Human Diseases	Neurodegenerative disease	hsa05017	Spinocerebellar ataxia	4/220	144/8768	0.0277777777777778	1.10707070707071	0.20782707712004	0.490269375953932	0.999350398765587	0.974661828226803	5690/5708/6261/6667	4
Environmental Information Processing	Signal transduction	hsa04064	NF-kappa B signaling pathway	3/220	105/8768	0.0285714285714286	1.1387012987013	0.229374749232779	0.493150784187994	0.999350398765587	0.974661828226803	6363/959/929	3
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	3/220	105/8768	0.0285714285714286	1.1387012987013	0.229374749232779	0.493150784187994	0.999350398765587	0.974661828226803	6546/7512/2006	3
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	3/220	105/8768	0.0285714285714286	1.1387012987013	0.229374749232779	0.493150784187994	0.999350398765587	0.974661828226803	6546/783/4633	3
Metabolism	Lipid metabolism	hsa00062	Fatty acid elongation	1/220	27/8768	0.037037037037037	1.47609427609428	0.397464979411918	0.49698737721745	0.999350398765587	0.974661828226803	51495	1
Metabolism	Carbohydrate metabolism	hsa00650	Butanoate metabolism	1/220	27/8768	0.037037037037037	1.47609427609428	0.397464979411918	0.49698737721745	0.999350398765587	0.974661828226803	38	1
Metabolism	Carbohydrate metabolism	hsa00010	Glycolysis / Gluconeogenesis	2/220	67/8768	0.0298507462686567	1.18968792401628	0.250032859382711	0.504373636365444	0.999350398765587	0.974661828226803	124/9562	2
Metabolism	Glycan biosynthesis and metabolism	hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	1/220	28/8768	0.0357142857142857	1.42337662337662	0.35996042937823	0.509647573649455	0.999350398765587	0.974661828226803	6484	1
Metabolism	Metabolism of cofactors and vitamins	hsa00830	Retinol metabolism	2/220	68/8768	0.0294117647058824	1.17219251336898	0.228672364342162	0.512291849883936	0.999350398765587	0.974661828226803	124/316	2
Environmental Information Processing	Signal transduction	hsa04392	Hippo signaling pathway - multiple species	1/220	29/8768	0.0344827586206897	1.3742946708464	0.323881662567204	0.52199054090313	0.999350398765587	0.974661828226803	6788	1
Metabolism	Carbohydrate metabolism	hsa00020	Citrate cycle (TCA cycle)	1/220	30/8768	0.0333333333333333	1.32848484848485	0.289117604219816	0.534024192465244	0.999350398765587	0.974661828226803	8801	1
Human Diseases	Cancer: overview	hsa05202	Transcriptional misregulation in cancer	5/220	193/8768	0.0259067357512953	1.0325011775789	0.0732428565077042	0.535073193475606	0.999350398765587	0.974661828226803	8013/929/2118/4291/6667	5
Human Diseases	Cancer: overview	hsa05204	Chemical carcinogenesis - DNA adducts	2/220	71/8768	0.028169014084507	1.12266325224072	0.166480549802875	0.535544144733068	0.999350398765587	0.974661828226803	27306/3290	2
Metabolism	Carbohydrate metabolism	hsa00562	Inositol phosphate metabolism	2/220	73/8768	0.0273972602739726	1.09190535491905	0.126494615819842	0.55061993838987	0.999350398765587	0.974661828226803	3706/9562	2
Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	2/220	75/8768	0.0266666666666667	1.06278787878788	0.0876044545688873	0.565350107474145	0.999350398765587	0.974661828226803	7184/9601	2
Metabolism	Global and overview maps	hsa01210	2-Oxocarboxylic acid metabolism	1/220	33/8768	0.0303030303030303	1.20771349862259	0.19177625039356	0.5683454690418	0.999350398765587	0.974661828226803	586	1
Metabolism	Carbohydrate metabolism	hsa00051	Fructose and mannose metabolism	1/220	34/8768	0.0294117647058824	1.17219251336898	0.16138074530198	0.579217134389344	0.999350398765587	0.974661828226803	5372	1
Human Diseases	Infectious disease: bacterial	hsa05100	Bacterial invasion of epithelial cells	2/220	78/8768	0.0256410256410256	1.02191142191142	0.0311826170680054	0.586791272509782	0.999350398765587	0.974661828226803	10095/10459	2
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	2/220	78/8768	0.0256410256410256	1.02191142191142	0.0311826170680054	0.586791272509782	0.999350398765587	0.974661828226803	713/929	2
Human Diseases	Infectious disease: viral	hsa05161	Hepatitis B	4/220	163/8768	0.0245398773006135	0.978025655326269	-0.0454295969804956	0.588466511340221	0.999350398765587	0.974661828226803	7098/637/332/5111	4
