TRM	gene	cor	p
TRM_2	ABLIM1	0.403049804774633	2.22201756994167e-08
TRM_2	AHNAK	0.442072643953375	5.81907855234931e-10
TRM_2	AQP3	0.463288935479326	6.55799858861883e-11
TRM_2	BRIX1	-0.404135346239865	2.02031364970878e-08
TRM_2	BUB1B	-0.504366856726259	6.09734485124136e-13
TRM_2	C1QL4	-0.439225068858493	7.71280816991293e-10
TRM_2	CABYR	-0.406405826949495	1.65385865003032e-08
TRM_2	CBX3	-0.46963055355934	3.31521476937269e-11
TRM_2	CDC25A	-0.411558701741234	1.04426205460584e-08
TRM_2	CDC45	-0.400949416015186	2.66867110632063e-08
TRM_2	CDCA5	-0.441503878337933	6.15721251762125e-10
TRM_2	CDK4	-0.418545746563144	5.52837153833252e-09
TRM_2	CENPF	-0.47950168904788	1.1145306899607e-11
TRM_2	CENPH	-0.431884841223034	1.57560742231055e-09
TRM_2	CENPV	-0.412437153226534	9.64781232681844e-09
TRM_2	CLCN2	-0.424019099088838	3.32486438381352e-09
TRM_2	CSTB	0.412400795890484	9.67951852004489e-09
TRM_2	DLGAP5	-0.410843816419545	1.11356492915604e-08
TRM_2	DTL	-0.51278603311932	2.1582735598713e-13
TRM_2	DUOX2	0.411985335487665	1.00490349375093e-08
TRM_2	DUSP2	0.428636144417017	2.1498514080065e-09
TRM_2	EHF	0.509614812631473	3.2041036490682e-13
TRM_2	ETV4	-0.484917764321975	6.0373928079116e-12
TRM_2	EVPLL	0.460313629771555	8.98845442520724e-11
TRM_2	FAM64A	-0.499538876783645	1.0920153670213e-12
TRM_2	FBXO5	-0.464891662742184	5.52673462550501e-11
TRM_2	FCHO2	0.436675741883245	9.90374893206081e-10
TRM_2	FOSB	0.407441281286	1.50883701088844e-08
TRM_2	FZD2	-0.421812266331776	4.08586453559678e-09
TRM_2	GINS2	-0.419811309322797	4.91912777178527e-09
TRM_2	GPR157	0.428815083804021	2.11354667101205e-09
TRM_2	GTSE1	-0.417652107889933	6.0017484315722e-09
TRM_2	HACD3	-0.416767621595355	6.50864251383609e-09
TRM_2	HIST1H2AJ	-0.465856649671305	4.98365793077937e-11
TRM_2	HIST1H2BL	-0.421637489026088	4.15284273636018e-09
TRM_2	HJURP	-0.450387287897219	2.51793697003677e-10
TRM_2	HSP90B1	-0.470469193921287	3.02606828483931e-11
TRM_2	HSPD1	-0.44292329924803	5.34665867135686e-10
TRM_2	IKZF2	0.53930253368892	6.66133814775094e-15
TRM_2	ILF2	-0.469056521148547	3.5284219990217e-11
TRM_2	KDELC1	-0.404686251493273	1.92481146576995e-08
TRM_2	KIF15	-0.481735322562546	8.66684501943382e-12
TRM_2	KIF23	-0.451491307952438	2.24903651258046e-10
TRM_2	KIF24	-0.441184626812224	6.35525854164598e-10
TRM_2	KIF3C	-0.496724288143582	1.52766688188422e-12
TRM_2	KNSTRN	-0.498303439956009	1.2658762926776e-12
TRM_2	KRT80	0.416830045548627	6.47155395938626e-09
TRM_2	LMNB2	-0.426632522010117	2.59977572802939e-09
TRM_2	LY6D	0.418310444073432	5.64940005887138e-09
TRM_2	LYPD3	0.493618494239697	2.20401474848586e-12
TRM_2	MAB21L3	0.413133788217043	9.05927888261715e-09
TRM_2	MACC1	0.473242789507009	2.23367990770384e-11
TRM_2	MAD2L1	-0.411955738379744	1.00758714705051e-08
TRM_2	MAD2L2	-0.415474269656943	7.324828743549e-09
TRM_2	MAL2	0.417451266192541	6.11339578959758e-09
TRM_2	MCM6	-0.455696923383491	1.45726986033878e-10
TRM_2	MCM7	-0.458023215768008	1.14337650458651e-10
TRM_2	MEX3A	-0.548533706938208	1.77635683940025e-15
TRM_2	MSH6	-0.441631957966695	6.07945027653045e-10
TRM_2	MTBP	-0.439930166990548	7.19482473598987e-10
TRM_2	NAT14	-0.514086555532347	1.83408843668076e-13
TRM_2	NEK2	-0.49665078064468	1.54098955817972e-12
TRM_2	NUF2	-0.431754753204034	1.59543711575338e-09
TRM_2	NUSAP1	-0.443194047024032	5.204241482204e-10
TRM_2	OIP5	-0.438197723932229	8.53257020594356e-10
TRM_2	OVOL1	0.400845702269528	2.6928287599759e-08
TRM_2	P3H4	-0.437256985415353	9.35666211177022e-10
TRM_2	PDIA4	-0.415408131145251	7.3691153179567e-09
TRM_2	PDZK1IP1	0.434346458069522	1.24231336329217e-09
TRM_2	PLD1	0.402483751418492	2.33474644062426e-08
TRM_2	PRDM1	0.479138761237674	1.16084919454806e-11
TRM_2	PRKDC	-0.486446382884019	5.06816810741384e-12
TRM_2	RAB27B	0.4833559565107	7.21289694638472e-12
TRM_2	RASSF3	0.435205823679279	1.14288511987581e-09
TRM_2	RCOR2	-0.421044179161475	4.38820535464401e-09
TRM_2	RECQL4	-0.407802273220777	1.46121910127306e-08
TRM_2	RFC4	-0.475209430483259	1.79809500622241e-11
TRM_2	RNASEH2A	-0.423530281785565	3.48061623967055e-09
TRM_2	RNF39	0.424648910212222	3.13408032859286e-09
TRM_2	S100A12	0.421669981215723	4.14031142703664e-09
TRM_2	S100A7	0.417037908320637	6.34951757838564e-09
TRM_2	S100A8	0.457783090569917	1.17246656827774e-10
TRM_2	S100A9	0.509553361957112	3.22852855560996e-13
TRM_2	SAMD9	0.499442755344084	1.10489395410696e-12
TRM_2	SCML4	0.450594371114057	2.46523246261177e-10
TRM_2	SELP	0.417379805421119	6.15360162825596e-09
TRM_2	SH3RF2	0.473422255485055	2.19002593837558e-11
TRM_2	SKA3	-0.428314794184454	2.21656693000227e-09
TRM_2	SLC19A1	-0.428232865108862	2.23389351461378e-09
TRM_2	SLPI	0.416066178943581	6.93974433474409e-09
TRM_2	SPAG5	-0.440250170673639	6.97099711288729e-10
TRM_2	SPC25	-0.40096289969844	2.66554578409739e-08
TRM_2	SPDL1	-0.438556599484691	8.23706658437118e-10
TRM_2	STEAP4	0.476880496104539	1.49378287517266e-11
TRM_2	TACSTD2	0.465166858917176	5.36628519398619e-11
TRM_2	TAF1A	-0.418615594862113	5.49292877849439e-09
TRM_2	TCF3	-0.435252700190734	1.13768883203136e-09
TRM_2	TEC	0.411027312120187	1.09536510972674e-08
TRM_2	TGIF2	-0.439623212850035	7.41604555543063e-10
TRM_2	THSD4	0.40234916557416	2.36234791728407e-08
TRM_2	TJP3	0.411342904732121	1.06473168060006e-08
TRM_2	TMEM177	-0.421891621863266	4.05579902995612e-09
TRM_2	TMPRSS11A	0.409226420655203	1.28709534141791e-08
TRM_2	TMPRSS11F	0.430468211347618	1.80498860302691e-09
TRM_2	TOP2A	-0.464160909127837	5.9757976345054e-11
TRM_2	TTC22	0.415015418376241	7.63744179010928e-09
TRM_2	TUSC3	-0.467860517340474	4.01620958712101e-11
TRM_2	TYMS	-0.44222982155979	5.72885072713802e-10
TRM_2	UBE2T	-0.420170418508954	4.75839989633187e-09
TRM_5	ABHD13	0.561978663258705	2.22044604925031e-16
TRM_5	ABR	-0.510877417080014	2.74003042477489e-13
TRM_5	ACAT1	0.573577659841922	0
TRM_5	AHNAK	-0.416956299053544	6.39716346562125e-09
TRM_5	APMAP	0.454529307376688	1.64482205633476e-10
TRM_5	APOLD1	0.403005945421643	2.23056146886336e-08
TRM_5	AQP5	-0.417562188419822	6.05148908761066e-09
TRM_5	ARHGAP32	-0.444076503949281	4.76507500124512e-10
TRM_5	ARPC1B	0.469640527229856	3.3116176467729e-11
TRM_5	ASF1B	0.758192516015563	0
TRM_5	ASPM	0.750260180275793	0
TRM_5	ASXL1	0.550066803512236	1.55431223447522e-15
TRM_5	AURKB	0.69212644471825	0
TRM_5	B2M	0.504569764335621	5.95079541199084e-13
TRM_5	BBIP1	0.475561300852892	1.72937220099811e-11
TRM_5	BCAT1	0.4023618399098	2.35973525164468e-08
TRM_5	BID	0.555474099550727	6.66133814775094e-16
TRM_5	BIRC5	0.713909236221544	0
TRM_5	BRCA1	0.826140431051904	0
TRM_5	BRCA2	0.56723279928101	0
TRM_5	BRIX1	0.636982809328596	0
TRM_5	BUB1B	0.735346991066593	0
TRM_5	C10orf113	-0.427402931721557	2.41694686486937e-09
TRM_5	C12orf29	0.417855236476904	5.8908309341632e-09
TRM_5	C16orf59	0.715989083820298	0
TRM_5	C1QB	0.433080548081308	1.40415368221625e-09
TRM_5	C4orf32	0.402221393817548	2.38884227954372e-08
TRM_5	CACNB2	-0.495678395319097	1.72883929394629e-12
TRM_5	CAMK2N2	0.475273167719258	1.78546066820218e-11
