logFC	AveExpr	t	P.Value	adj.P.Val	B
COL1A1	3.70718130446927	13.532261797486	46.277630353543	8.45638851342396e-154	1.14110506600143e-149	341.088415506874
EMP1	-3.65078351117319	14.605494976257	-44.2631206952962	7.23013859905805e-148	4.87817451278447e-144	327.508468230219
COL10A1	5.26035172737429	11.0907321022346	44.131136237282	1.79600403493241e-147	8.07842614912599e-144	326.60356469445
ELN	-2.95155317597764	14.0233665181564	-42.3743165184318	3.91436762841046e-142	1.32051191944427e-138	314.375830782958
MMP1	4.92624599553072	12.0428639128492	39.6970048457776	1.04075617199568e-133	2.80879275698194e-130	295.067807108048
MAL	-4.68357464525139	14.6097505181564	-39.2599653448669	2.6715620096843e-132	6.00834295978e-129	291.836450920619
MGLL	-2.9700244217877	14.3226485600559	-38.075296698731	1.97998666222105e-128	3.81684857428726e-125	282.962332670237
SPP1	4.99494062960894	12.341843774581	37.5879453847245	8.12576721755137e-127	1.37061378542048e-123	279.262392975576
HPGD	-4.19208775027933	11.2933127840782	-36.7183123041772	6.59991760856867e-124	9.89547646778062e-121	272.587981067011
FSCN1	2.37030654748603	14.0308735921788	36.2892393356454	1.86182577605506e-122	2.5123477022087e-119	269.260505101309
LAMC2	3.52579586033519	12.7735233547486	35.9128407873561	3.55122049807133e-121	4.35637903645223e-118	266.322713527987
MFAP2	3.62223184916202	11.3076986955307	35.6933987125829	1.99702067931263e-120	2.24564975388705e-117	264.601828109125
UBL3	-2.36830370391062	12.3962221005587	-35.5715917664012	5.2216574111704e-120	5.42008039279487e-117	263.644013107162
CCDC50	-2.0610355810056	15.8088089162011	-35.5545042199262	5.97627104084893e-120	5.76027153037253e-117	263.509498896506
GPD1L	-2.57818074301677	12.2216251731844	-35.0699257797974	2.7887681606168e-118	2.50877583729088e-115	259.679656969977
SIX1	3.8803974916201	10.2512006759777	34.8902356171195	1.16821180824589e-117	9.85240633779376e-115	258.252002401384
CTHRC1	4.34927469497208	11.6815042530726	34.6364164186767	8.89715463138713e-117	7.06224732917282e-114	256.228473107338
SASH1	-3.03409772346369	12.4928520796089	-34.5917858811017	1.27248192298045e-116	9.53937281594346e-114	255.871826215209
KRT4	-4.16203473184355	15.8003090837989	-33.6715340766742	2.15283799189946e-113	1.52896820329954e-110	248.462036039188
COL1A2	3.23136882681563	14.1937664329609	33.4544349109398	1.26281216278266e-112	8.52019366229463e-110	246.698380588671
KIF26B	2.34036403798882	9.15030214022346	32.8450731769617	1.8690967817156e-110	1.20102818916525e-107	241.716236705046
TPX2	2.40186934636871	12.0640300670391	32.71028176104	5.68116648867678e-110	3.48462093628202e-107	240.60783526865
FAM107A	-2.97914626201116	10.3029551175978	-32.6890898483033	6.76759549919974e-110	3.97051885505223e-107	240.433363193711
SHROOM3	-2.79266893743017	10.419336503352	-32.6647776214707	8.27277621032874e-110	4.65136842425733e-107	240.233131716987
ABLIM3	-2.47426958379888	11.5959604594972	-32.3151899680855	1.49731896031653e-108	8.08192882020448e-106	237.345717152516
COL5A2	3.04278587541899	12.3164778360335	31.9704193152505	2.64345758337944e-107	1.33767051711399e-104	234.482952574735
SPINK5	-4.12077154189944	15.0071937234637	-31.9689300733641	2.67653060338503e-107	1.33767051711399e-104	234.470554239923
COL5A1	2.59621576815642	13.045232646648	31.7409016953545	1.8022238951965e-106	8.68543187206483e-104	232.568853110797
GYS2	-5.50246030670391	7.52018534385475	-31.653830458962	3.73948879609047e-106	1.74002282118775e-103	231.840968933448
TRNP1	-2.84659132681564	12.8446715963687	-31.4048191743902	3.03159816411371e-105	1.36361285421835e-102	229.754048897423
THSD4	-4.03338372960893	10.0803575530726	-31.2361298317134	1.25683851471332e-104	5.47089642501342e-102	228.335856268707
KIF14	2.55326792625699	10.4738415005587	31.0298342508317	7.18901354837968e-104	3.03151715068236e-101	226.596639865155
SORBS2	-3.35506596145251	9.99084819804469	-30.8649697284122	2.90808175016588e-103	1.18914106474965e-100	225.202875288432
IQCF1	-3.08134741396649	11.1066748740223	-30.8446865842842	3.45445195221793e-103	1.37101101891849e-100	225.031166159587
SPRR3	-3.83301738547484	15.3559140363128	-30.7549805770291	7.40186816982743e-103	2.85373740239004e-100	224.27113233907
ALDH9A1	-1.70910030167596	14.5760940111732	-30.1629247654886	1.1602611913293e-100	4.34904569883265e-98	219.229727074137
TRIP13	2.23518659776538	11.2742357849162	30.089064675214	2.18642408623391e-100	7.97394773503796e-98	218.597739562526
ABLIM1	-2.61690006145252	13.5321533519553	-30.0398712058726	3.33561071408059e-100	1.18449292041588e-97	218.176437545034
SCNN1B	-3.61869624022347	10.3399438486034	-29.9561183438425	6.85149163947376e-100	2.37061610725792e-97	217.458472202277
HOXD11	4.30802765642458	9.85023408296089	29.9298629166933	8.58739454282459e-100	2.89695754902188e-97	217.233220552942
MYBL2	1.93217548044693	11.9281222625698	29.9197163863059	9.37072762226003e-100	3.0841121593848e-97	217.146148155811
ZFP64	2.07080261564246	9.92078249664804	29.8214660131669	2.18355534646381e-99	7.01545139171015e-97	216.302354352717
C4orf3	-1.94725066759776	14.6380990600559	-29.7901561336394	2.85989762430308e-99	8.97475780054553e-97	216.033208149336
SLC5A12	3.04438049497207	7.8962832849162	29.7746890760537	3.2678319064901e-99	1.00218463059494e-96	215.900205443
HSPB8	-2.43574395810056	13.7089866047486	-29.7445178483363	4.23895259270495e-99	1.27112058413246e-96	215.640675178469
ARSF	-4.00108297262571	7.70893262821229	-29.72331678726	5.08968473248829e-99	1.49304795174341e-96	215.458238301798
GALNT12	-2.48045982849162	11.3981278175978	-29.7059250063855	5.91383422817797e-99	1.69789955478795e-96	215.308539198164
PFN2	2.3120252234637	12.3243938882682	29.6957748425656	6.45529097406585e-99	1.78100729661441e-96	215.221154805779
CST1	4.28453056592179	11.3550068382682	29.6955600322772	6.46727119713251e-99	1.78100729661441e-96	215.219305332208
C2orf40	-4.83855649106146	10.4930052293296	-29.3686096317018	1.09442568106491e-97	2.95363602805798e-95	212.397747542449
RYR1	-2.12223768156425	12.9552287625698	-29.3425976038253	1.37140486166914e-97	3.62857592222811e-95	212.172702156254
CST2	4.60255634022346	11.0595043527933	29.314526027173	1.74961669744317e-97	4.54025532986502e-95	211.929745458302
STK39	-1.66283780167598	12.6706955377095	-29.23088860371	3.616978618387e-97	9.20896405217249e-95	211.205300493883
ECM1	-3.53366953351955	14.8082866913408	-29.1496494997495	7.3292227329523e-97	1.83149132515663e-94	210.500811101776
LEXM	-3.27359966089386	10.7828061410615	-29.08820996726	1.25097582393078e-96	3.06921232147672e-94	209.967485197739
PDK4	-3.16355939944135	12.0422532192737	-29.059140854956	1.61129653668867e-96	3.88264919037089e-94	209.714990546207
OR10G3	-2.84658832458099	10.0462836276536	-28.9408838555287	4.51677665834573e-96	1.06928744259153e-93	208.686749741263
FLG	-3.42744896089386	14.7416378044693	-28.8907654356976	6.99470457296039e-96	1.62735419840565e-93	208.25045951
SCEL	-4.32473712569833	13.2143878226257	-28.8444510998484	1.04811787962834e-95	2.39716994367878e-93	207.847013944303
ASPA	-3.23325635083798	8.75470703351955	-28.8240168339436	1.25296785420374e-95	2.81792470410422e-93	207.668927884245
LPIN1	-2.79413186871509	11.5304946717877	-28.8052264200378	1.4765631664201e-95	3.26635137174965e-93	207.505123529683
LMO7	-2.7122798519553	13.2044233058659	-28.7343687128833	2.74367183225426e-95	5.96599914725171e-93	206.887041686227
LOXL2	2.67381237430168	11.1381504385475	28.7326445124028	2.78537087799658e-95	5.96599914725171e-93	206.871994171021
CRISP3	-5.67583139664804	10.1409268681564	-28.6791152488112	4.44976684720065e-95	9.38205528689463e-93	206.404652938901
KIAA1211L	-2.63561759162012	11.0528824611732	-28.6264473561906	7.05769915158199e-95	1.46517834386842e-92	205.944494959998
HADHB	-1.24810027932961	14.4631866480447	-28.6044139553664	8.56074293561339e-95	1.75028280565405e-92	205.751890664259
NDRG2	-1.85826733519553	13.7317920223464	-28.5505502661294	1.3727655836116e-94	2.76479086347088e-92	205.280797135007
ENDOU	-5.00814499273744	10.6571178002793	-28.523957183677	1.73342285894831e-94	3.43982471450713e-92	205.048084701464
CSTB	-2.76994859217877	15.8689416703911	-28.4967863916388	2.20014517066408e-94	4.29846890001396e-92	204.810229170413
ATP1A2	-4.29115464581005	9.44266946201117	-28.4952595716994	2.22982676004874e-94	4.29846890001396e-92	204.796860625493
RBFOX3	-3.81065189832401	8.21903374748603	-28.486429922233	2.40951425818282e-94	4.57943456336887e-92	204.71954441332
YOD1	-2.76924591620113	13.3212807067039	-28.3540562283596	7.70934816978157e-94	1.44486033615323e-91	203.559304521701
NFIA	-1.80552972625699	12.6371999469274	-28.3452081191281	8.33318409746443e-94	1.54038337275596e-91	203.481677198323
RANBP9	-1.83874631843576	13.6183903044693	-28.2148831334487	2.62436563593656e-93	4.78556620153081e-91	202.337212850305
GTSE1	2.21510154245811	10.825904172905	28.104538423584	6.94285635448174e-93	1.24915871529836e-90	201.366628866723
ANXA9	-3.27243983184357	9.96838568463687	-28.0800248841651	8.6195794927562e-93	1.53042902204279e-90	201.150813592075
SORT1	-1.89531422625697	12.7453318756983	-28.0695626972347	9.45347906328294e-93	1.65669151272649e-90	201.058683662315
TTYH3	2.3168300586592	11.8209568058659	28.0578878567812	1.04797863359083e-92	1.81300303611214e-90	200.955859826883
IL1RN	-3.11082754469273	14.7911416382682	-28.0317963232937	1.31950565115404e-92	2.25384927299653e-90	200.726005573451
FAM46B	-2.83159550837989	11.839962377095	-27.9036210387876	4.09691455253606e-92	6.9104706214902e-90	199.595674128872
