p.value	HR	Low 95%CI	High 95%CI	coef	Gene	type
ABLIM1	0.0122305409395016	0.800005524681291	0.671867595263876	0.952581794437078	-0.223136645486442	ABLIM1	Protective
AHNAK	0.512098931545422	0.922663284183049	0.725325828237137	1.17368981337464	-0.080490916905986	AHNAK	None
AQP3	0.191684930147983	0.915934083939134	0.802814750684079	1.04499231660425	-0.0878108776624439	AQP3	None
BRIX1	0.937241883439089	1.0122140625209	0.748220534126903	1.36935203143099	0.0121400727273115	BRIX1	None
BUB1B	0.548807140276401	1.08183136657788	0.836545702583341	1.39903785543047	0.0786553148378465	BUB1B	None
C1QL4	0.877442952080999	1.00993098408216	0.890729903636253	1.1450840355144	0.00988199592646825	C1QL4	None
CABYR	0.999455215744252	1.00004201580579	0.886420803474093	1.12822716869612	4.20149231541932e-05	CABYR	None
CBX3	0.647447048346346	1.11040131309591	0.708859508018132	1.73940119611625	0.104721493312846	CBX3	None
CDC25A	0.272702141296097	0.906338270659212	0.760279099420898	1.08045724456614	-0.0983426754498125	CDC25A	None
CDC45	0.841673872254192	0.980204070167567	0.805590794987658	1.19266509144731	-0.019994494130525	CDC45	None
CDCA5	0.392812961350946	1.08619570570952	0.89856282220234	1.3130090428292	0.0826814131119138	CDCA5	None
CDK4	0.764012952807008	1.04340311999476	0.790654720663484	1.37694753773331	0.0424876018209319	CDK4	None
CENPF	0.357693259741397	1.15019357162077	0.853635258346408	1.54977812744104	0.139930251358902	CENPF	None
CENPH	0.811920935150079	1.02685533427902	0.825483457034941	1.27735070709314	0.0265010585891465	CENPH	None
CENPV	0.739144726010246	0.973338867182141	0.830206437114049	1.14114816269157	-0.0270229869429774	CENPV	None
CLCN2	0.347170079599135	1.12900995753357	0.876657897635618	1.45400330921305	0.121341104910354	CLCN2	None
CSTB	0.0086954955770384	0.709578262405946	0.54915929346477	0.916858398775951	-0.343084482043999	CSTB	Protective
DLGAP5	0.856704862290809	1.0206504973932	0.817566121881064	1.27418126797155	0.0204401665671794	DLGAP5	None
DTL	0.214887666512093	1.17162096657181	0.912182795000715	1.5048471609351	0.158388231485449	DTL	None
DUOX2	0.901329054233874	1.00800173679948	0.88867721461373	1.14334820864335	0.00796989266305119	DUOX2	None
DUSP2	0.163561000047007	0.850993580713638	0.678181085328193	1.06784174622824	-0.161350693664431	DUSP2	None
EHF	0.164676002569503	0.910406035914346	0.797507447015507	1.03928703528853	-0.0938645856734084	EHF	None
ETV4	0.605021271315479	1.04340695154375	0.888221300172743	1.22570587568445	0.0424912739797319	ETV4	None
EVPLL	0.135812335980855	0.865535139488766	0.715937303149778	1.04639201560519	-0.144407304971939	EVPLL	None
FAM64A	0.525935591084639	1.05409595291033	0.895720867421342	1.24047381093252	0.052683482892381	FAM64A	None
FBXO5	0.338025650627609	1.11252119247825	0.894486584130005	1.38370259059507	0.10662878429547	FBXO5	None
FCHO2	0.906487996881158	1.01229307732538	0.825604172023143	1.24119682182536	0.0122181310388555	FCHO2	None
FOSB	0.150807144843791	0.844819242088642	0.671201792659752	1.06334571750023	-0.168632589195971	FOSB	None
FZD2	0.336379893953994	1.11327002882462	0.894524878498976	1.3855066380701	0.107301656366726	FZD2	None
GINS2	0.670342094187763	1.05716755908859	0.818422778088994	1.36555735972906	0.0555932175872391	GINS2	None
GPR157	0.342520566961209	0.903221074470474	0.732006145512221	1.11448286926162	-0.101787933302784	GPR157	None
GTSE1	0.905695972673623	1.01619313692391	0.779041153307594	1.32553779366714	0.0160634264879977	GTSE1	None
HACD3	0.53680001907015	1.12302553656526	0.777128098729228	1.6228809096467	0.116026415092836	HACD3	None
HIST1H2AJ	0.691327480751562	1.1557463427656	0.565661428475424	2.36139418665366	0.144746319499278	HIST1H2AJ	None
