SYMBOL,log2FoldChange,pvalue,padj
COL10A1,5.702756689,0,0
MMP1,4.984728593,0,0
SPP1,4.951649579,0,0
CST2,4.879547142,0,0
CTHRC1,4.352293294,0,0
SIX1,3.940512863,0,0
COL1A1,3.637588905,0,0
MFAP2,3.634747386,0,0
CCDC50,-2.086232206,0,0
EMP1,-3.428008937,0,0
GPD1L,-2.441575094,9.11E-302,1.07E-298
UBL3,-2.322878907,2.18E-299,2.34E-296
KIF14,2.543925651,4.15E-279,4.11E-276
CST1,4.751737909,1.08E-278,9.93E-276
SASH1,-2.885738822,1.09E-277,9.37E-275
YOD1,-2.767581326,3.93E-274,3.16E-271
CBX3,1.210958226,1.41E-270,1.07E-267
TPX2,2.366660572,1.39E-267,9.92E-265
GTSE1,2.240312443,1.40E-266,9.46E-264
MGLL,-2.744707789,3.78E-265,2.44E-262
COL5A2,3.123152823,5.91E-263,3.63E-260
FSCN1,2.266861599,7.92E-262,4.64E-259
C4orf3,-1.895512625,2.02E-253,1.13E-250
ESM1,3.984043047,4.25E-248,2.28E-245
C1QTNF6,3.011047767,6.27E-247,3.23E-244
KIF2C,2.185311194,1.71E-238,8.47E-236
KIF23,1.83884386,6.94E-237,3.31E-234
ZFP64,2.083634834,4.33E-235,1.99E-232
LPIN1,-2.979121074,6.54E-229,2.90E-226
THSD4,-3.667458061,8.05E-228,3.46E-225
HPGD,-3.691367096,1.28E-227,5.32E-225
SLC46A2,-3.251790634,3.23E-218,1.30E-215
LRRC15,4.470444416,4.56E-218,1.78E-215
KIF26B,2.536391428,9.58E-213,3.63E-210
EHD3,-2.595959084,1.49E-211,5.48E-209
GCKR,-3.285069458,9.39E-211,3.36E-208
CDCA5,2.472147616,1.43E-210,4.98E-208
KIF20A,2.184058829,2.69E-209,9.12E-207
KNSTRN,1.821672495,4.01E-209,1.32E-206
TRNP1,-2.68581127,2.68E-208,8.62E-206
RBFOX3,-3.638035171,3.62E-208,1.14E-205
MINDY1,-1.991450535,4.57E-208,1.40E-205
ANXA9,-3.163093619,5.24E-206,1.57E-203
CHP1,-1.300347174,8.96E-206,2.62E-203
LMO7,-2.600479589,1.63E-205,4.67E-203
ECM1,-3.213505047,1.37E-203,3.82E-201
LOXL2,2.644719501,5.33E-203,1.46E-200
GYS2,-4.729945688,5.70E-202,1.53E-199
HSP90B1,1.11356679,2.65E-198,6.96E-196
GJB7,3.452535626,5.68E-198,1.46E-195
FNDC4,-2.674767743,1.56E-197,3.95E-195
CMSS1,1.565316781,1.88E-197,4.66E-195
KIF4A,1.846996139,4.95E-197,1.20E-194
NUCB2,-1.980945993,1.03E-195,2.45E-193
DTL,2.097448011,3.26E-195,7.64E-193
TMOD3,-1.650102343,7.14E-194,1.64E-191
ALDH9A1,-1.640008147,2.56E-193,5.80E-191
RANBP9,-1.82042443,2.36E-192,5.25E-190
COL1A2,2.875874921,2.68E-192,5.84E-190
AFDN,-1.669536713,2.80E-191,6.01E-189
TREM2,3.203927443,8.73E-191,1.84E-188
CEP55,2.113284988,1.70E-190,3.52E-188
ABLIM1,-2.38611612,3.16E-190,6.45E-188
TOP2A,2.121842293,4.06E-190,8.17E-188
DNAH17,4.284602868,4.49E-190,8.90E-188
ELN,-2.86030612,6.23E-190,1.22E-187
CCNA1,5.323968227,9.12E-190,1.75E-187
GMDS,-1.957857315,2.14E-189,4.06E-187
TEAD3,-2.180876396,2.76E-188,5.16E-186
ECT2,2.03227391,6.08E-188,1.12E-185
RFC4,1.937376054,7.51E-188,1.36E-185
TRIP13,2.225527904,8.95E-188,1.60E-185
FOXM1,2.06506273,1.00E-187,1.77E-185
HOXD11,3.939866001,4.25E-187,7.40E-185
NELL2,3.697240422,6.73E-187,1.16E-184
EPYC,5.359362624,1.05E-185,1.78E-183
STK39,-1.56211524,3.36E-185,5.62E-183
ARHGEF10L,-1.803732575,5.54E-185,9.15E-183
SP1,-1.570986338,8.36E-184,1.36E-181
CENPF,1.853542442,9.37E-184,1.51E-181
BID,1.752493281,1.01E-183,1.60E-181
