#SYMBOL,log2FoldChange
KIF14,2.207060321
GTSE1,1.944930354
TPX2,2.049851107
CBX3,1.050361584
MYBL2,1.775206385
KIF23,1.599604205
KIF2C,1.862365464
KIF4A,1.648134549
C1QL4,3.310435859
CENPF,1.67808873
FOXM1,1.848154884
KIF20A,1.901640753
STC2,2.473458535
CDCA5,2.103224999
DTL,1.832631939
TOP2A,1.86991219
KNSTRN,1.555909378
BUB1B,1.567283303
MCM7,1.457347056
ECT2,1.772213462
CMSS1,1.353213306
CEP55,1.815651899
CDCA8,1.513128212
TROAP,1.63464932
RFC4,1.665533227
NEK2,1.746331005
AURKB,1.750478256
BID,1.513209948
CDC20,1.517329917
HJURP,1.896841554
CENPA,1.66311165
DLGAP5,1.751398616
BCAT1,2.462638526
RUVBL1,1.257830276
FANCI,1.420749929
PCSK9,2.775657466
CAMK2N2,2.310979479
GINS2,1.532069383
FADS1,2.012125839
WDHD1,1.615217269
FZD2,1.704747634
GMPS,1.099527837
SPAG5,1.704892962
UBE2T,1.760015006
FAM72B,1.785957981
RAD51AP1,1.886156184
HSP90AA1,1.125033842
CDC45,1.796887278
E2F7,1.460408455
TACC3,1.263505475
KNTC1,1.328977612
MEST,2.053520313
STIL,1.574755934
LRRC8D,1.348731292
IFI6,1.952293917
CABYR,2.694554617
GPR19,2.363859155
RAD54L,1.740344972
MTBP,1.63947869
NUF2,1.490467031
CCNB2,1.595187454
P3H4,1.876744798
CDK1,1.619549025
PRKDC,1.024804999
MTHFD1L,1.44794117
SPC25,1.45299454
FTL,1.436916864
DEPDC1B,1.553172707
PRC1,1.325719752
PRR11,1.41897052
MEX3A,2.30254569
ZNF281,1.11759423
BRIX1,1.022613541
CCDC150,1.594499766
TK1,1.405948576
LMNB2,1.200989108
GMNN,1.159254226
RAB15,1.559825649
CDK4,1.036129329
RNASEH2A,1.408974477
STMN1,1.25590441
DARS2,1.034402978
BRCA1,1.15665661
BIRC5,2.046978037
CCNF,1.452800705
KIFC1,1.187726832
SKA1,1.507783622
DDX11,1.241695878
SGO2,1.428622626
NOP2,1.049733606
PAQR4,1.461667981
ASPM,1.454417899
FANCB,1.400669963
FJX1,1.527426614
SPOCD1,2.103957949
HLTF,1.341368946
NEMP1,1.180468467
APMAP,1.201650452
RAD51,1.165316608
CENPN,1.527304795
CLSPN,1.709599732
OIP5,1.325853483
MMS22L,1.248165228
CENPE,1.39364957
SPDL1,1.050045489
SLC19A1,1.025206963
MCM6,1.080167709
PRIM2,1.167585276
YEATS2,1.056450651
KNL1,1.472036117
FLVCR1,1.190939645
SP1,1.117183953
MAD2L2,1.326299275
ZWINT,1.181624384
MLF1,1.51561584
LGALS1,1.596592474
FANCA,1.303187021
KIF18A,1.536431029
ARPC1B,1.315505213
PPEF1,2.154681882
USP18,1.49876162
ETV4,1.676832221
HSPH1,1.05582162
TUSC3,1.35322514
ASF1B,1.182727407
NUDT1,1.13036604
PCNA,1.015567383
TAF1A,1.036696002
NDC80,1.600414222
SMC2,1.136472015
IQGAP3,1.2425844
ECE2,1.544529222
CLCN2,1.048535465
SAPCD2,1.479945018
CENPL,1.299629871
NAT14,1.098289913
PRR5L,1.656486287
HMMR,1.420744038
TYMS,1.163725946
DDIAS,1.384122854
ELN,1.896623329
TNFRSF12A,1.773859882
FBXO5,1.116529677
TICRR,1.114160672
POLE2,1.064843796
ERCC6L,1.375160154
RASSF3,1.318152085
RTN4R,1.441767331
TMSB15A,2.37682002
COA6,1.083791892
PDXP,1.132465321
MAD2L1,1.346204217
FBXO43,1.678073368
ST3GAL4,1.385269954
FCGR3A,1.869273131
ORC1,1.168254852
RYR1,1.464587999
RCOR2,1.568210254
TGIF2,1.177545704
MRPL21,1.189739061
RPL39L,1.408760657
PBK,1.40474566
DSPP,1.856865782
TMEM38B,1.072772017
TREH,1.568296722
SSC4D,1.308446092
SCARB1,1.098901761
MRPL47,1.0137602
ABLIM1,1.546845692
MSANTD3,1.135595373
KIF15,1.086946397
EPOP,1.437722264
ESPL1,1.382154981
CSTB,1.672685473
CDT1,1.323119226
RFC3,1.070576294
RNF213,1.11105374
TXLNA,1.139871973
GPR84,1.184087304
PKD2L1,1.529034788
MINPP1,1.121075233
IKBIP,1.110375983
IFI35,1.334416925
SLC2A6,1.435232746
HERC5,1.482928034
SLC22A4,1.103751096
MYOCD,1.942677056
ESCO2,1.239295768
AHNAK,1.131150569
SLC16A1,1.188613479
THSD4,1.987099413
SKA3,1.149167328
SHCBP1,1.160899272
TCP11L2,1.46553456
TRPM2,1.232795185
PMM1,1.063019281
SLC43A2,1.126951635
APOLD1,1.076642409
PLK4,1.022021192
TTC22,1.209986728
CDC25A,1.059546224
MYL5,1.099949784
OR8J3,1.022902776
DUSP2,1.138227998
TMEM97,1.079046014
CACNB2,1.649424417
P2RY6,1.328538676
FCHO2,1.120026247
RAB27B,1.134998117
MYO7A,1.167004981
EVPLL,1.597016399
TACR1,1.253385815
NCF2,1.137967086
TNFSF10,1.439255117
ZGRF1,1.100641359
TNFRSF4,1.129347731
TACSTD2,1.108417495
LMOD1,1.727131772
RAB42,1.066900518
KIF24,1.050965946
EHF,1.435194021
FLNC,1.693074043
MCM10,1.001454775
FOSB,1.345750274
DBF4,1.126300026
TEC,1.165961624
IKZF2,1.451246162
RRM2,1.011546641
EMILIN2,1.035597483
KIF3C,1.121256858
LIMS2,1.323327826
P2RX1,1.009160814
MAL2,1.01536403
AQP3,1.362608749
LYPD3,1.247295326
MSX1,1.118104854
MACC1,1.158823051
OR10G8,1.040409639
S100A9,1.309196401
S100A8,1.218572495
AQP5,1.394149122
CENPV,1.022255282
MAB21L3,1.370049733
MYL2,1.108966209
TJP3,1.006042265
TMPRSS11A,1.417994794
SLPI,1.046418217
NOTUM,1.184941295
TMPRSS11F,1.124379166
S100A7,1.003601
