#ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0008544	epidermis development	104/2074	387/18888	0.26873385	2.447369798	10.10386958	1.33E-18	7.87E-15	6.55E-15	EMP1/LAMC2/GRHL3/SCEL/SPINK5/PPL/HOXC13/FST/EXPH5/ATP2C1/TGM3/LAMB3/FLG/PTHLH/ALOX12/EXT1/KAZN/STMN1/CYP27B1/COL7A1/PLOD1/CRABP2/GLI1/LGR5/ANKRD24/HES5/ETV4/FGF10/ZFP36/TGM1/SFRP4/LHX2/CNFN/ALDH3A2/MSX2/KRT32/CDSN/SPINT1/KRT4/ZNF750/SPRR3/AQP3/HOXB13/FOXC1/GRHL1/CASP14/TP63/PLOD3/KLK14/LCE2A/SPRR2D/FOXE1/COL6A1/MYO6/TCHH/CLDN4/MYO7A/GLI2/KRT15/PLS1/SLC44A4/IL20/HPSE/BNC1/ZBED2/KRT17/ALOX15B/FA2H/LCE2B/TMPRSS11F/FERMT1/WNT16/KRT36/REG3G/DKK4/HOXA7/TGM5/IVL/OVOL1/KRT34/ALOXE3/LCE1C/GRXCR1/SPRR2G/CLDN1/KRT2/ALX4/LCE6A/PTCH2/WNT10B/LIPM/SLC39A2/SOSTDC1/SPRR1A/KRT80/AKR1C3/ACER1/CST6/KRTAP5-9/LCE2D/SPRR1B/EREG/LCE5A/S100A7	104
BP	GO:0043588	skin development	88/2074	318/18888	0.27672956	2.520187042	9.601851368	8.78E-17	2.59E-13	2.16E-13	COL1A1/COL5A2/COL1A2/GRHL3/SCEL/SPINK5/PPL/HOXC13/COL5A1/COL3A1/FST/EXPH5/TGM3/FLG/RYR1/ALOX12/EXT1/KAZN/STMN1/TFAP2B/CYP27B1/LGR5/ITGB4/ETV4/FGF10/ZFP36/TGM1/LHX2/CNFN/MSX2/CDSN/KRT4/SPRR3/AQP3/FOXC1/GRHL1/CASP14/TP63/ASPRV1/LCE2A/SPRR2D/FOXE1/COL5A3/COL6A1/TCHH/CLDN4/GLI2/ADAMTS2/SLITRK5/IL20/HPSE/ZBED2/KRT17/ALOX15B/FA2H/LCE2B/TMPRSS11F/FERMT1/WNT16/KRT36/REG3G/DKK4/HOXA7/IVL/OVOL1/ALOXE3/ASCL4/LCE1C/SPRR2G/CLDN1/KRT2/ALX4/LCE6A/PTCH2/ITGB6/WNT10B/LIPM/SLC39A2/SOSTDC1/SPRR1A/KRT80/AKR1C3/ACER1/LCE2D/SPRR1B/EREG/LCE5A/S100A7	88
BP	GO:0045229	external encapsulating structure organization	88/2074	334/18888	0.263473054	2.399459519	9.062857311	2.26E-15	4.44E-12	3.70E-12	COL10A1/MMP1/COL1A1/COL5A2/FSCN1/THSD4/LOXL2/COL1A2/ELN/COL11A1/SPINK5/COL5A1/SULF1/GFOD2/COL3A1/MELTF/P3H4/TGFBI/MMP10/MMP13/EXT1/P4HA1/LAMA1/MAD2L2/TGFBR3/RUNX1/SH3PXD2B/COL7A1/MATN3/COL8A1/COL12A1/LUM/TGM1/PRSS1/DPT/HPSE2/CTSK/SPINT1/TMEM38B/LAMB1/NID2/FOXC1/QSOX1/CAV2/C6orf15/PLOD3/ELF3/CTSG/MYH11/COL9A2/ANTXR1/COL5A3/ANGPTL7/COL6A1/DMP1/ABI3BP/MMP8/RECK/ADAMTS2/PHLDB2/COL9A3/COL16A1/ADAMTSL1/SMPD3/HAS3/EGFL6/NTN4/WT1/COL24A1/MMP20/FERMT1/MMP9/COL4A5/TNFRSF11B/LOXL4/NDNF/FLRT2/HAS2/ADAMTSL3/FOXC2/COL2A1/GAS2/SMOC1/ADAMTS3/DPP4/IHH/PPARG/MMP16	88
BP	GO:0030198	extracellular matrix organization	87/2074	332/18888	0.262048193	2.386483252	8.951417895	4.61E-15	6.59E-12	5.49E-12	COL10A1/MMP1/COL1A1/COL5A2/FSCN1/THSD4/LOXL2/COL1A2/ELN/COL11A1/SPINK5/COL5A1/SULF1/GFOD2/COL3A1/MELTF/P3H4/TGFBI/MMP10/MMP13/EXT1/P4HA1/LAMA1/MAD2L2/TGFBR3/RUNX1/SH3PXD2B/COL7A1/MATN3/COL8A1/COL12A1/LUM/PRSS1/DPT/HPSE2/CTSK/SPINT1/TMEM38B/LAMB1/NID2/FOXC1/QSOX1/CAV2/C6orf15/PLOD3/ELF3/CTSG/MYH11/COL9A2/ANTXR1/COL5A3/ANGPTL7/COL6A1/DMP1/ABI3BP/MMP8/RECK/ADAMTS2/PHLDB2/COL9A3/COL16A1/ADAMTSL1/SMPD3/HAS3/EGFL6/NTN4/WT1/COL24A1/MMP20/FERMT1/MMP9/COL4A5/TNFRSF11B/LOXL4/NDNF/FLRT2/HAS2/ADAMTSL3/FOXC2/COL2A1/GAS2/SMOC1/ADAMTS3/DPP4/IHH/PPARG/MMP16	87
BP	GO:0043062	extracellular structure organization	87/2074	333/18888	0.261261261	2.379316636	8.918790371	5.59E-15	6.59E-12	5.49E-12	COL10A1/MMP1/COL1A1/COL5A2/FSCN1/THSD4/LOXL2/COL1A2/ELN/COL11A1/SPINK5/COL5A1/SULF1/GFOD2/COL3A1/MELTF/P3H4/TGFBI/MMP10/MMP13/EXT1/P4HA1/LAMA1/MAD2L2/TGFBR3/RUNX1/SH3PXD2B/COL7A1/MATN3/COL8A1/COL12A1/LUM/PRSS1/DPT/HPSE2/CTSK/SPINT1/TMEM38B/LAMB1/NID2/FOXC1/QSOX1/CAV2/C6orf15/PLOD3/ELF3/CTSG/MYH11/COL9A2/ANTXR1/COL5A3/ANGPTL7/COL6A1/DMP1/ABI3BP/MMP8/RECK/ADAMTS2/PHLDB2/COL9A3/COL16A1/ADAMTSL1/SMPD3/HAS3/EGFL6/NTN4/WT1/COL24A1/MMP20/FERMT1/MMP9/COL4A5/TNFRSF11B/LOXL4/NDNF/FLRT2/HAS2/ADAMTSL3/FOXC2/COL2A1/GAS2/SMOC1/ADAMTS3/DPP4/IHH/PPARG/MMP16	87
BP	GO:0007389	pattern specification process	102/2074	474/18888	0.215189873	1.959742685	7.432249096	1.42E-11	1.39E-08	1.16E-08	SIX1/HOXD11/GRHL3/DLX1/HOXC13/SHROOM3/DLX2/HOXD13/STIL/HOXC10/FST/HOXC8/HEY1/DLL3/PRKDC/EXT1/EN1/MEIS1/HOXD10/CTNNBIP1/HOXB7/HOXC11/GLI1/CDX1/BCOR/DMRT2/HES5/FGF10/LHX2/AR/MSX2/DAAM2/PLXNA2/COBL/ACVR1/GREM2/CITED2/BASP1/HOXD8/NKX2-1/FOXC1/OTX1/SPRY1/SIX2/TP63/GSC/BHLHE40/WNT11/SOX17/CHRDL1/EFNB1/GLI2/EMX1/BTG2/FOLR1/TDRD5/TBX1/HOXA4/RTTN/SEMA3C/RELN/TBX3/TBX20/WT1/NKX3-2/PBX1/WNT7A/DNAH5/VANGL2/DNAH11/PCDH8/MSX1/ALDH1A2/FOXG1/HOXB5/HOXA7/GPC3/DZIP1L/ZIC1/HOXB6/FOXC2/HES7/RIPPLY3/DNAAF3/DMRT3/HOXB9/ALX4/ALX3/ROBO2/NKX2-2/WNT8B/IHH/SOSTDC1/DMRTA2/SOX1/MEOX2/TBX18/IRX1/GATA4/HOXB8/BARX1/DCANP1	102
BP	GO:0048562	embryonic organ morphogenesis	73/2074	297/18888	0.245791246	2.238430593	7.555250458	2.07E-11	1.75E-08	1.45E-08	CTHRC1/SIX1/MFAP2/GRHL3/COL11A1/SIX4/DLX2/TBX15/STIL/DLX6/MTHFD1L/FZD2/STRA6/RUNX2/FLVCR1/HOXD10/HOXB7/HOXC11/SOX11/GLI1/ANKRD24/FBN2/FGF10/TMIE/ACVR1/FOXL2/CHST11/TCF21/CITED2/DLX5/OTX1/SIX2/PHACTR4/GSC/WNT11/SOX17/NDST1/FOXE1/KCNQ4/EFNA1/MYO6/MYO7A/PLS1/FOLR1/TBX1/HOXA4/NTN1/SLC44A4/TBX3/TBX20/NKX3-2/VANGL2/RYR2/MSX1/WNT16/FOXG1/HOXB5/HOXA7/ZIC1/HOXB6/FOXC2/COL2A1/HOXB9/ALX4/ALX3/RBP4/IHH/MMP16/TBX18/GATA4/MYO3A/HOXB8/DCANP1	73
BP	GO:0007088	regulation of mitotic nuclear division	39/2074	118/18888	0.330508475	3.009953745	7.692106263	1.11E-10	8.16E-08	6.80E-08	TRIP13/CENPF/BUB1B/NEK2/CDCA8/AURKB/DLGAP5/CDC20/KNTC1/MTBP/BIRC5/SPC25/NUF2/SPDL1/MAD2L2/ESPL1/KNL1/ZWINT/BUB1/NDC80/DUSP1/TOM1L2/FBXO5/MAD2L1/MKI67/CUL3/XRCC3/PDXP/FBXO43/NUSAP1/CAV2/EPGN/CCNB1/PDGFRB/DMRT1/SMPD3/IL1B/EDN3/EREG	39
BP	GO:0003002	regionalization	92/2074	429/18888	0.214452214	1.953024796	7.012600626	1.74E-10	9.54E-08	7.95E-08	SIX1/HOXD11/DLX1/HOXC13/DLX2/HOXD13/STIL/HOXC10/HOXC8/HEY1/DLL3/PRKDC/EXT1/EN1/HOXD10/CTNNBIP1/HOXB7/HOXC11/GLI1/CDX1/DMRT2/HES5/FGF10/LHX2/AR/MSX2/DAAM2/PLXNA2/COBL/ACVR1/GREM2/CITED2/BASP1/HOXD8/NKX2-1/FOXC1/OTX1/SPRY1/SIX2/TP63/GSC/BHLHE40/WNT11/SOX17/GLI2/EMX1/BTG2/FOLR1/TDRD5/TBX1/HOXA4/RTTN/SEMA3C/RELN/TBX3/TBX20/WT1/NKX3-2/PBX1/WNT7A/DNAH5/VANGL2/DNAH11/PCDH8/MSX1/ALDH1A2/FOXG1/HOXB5/HOXA7/GPC3/DZIP1L/HOXB6/FOXC2/HES7/DNAAF3/DMRT3/HOXB9/ALX4/ROBO2/NKX2-2/WNT8B/IHH/SOSTDC1/DMRTA2/SOX1/MEOX2/TBX18/IRX1/GATA4/HOXB8/BARX1/DCANP1	92
BP	GO:0048568	embryonic organ development	96/2074	455/18888	0.210989011	1.921485265	6.987895898	1.77E-10	9.54E-08	7.95E-08	CTHRC1/SIX1/MFAP2/TEAD3/GRHL3/COL11A1/SIX4/DLX2/STK3/TBX15/STIL/DLX6/MTHFD1L/FZD2/CITED1/HEY1/CSF2/STRA6/EN1/RUNX2/E2F7/FLVCR1/HOXD10/HOXB7/CXCL8/HOXC11/SOX11/GLI1/ANKRD24/FBN2/FGF10/TMIE/COBL/SPINT1/ACVR1/FOXL2/CHST11/TCF21/CITED2/DLX5/FOXC1/OTX1/SIX2/PHACTR4/GSC/WNT11/SOX17/PLK4/NDST1/FOXE1/KCNQ4/EFNA1/MYO6/MYO7A/GLI2/NCOA1/PLS1/FOLR1/TBX1/HOXA4/ECE1/NTN1/PRDM1/SLC44A4/TBX3/TBX20/NKX3-2/PBX1/VANGL2/RYR2/MSX1/ALDH1A2/WNT16/SALL1/KIT/FOXG1/HOXB5/HOXA7/ZIC1/HOXB6/FOXC2/PLXNA4/COL2A1/HOXB9/ALX4/ALX3/RBP4/IHH/KRT8/MMP16/TBX18/GATA4/TUBB2B/MYO3A/HOXB8/DCANP1	96
