id	category	gene_num.min	gene_num.max	gene_num.rich	Pvalue	up.regulated	down.regulated	rich.factor
GO:0008544	BP	0	2074	104	7.87e-15	6	0	0.05014464802314368
GO:0043588	BP	0	2074	88	2.59e-13	6	0	0.04243008678881389
GO:0045229	BP	0	2074	88	4.44e-12	5	0	0.04243008678881389
GO:0030198	BP	0	2074	87	6.59e-12	5	0	0.041947926711668276
GO:0043062	BP	0	2074	87	6.59e-12	5	0	0.041947926711668276
GO:0007389	BP	0	2074	102	1.39e-08	3	0	0.04918032786885246
GO:0048562	BP	0	2074	73	1.75e-08	6	0	0.0351976856316297
GO:0007088	BP	0	2074	39	8.16e-08	22	0	0.018804243008678882
GO:0003002	BP	0	2074	92	9.54e-08	3	0	0.044358727097396335
GO:0048568	BP	0	2074	96	9.54e-08	8	0	0.04628736740597879
GO:0000070	BP	0	2074	52	9.54e-08	37	0	0.02507232401157184
GO:0140014	BP	0	2074	67	1.42e-07	40	0	0.03230472516875603
GO:0009913	BP	0	2074	61	2.86e-07	4	0	0.029411764705882353
GO:0045787	BP	0	2074	75	3.13e-07	30	0	0.03616200578592092
GO:0051783	BP	0	2074	43	3.93e-07	24	0	0.020732883317261332
GO:0090068	BP	0	2074	63	5.45e-07	30	0	0.03037608486017358
GO:0030216	BP	0	2074	48	6.3e-07	3	0	0.023143683702989394
GO:0033047	BP	0	2074	23	9.14e-07	17	0	0.011089681774349084
GO:0051784	BP	0	2074	25	1.06e-06	18	0	0.012054001928640309
GO:0010965	BP	0	2074	24	1.14e-06	18	0	0.011571841851494697
GO:0048705	BP	0	2074	56	1.52e-06	3	0	0.02700096432015429
GO:0048706	BP	0	2074	38	1.58e-06	2	0	0.01832208293153327
GO:0045839	BP	0	2074	23	1.66e-06	17	0	0.011089681774349084
GO:0033046	BP	0	2074	21	1.66e-06	16	0	0.010125361620057859
GO:0033048	BP	0	2074	21	1.66e-06	16	0	0.010125361620057859
GO:0045841	BP	0	2074	21	1.66e-06	16	0	0.010125361620057859
GO:2000816	BP	0	2074	21	1.66e-06	16	0	0.010125361620057859
GO:0007517	BP	0	2074	76	2.54e-06	7	0	0.03664416586306654
GO:0051306	BP	0	2074	24	2.54e-06	18	0	0.011571841851494697
GO:0000280	BP	0	2074	89	2.76e-06	49	0	0.0429122468659595
GO:0000819	BP	0	2074	55	2.76e-06	39	0	0.02651880424300868
GO:0051985	BP	0	2074	21	3.13e-06	16	0	0.010125361620057859
GO:1902100	BP	0	2074	21	3.13e-06	16	0	0.010125361620057859
GO:1905819	BP	0	2074	21	3.13e-06	16	0	0.010125361620057859
GO:0007094	BP	0	2074	20	3.13e-06	15	0	0.009643201542912247
GO:0071173	BP	0	2074	20	3.13e-06	15	0	0.009643201542912247
GO:0071174	BP	0	2074	20	3.13e-06	15	0	0.009643201542912247
GO:0007059	BP	0	2074	85	3.35e-06	51	0	0.040983606557377046
GO:0060537	BP	0	2074	87	3.91e-06	7	0	0.041947926711668276
GO:0031577	BP	0	2074	20	4.53e-06	15	0	0.009643201542912247
GO:1905818	BP	0	2074	26	4.77e-06	19	0	0.01253616200578592
GO:0051960	BP	0	2074	91	5e-06	5	0	0.04387656702025072
GO:0098813	BP	0	2074	68	5.6e-06	43	0	0.03278688524590164
GO:0051310	BP	0	2074	31	6.43e-06	24	0	0.014946962391513982
GO:0048285	BP	0	2074	94	7.4e-06	49	0	0.04532304725168756
GO:0051304	BP	0	2074	27	8.28e-06	19	0	0.013018322082931534
GO:0048736	BP	0	2074	46	1.04e-05	2	0	0.022179363548698167
GO:0060173	BP	0	2074	46	1.04e-05	2	0	0.022179363548698167
GO:0035107	BP	0	2074	39	2.34e-05	2	0	0.018804243008678882
GO:0035108	BP	0	2074	39	2.34e-05	2	0	0.018804243008678882
GO:0034329	BP	0	2074	86	2.9e-05	1	0	0.041465766634522665
GO:0009952	BP	0	2074	50	3.94e-05	2	0	0.024108003857280617
