#KIND	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
KEGG	hsa04820	Cytoskeleton in muscle cells	64/1086	232/8850	0.275862069	2.248047247	7.204287255	1.40E-10	4.71E-08	4.47E-08	1277/1290/29766/1278/2006/1301/1289/1281/375790/114793/84823/64236/11155/1462/284217/477/2273/3691/3685/2201/7058/22801/23500/3679/4636/1465/58529/10529/25802/22795/81624/832/8736/4703/2026/4629/287/1298/481/50509/4001/1291/10398/2318/1293/171024/72/1299/7169/2335/255631/1287/1674/4633/58/3694/3680/127294/1756/7137/4606/165904/161176/93661	64
KEGG	hsa04974	Protein digestion and absorption	34/1086	105/8850	0.323809524	2.638779269	6.317633832	4.58E-08	7.69E-06	7.30E-06	1300/1277/1290/1278/2006/1301/1289/1281/477/1294/1295/1303/5646/5644/4311/7512/1298/481/50509/1291/117247/1293/440387/10136/1299/1307/23428/255631/1360/1287/6546/1280/1358/1803	34
KEGG	hsa04110	Cell cycle	41/1086	158/8850	0.259493671	2.114658368	5.287248371	1.73E-06	0.000193999	0.000184154	113130/8900/9319/4176/701/9212/8318/991/983/27085/9133/1019/1663/5591/4173/10459/7709/4175/9700/57082/1021/699/5111/10403/26271/4085/11200/8317/4998/81620/9134/90381/157570/993/891/9232/4616/10926/6502/1030/1029	41
KEGG	hsa04512	ECM-receptor interaction	27/1086	89/8850	0.303370787	2.472220498	5.220478003	4.53E-06	0.000380926	0.000361594	6696/1277/1278/3918/375790/3914/284217/3161/3691/3685/7058/22801/3679/1101/3912/1834/1298/1291/1758/1293/1299/2335/5649/1287/1280/3694/3680	27
KEGG	hsa00590	Arachidonic acid metabolism	20/1086	61/8850	0.327868852	2.671859433	4.900204356	2.20E-05	0.001312408	0.001245801	3248/239/2053/5730/1571/4048/1558/1559/5320/247/5322/5319/59344/5742/5740/27306/874/123745/8644/246	20
KEGG	hsa04514	Cell adhesion molecules	38/1086	157/8850	0.242038217	1.972410881	4.597630265	2.34E-05	0.001312408	0.001245801	1462/3685/257194/26047/100506658/90952/3107/4897/26285/1366/49861/214/57863/8174/1013/1364/7122/4684/941/10686/26050/54413/1493/23114/3134/22871/80380/84631/9074/9076/3680/57502/53842/51208/5010/959/9379/9071	38
KEGG	hsa03272	Virion - Hepatitis viruses	17/1086	48/8850	0.354166667	2.886164825	4.900369463	2.92E-05	0.001403136	0.001331924	9525/100506658/949/26285/1366/4072/49861/1364/7122/10686/9074/9076/1803/53842/51208/5010/9071	17
KEGG	hsa00330	Arginine and proline metabolism	16/1086	50/8850	0.32	2.607734807	4.263608575	0.000198545	0.008338893	0.007915679	223/5033/29920/1160/224/8974/112849/2628/5831/113451/4843/217/57571/79814/4128/4129	16
KEGG	hsa04530	Tight junction	37/1086	170/8850	0.217647059	1.773643159	3.809118946	0.000313771	0.01171411	0.011119596	4301/1019/84952/861/10095/4478/5111/58538/51421/9414/7074/100506658/26285/1366/49861/91862/57530/1080/911/4629/10398/913/9223/1364/909/7122/10686/2017/4633/9074/9076/53842/1740/51208/5010/2626/9071	37
KEGG	hsa04814	Motor proteins	41/1086	197/8850	0.208121827	1.696020417	3.694800445	0.000413292	0.013886599	0.013181828	9928/11004/9493/55083/10112/24137/8632/1062/3833/81930/4644/4430/10749/3832/4651/4636/56992/4645/6990/832/4629/10398/4646/1780/4647/347240/55930/3797/72/57519/7169/1767/8701/547/4633/58/7137/93661/127602/347733/53904	41
KEGG	hsa05146	Amoebiasis	25/1086	103/8850	0.242718447	1.977954192	3.73359158	0.000537628	0.016422081	0.01558863	1277/1278/3918/5269/9630/1281/3914/1437/3592/284217/3576/5868/3912/5275/911/1511/4843/913/909/6317/929/2335/3553/1287/3458	25
KEGG	hsa00340	Histidine metabolism	9/1086	22/8850	0.409090909	3.333751883	4.098775263	0.000681618	0.019085311	0.018116696	223/443/224/217/57571/3067/10841/4128/4129	9
