id	category	gene_num.min	gene_num.max	gene_num.rich	Pvalue	up.regulated	down.regulated	rich.factor
hsa04820	KEGG	0	1086	64	4.71e-08	6	0	0.058931860036832415
hsa04974	KEGG	0	1086	34	7.69e-06	1	0	0.03130755064456722
hsa04110	KEGG	0	1086	41	0.000193999	26	0	0.037753222836095765
hsa04512	KEGG	0	1086	27	0.000380926	2	0	0.024861878453038673
hsa00590	KEGG	0	1086	20	0.001312408	0	0	0.01841620626151013
hsa04514	KEGG	0	1086	38	0.001312408	0	0	0.034990791896869246
hsa03272	KEGG	0	1086	17	0.001403136	1	0	0.01565377532228361
hsa00330	KEGG	0	1086	16	0.008338893	0	0	0.014732965009208104
hsa04530	KEGG	0	1086	37	0.01171411	4	0	0.03406998158379374
hsa04814	KEGG	0	1086	41	0.013886599	14	0	0.037753222836095765
hsa05146	KEGG	0	1086	25	0.016422081	0	0	0.02302025782688766
hsa00340	KEGG	0	1086	9	0.019085311	0	0	0.008287292817679558
