,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
CSTB,27083.2951712906,-1.02573170459735,0.0957592329747999,-10.7115697644245,8.98256057902631e-27,1.21210672453381e-22,down
PLA2G4E,280.298708728498,-2.38887743763001,0.243607115212205,-9.80627119839695,1.05806269873606e-22,4.75916601891482e-19,down
RNF39,2630.42504094051,-1.68278626574828,0.173133561386211,-9.71958441953652,2.48794820679776e-22,8.39309327563226e-19,down
EVPLL,1386.56004598356,-1.14018441485347,0.119491932866595,-9.54193632574681,1.40189934758326e-21,3.78344595925771e-18,down
OR4S1,420.672841366296,-1.64982967183877,0.176862527692876,-9.32831670654236,1.07565581144576e-20,2.07355707423558e-17,down
DEGS2,3266.04171570337,-1.11873284637925,0.123213827577213,-9.07960468704852,1.08969902477425e-19,1.58759417494504e-16,down
RAB3D,3513.84403263063,-1.04283508931617,0.115407953551309,-9.03607643343695,1.62396148727748e-19,1.82614469244353e-16,down
TFF1,470.224125760424,-1.72603351396851,0.191823201824612,-8.99804349813038,2.29775781566051e-19,2.38507261265561e-16,down
ABLIM1,5869.39155528049,-1.00105118088219,0.112478250227282,-8.89995335862175,5.58701605001366e-19,5.02607963859229e-16,down
GKN1,82.4256050839281,-2.25508869504855,0.253265996980037,-8.90403260579156,5.38536220453419e-19,5.02607963859229e-16,down
ACKR2,313.903959731124,-1.2426547767498,0.141418908960081,-8.78704825180465,1.53540844970977e-18,1.21875303649315e-15,down
SPRR2A,17415.5310197388,-1.19547110796066,0.139413810850139,-8.57498335832535,9.91011246543165e-18,6.68635288042674e-15,down
KLK14,1986.66650371779,-2.4452309016333,0.286284768473929,-8.54125392233703,1.32773091982031e-17,8.14381865093421e-15,down
SPRR2D,18062.6464543853,-1.17458643119895,0.139266669596992,-8.43408142521074,3.33814248597548e-17,1.63228648053334e-14,down
ALOXE3,351.898044115982,-1.45351799494777,0.172596311431755,-8.42148932900278,3.71728189978161e-17,1.72968972260873e-14,down
LYPD3,19948.3555299319,-1.1578783927254,0.138503610965827,-8.35991484013429,6.27635459119672e-17,2.82310429512028e-14,down
STEAP4,1418.55300827525,-1.87758934848434,0.226618312784035,-8.2852498786083,1.17861361724539e-16,4.97006629722166e-14,down
TRPV3,305.035117412764,-1.79833027886696,0.220187950206756,-8.16725110151726,3.15495774739473e-16,1.25214705421601e-13,down
CEACAM19,3092.72344931909,-1.17248423600744,0.145183494450379,-8.07587832519195,6.69926579489995e-16,2.25754039451718e-13,down
FAM83C,10286.5702474261,-1.5131521185706,0.188119654778608,-8.04356206347168,8.72639792010293e-16,2.57261505086413e-13,down
CASP14,4900.58747090642,-2.05163966399837,0.255020570897899,-8.0449967497711,8.62477122659407e-16,2.57261505086413e-13,down
IL36B,843.592928783298,-1.71214718097987,0.213780202666331,-8.00891363945518,1.1572613522111e-15,3.32257120994395e-13,down
IL36RN,2920.61034384615,-1.71907179189513,0.215158826541385,-7.9897804776532,1.35179244357372e-15,3.80022650699661e-13,down
EPGN,1168.17690467406,-1.75357277434982,0.222893208873362,-7.86732257664307,3.62311567702117e-15,9.22458923504219e-13,down
CNFN,22309.7371877491,-1.1953285768298,0.15216242100379,-7.85560961073318,3.97832399991778e-15,9.94138963979455e-13,down
GPR45,7298.37075180473,-1.42652835400914,0.185189597609482,-7.70306956990819,1.3283599163377e-14,3.03811673068829e-12,down
KLK13,7213.10117294617,-1.4550992817749,0.18980765317878,-7.66617814090109,1.77197043487136e-14,3.79539191240541e-12,down
POF1B,1403.14048081069,-1.88565413222116,0.246069401860764,-7.66309877604426,1.81499644312416e-14,3.8268065630496e-12,down
SPRR3,15470.8579422007,-1.13031287685233,0.147594548551795,-7.65822916864488,1.88514280995661e-14,3.91355647346991e-12,down
KRT80,5072.32054409924,-1.36604572690597,0.179478842842158,-7.61117970939521,2.71605263688243e-14,5.09033531695715e-12,down
CRCT1,15037.3769242247,-1.12952023237032,0.149049153312104,-7.57817275221378,3.50455564546851e-14,6.47814710684275e-12,down
ALOX12B,2818.69185315076,-1.48654799479752,0.19721568692433,-7.53767622637391,4.78419880515033e-14,8.72405117252683e-12,down
MACC1,2359.28458986241,-1.23617825298328,0.164524791495097,-7.5136290509757,5.75103953817079e-14,1.0211122043168e-11,down
FAM25A,13901.3322644784,-1.17650891378609,0.1571960707588,-7.48434046797082,7.19073212226459e-14,1.24399665715177e-11,down
TGM5,900.379756441731,-1.17181774723973,0.157714897625067,-7.42997500480566,1.08618202530202e-13,1.80949879622536e-11,down
LCE3C,1102.61957010442,-1.68388613686188,0.227720723761424,-7.39452303263377,1.41916755599964e-13,2.2267729070534e-11,down
GSDMA,1545.10725910413,-1.38801895172596,0.187774841779112,-7.39193247921223,1.44710011686515e-13,2.24450218126188e-11,down
SBSN,9525.09020471988,-1.20664680110155,0.163673310822676,-7.3722880965537,1.67724064997921e-13,2.54299835177746e-11,down
ZNF449,5581.03951660174,-1.13304573615153,0.153765584001619,-7.36865627967571,1.72356404218471e-13,2.55579925112532e-11,down
SCEL,3133.05424553614,-1.18233413167299,0.160683631570508,-7.35814917871197,1.86477586978247e-13,2.69639882861786e-11,down
TGM3,5046.68047798235,-1.32028719747407,0.179714355856921,-7.34658726164989,2.03331497886661e-13,2.88816340261327e-11,down
SPHKAP,200.665902292791,-1.39982271116235,0.190635051653216,-7.34294506190169,2.08944310033521e-13,2.93697345790868e-11,down
GDPD3,1362.11440098456,-1.30231362098264,0.177907856893503,-7.32015799483335,2.47679171685713e-13,3.27664974777158e-11,down
FER1L6,91.7787029927389,-1.64145306522472,0.225836096507932,-7.26833792562947,3.63937452019172e-13,4.58969343695954e-11,down
