,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
NPTX2,2003.27065262201,3.08840416393877,0.298949338259487,10.3308613490157,5.10996439813241e-25,3.44769297941994e-21,up
ADGRG2,103.736562736482,1.90846169801794,0.20107182935446,9.49144245688242,2.2785906482351e-21,5.12455036788073e-18,up
CRABP1,147.525429842024,2.38881470749792,0.2572639787647,9.2854612564427,1.61008262970092e-20,2.71580687564803e-17,up
PPM1E,56.3995690680535,1.97423225605763,0.217885565489386,9.06086757800301,1.29417044052138e-19,1.58759417494504e-16,up
DZANK1,525.352401815294,1.46974038323903,0.162115749619595,9.06599381422084,1.23473456678822e-19,1.58759417494504e-16,up
FOXL1,790.737498856325,1.47830387069254,0.166904517314982,8.85718310369446,8.20616832396522e-19,6.92087721022417e-16,up
CLDN11,1215.58539700504,1.83083886178691,0.20973287982388,8.72938407809175,2.56063256607002e-18,1.91962088036382e-15,up
RIPPLY3,297.82799536489,1.92035487904211,0.22228717836749,8.63907173209665,5.66715868185864e-18,4.02487575015792e-15,up
HOXC6,1257.24528530065,1.20041010124432,0.140272904099018,8.55767625939334,1.15165223493753e-17,7.40018821821285e-15,up
HOXB13,536.286726000175,2.58341384719802,0.30444008575661,8.48578741126547,2.14262846432155e-17,1.21278583941977e-14,up
NPHP1,468.426671949326,1.13618097588246,0.133979486080296,8.48026074082363,2.24689832410658e-17,1.21278583941977e-14,up
ALKAL2,534.780787205013,2.03788567974641,0.241673781536321,8.43238214253759,3.38698839891311e-17,1.63228648053334e-14,up
SUSD5,340.68569088272,1.4042398245876,0.169458149534517,8.28664675287019,1.16485943473008e-16,4.97006629722166e-14,up
TMEM151B,200.963512490529,2.37499748506209,0.287997085044239,8.24660251230416,1.62961344474117e-16,6.66363752222344e-14,up
FBXL13,600.696150000933,1.79000885613671,0.22019508150157,8.12919545672935,4.32149019020042e-16,1.61983857296012e-13,up
PPEF1,106.364360764991,1.55592260528278,0.191608989261224,8.12030067734226,4.65030127687883e-16,1.69597744405954e-13,up
H2BFM,669.266000716377,1.22712258626903,0.151816191292057,8.08294936017957,6.32188796748422e-16,2.18737323674954e-13,up
HOXB9,1137.14621984041,1.24988415001838,0.15540113656325,8.04295372389163,8.76984528973989e-16,2.57261505086413e-13,up
KIF1A,910.172322681685,2.39524868003869,0.302149044106289,7.92737467405688,2.23827211760505e-15,5.8083161451851e-13,up
HGC6.3,25.4296648615366,1.74761083252229,0.226812740717625,7.70508229384701,1.30758999574191e-14,3.03811673068829e-12,up
GSC,621.113337820435,1.29399375718892,0.168219148738104,7.69230950754305,1.44502533770361e-14,3.24986198449542e-12,up
POU3F2,394.863369598192,1.49495350108868,0.19447781594729,7.68701300869124,1.50609827063016e-14,3.33168689571858e-12,up
PHF21B,62.7476162592881,1.56687960650662,0.204859059785384,7.64857364935739,2.03220811265612e-14,4.15494185942146e-12,up
CAPN6,715.724613362278,2.18797876494375,0.286571001228431,7.63503200102116,2.25764342366287e-14,4.54696124759802e-12,up
IRX1,549.88883421288,2.45471434911568,0.322191373850048,7.61880841123366,2.56028139127655e-14,4.94493494157233e-12,up
CLDN10,399.541830934964,1.99592027730151,0.261969804181131,7.61889441243196,2.55857640425307e-14,4.94493494157233e-12,up
COL9A3,4338.95547500581,1.68468290991827,0.221128737363979,7.61856161257445,2.56518042026133e-14,4.94493494157233e-12,up
MAPK4,91.2794626952826,1.92541999149218,0.258350625678477,7.45273980442536,9.14214765658262e-14,1.54205175597407e-11,up
FAM69B,1079.50185339521,1.27714470734033,0.171972399679848,7.42645162664431,1.1154966516037e-13,1.82381748597563e-11,up
CENPV,636.325594692099,1.17414694655116,0.158119257717052,7.42570489833852,1.12180859149235e-13,1.82381748597563e-11,up
FHOD3,2853.11939866075,1.14863671100892,0.155920672680561,7.36680192088549,1.74769861607381e-13,2.56341794840217e-11,up
TMSB15B,1098.68478482407,1.35643697185671,0.185431982900626,7.31501087697279,2.57360544380217e-13,3.33925306333332e-11,up
RHBDL3,233.489063335669,1.7236848206945,0.235818108728283,7.30938276958442,2.68372274064584e-13,3.44896711069285e-11,up
LRRIQ1,156.42249718898,1.75802212914058,0.245687922364588,7.15550895713856,8.33630452333222e-13,9.86755203840746e-11,up
MEX3A,3775.65812406886,1.26741991150978,0.17739023847617,7.14481203924894,9.01191176193643e-13,1.05744988970061e-10,up
SLC7A10,411.610476841734,1.05982099070692,0.149119888661131,7.10717396735271,1.18443102972309e-12,1.33189269292362e-10,up
EMX2,125.978948590053,1.74120429497919,0.246141258538868,7.07400419302009,1.50525734415592e-12,1.6249554081632e-10,up
TMEM130,532.130505039408,1.36559630915312,0.193301843269922,7.0645798614876,1.61102670922285e-12,1.72533289002009e-10,up
ACSL6,91.3960267644878,1.73056234305115,0.245645073031165,7.0449707038561,1.85500531426744e-12,1.9709796622618e-10,up
ADARB2,403.783780101105,1.73034270178638,0.245675899244912,7.04319270675147,1.87884091138599e-12,1.9807093170502e-10,up
KCNA2,182.798293477808,1.84526106960293,0.262042197749544,7.04184702101529,1.8970804946612e-12,1.98443443371769e-10,up
C1QL4,197.522760070517,1.37224126415691,0.196479385350389,6.98414880375233,2.86588184203286e-12,2.80408556765935e-10,up
LRP3,1188.19458765676,1.11481756450413,0.160539639670369,6.9441887797503,3.80641217943986e-12,3.55230574623736e-10,up
SGCE,3590.09552836475,1.15439553712253,0.16646327339388,6.93483621694165,4.06692059603276e-12,3.70804233262609e-10,up
FBXO43,136.734928263523,1.22518064670157,0.177438236543813,6.90482880446714,5.02640065493819e-12,4.47325793115996e-10,up
RLN2,103.09156565047,1.50298763741847,0.218212545132126,6.88772332731108,5.66923318398054e-12,4.90388670414317e-10,up
EMID1,968.213948694609,1.33423662717549,0.194451139763644,6.861552104026,6.81163501478631e-12,5.81748119553965e-10,up
PTX3,1034.90194963808,1.75470365409136,0.258993098230707,6.77509812453883,1.24321852760203e-11,9.92662178193007e-10,up
SHC4,440.999022689081,1.09606533934625,0.161968744097095,6.76714106450809,1.31351996805047e-11,1.03050223539959e-09,up
MYB,3040.35315313811,1.54771361285683,0.229957148747907,6.73044356865604,1.69146641679261e-11,1.28952812588697e-09,up
IL17RB,901.966100916209,1.19841181050714,0.178431236676521,6.71637899747198,1.8629587038171e-11,1.39784676950487e-09,up
PNMAL1,1372.25018832819,1.6160802306278,0.243189525489673,6.64535295002424,3.02491328614608e-11,2.09323999401309e-09,up
CLCN4,638.240552438196,1.16439748379221,0.176465910736274,6.5984273049336,4.15542144660894e-11,2.76222940889365e-09,up
SHISA3,118.148335083974,1.46891208507223,0.225293868165403,6.5199825322978,7.03155796047108e-11,4.39277051474985e-09,up
KCNB2,347.881279569484,1.12582899809915,0.173502659074258,6.4888284946532,8.65063710288635e-11,5.23460524961204e-09,up
ETV5,1475.62333264816,1.15780757234551,0.179735752079096,6.44172102073491,1.18126266210517e-10,6.78296100529665e-09,up
PCOLCE2,879.730305942625,1.24996738684169,0.195299225273494,6.40026802508435,1.5510443559028e-10,8.50804574737901e-09,up
NPAS3,66.9514294777593,1.52196038391778,0.238798930080285,6.37339699723984,1.84886466348158e-10,9.82227549961437e-09,up
KCNN4,1368.155618156,1.04799139623118,0.164994856895781,6.35166099082194,2.13002334900757e-10,1.11405174695768e-08,up
TMSB15A,547.704543078689,1.48846892885506,0.234665026059131,6.3429517122845,2.25404097980067e-10,1.17436405333707e-08,up
EPHX4,364.710540063518,1.13107710826292,0.178792875066747,6.32618669978132,2.51293747716127e-10,1.27960672893638e-08,up
FOXC2,209.745162199135,1.51117597638218,0.239843291872215,6.30068060101223,2.96341493357635e-10,1.49210153409251e-08,up
HSD11B1,1295.94450886331,1.17088604840304,0.186443069326499,6.28012643555333,3.38297798429471e-10,1.66605492409025e-08,up
OBP2A,309.689572779378,1.21114678210377,0.195005276084701,6.21084109323127,5.27017472287985e-10,2.43547046953907e-08,up
MGAT5B,140.830622321558,1.33355999459131,0.215183561200411,6.19731352688835,5.74350212751678e-10,2.61833843610511e-08,up
ROPN1L,168.335735089813,1.01670606105001,0.164332705140773,6.18687594888104,6.13682192676139e-10,2.77111632853274e-08,up
IPO9,283.587026051866,1.03047664146774,0.166883556135712,6.17482432259379,6.62370798056213e-10,2.95961309568561e-08,up
SPEF2,98.943727312344,1.06611020486834,0.174492338820375,6.1097823095019,9.97671297403652e-10,4.23686606906583e-08,up
BMPER,518.60395971641,1.25879237324974,0.207058936547571,6.07939166615268,1.20639355577421e-09,4.94804700353105e-08,up
SCG2,543.331698219249,1.22675517090455,0.205318396737418,5.97489163366809,2.30243180163798e-09,8.72725132901765e-08,up
MNX1,448.536609039108,1.30134688035467,0.218507370169495,5.95562007517283,2.59087588540982e-09,9.55226207587982e-08,up
DAZL,113.734835895428,1.53039191738432,0.258435751042743,5.92175003345881,3.18533541823672e-09,1.1462110968983e-07,up
SMTNL2,163.521019093869,1.27617499135182,0.217867945914843,5.85756195567489,4.69711610103568e-09,1.58457211668439e-07,up
AK8,240.174439733817,1.23538853457551,0.21174188518506,5.83440793254388,5.39819048493000e-09,1.7829429671244e-07,up
SLC14A1,117.976204153561,1.34219751387395,0.230387115692448,5.82583583218123,5.68274580822233e-09,1.85224569894087e-07,up
SFRP1,3284.59627845973,1.66477283401098,0.286263380392008,5.81552845401058,6.04426303459788e-09,1.94657005701345e-07,up
CRISPLD1,206.797144276157,1.05521749641855,0.18255709319565,5.78020540285252,7.46094774631699e-09,2.33930646270262e-07,up
SPATA17,303.91770381082,1.09569009525199,0.190089425790183,5.76407704267253,8.2105905310729e-09,2.53532514018988e-07,up
CERS1,467.21119209295,1.35707743134633,0.236490425565376,5.73840326982361,9.5573324436706e-09,2.8723083295076e-07,up
FZD8,242.603790945405,1.18104473650018,0.208247751988689,5.67134446937189,1.41681192101363e-08,4.1026738330811e-07,up
PRAC1,19.6098919237527,1.09009709055775,0.192573000175182,5.66069537041068,1.50760842418078e-08,4.32844001614797e-07,up
GALNT8,48.1517456255516,1.13428467616966,0.201515645962667,5.62876728876824,1.81502074830574e-08,5.14535503731884e-07,up
AARD,83.5507142810705,1.13448486117469,0.201852340318736,5.62037011502208,1.90548801101225e-08,5.37921657334714e-07,up
RNF182,287.415773001193,1.03041285355076,0.183406901102538,5.61817929072733,1.92980193710199e-08,5.42515569567798e-07,up
PIANP,124.786023704517,1.1164082710238,0.199702841558713,5.59034744979116,2.26615700319249e-08,6.25348110451523e-07,up
BTNL9,1083.24267187339,1.26655482503436,0.228310870467233,5.54750118749221,2.89781193140143e-08,7.56345729252049e-07,up
FGF2,280.41888815715,1.0734189256786,0.194214334757561,5.52698093587458,3.25788346801866e-08,8.37369133665597e-07,up
DPYSL5,91.824390798996,1.40504931296462,0.255096297774668,5.50791730503957,3.63103894146118e-08,9.24476216529757e-07,up
TFPI2,2532.12028888331,1.29135652563912,0.235061781737145,5.49368985504912,3.93621514744052e-08,9.87272996274394e-07,up
TESMIN,407.860174277718,1.12905580982239,0.207365976603125,5.44474955977605,5.18783235635776e-08,1.23683056213236e-06,up
TAGLN3,349.833795151127,1.10181860618339,0.203878481616086,5.40429081798919,6.50653055554531e-08,1.49572612123558e-06,up
RAB39B,179.518855070493,1.27545215294057,0.237385092514757,5.37292438808592,7.74698202245931e-08,1.7422962568511e-06,up
CNIH3,485.545990457244,1.01829471138203,0.190262315394583,5.3520567605319,8.69601106317124e-08,1.92367169322021e-06,up
BEX1,1081.08704589909,1.71145943559498,0.320325051525772,5.34288350986899,9.14795558488034e-08,2.01046437560872e-06,up
KIF5C,520.59921347124,1.00987497522172,0.189696148979413,5.32364510642394,1.01708248286669e-07,2.21006618740791e-06,up
STMN2,157.595150453646,1.06389591750716,0.200499846767618,5.3062181076888,1.11923027814181e-07,2.38215983805135e-06,up
ASCL4,110.3157171202,1.43298696892355,0.270428710105276,5.29894539808919,1.16473455728948e-07,2.46733565401322e-06,up
C8orf88,651.778625527199,1.12785911980011,0.215827844132544,5.22573500343854,1.73464646715223e-07,3.46775102633367e-06,up
FAM43B,449.247506981621,1.14891511482328,0.22048313967873,5.21089783326464,1.87928927332044e-07,3.7183474273e-06,up
SALL1,58.1412468856254,1.18115273655168,0.228308752535906,5.17348863515831,2.29763104128019e-07,4.4197017688803e-06,up
ENPP6,88.5167250291429,1.24856154121701,0.241631930827728,5.1672042554143,2.37621539432385e-07,4.54173520269207e-06,up
IGSF10,517.650201836753,1.14170536277846,0.222427502581914,5.13293252644422,2.85262194062355e-07,5.28933836752736e-06,up
IL12A,77.3346378233079,1.05422128048514,0.206341069709374,5.10911997291661,3.23662793545109e-07,5.85456532988968e-06,up
CDO1,783.287900321767,1.1819325407427,0.235666540490919,5.01527513528484,5.29576281001768e-07,8.84418605920526e-06,up
TUBB2B,767.067671975337,1.49694994437399,0.298598724160043,5.01324963321564,5.35183906169062e-07,8.91147389317201e-06,up
TNFRSF11B,1886.32534569498,1.08513541589129,0.21768060679747,4.98498893335455,6.1965359493809e-07,1.00863758867245e-05,up
