,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
CSTB,27083.2951712906,-1.02573170459735,0.0957592329747999,-10.7115697644245,8.98256057902631e-27,1.21210672453381e-22,down
NPTX2,2003.27065262201,3.08840416393877,0.298949338259487,10.3308613490157,5.10996439813241e-25,3.44769297941994e-21,up
PLA2G4E,280.298708728498,-2.38887743763001,0.243607115212205,-9.80627119839695,1.05806269873606e-22,4.75916601891482e-19,down
RNF39,2630.42504094051,-1.68278626574828,0.173133561386211,-9.71958441953652,2.48794820679776e-22,8.39309327563226e-19,down
EVPLL,1386.56004598356,-1.14018441485347,0.119491932866595,-9.54193632574681,1.40189934758326e-21,3.78344595925771e-18,down
ADGRG2,103.736562736482,1.90846169801794,0.20107182935446,9.49144245688242,2.2785906482351e-21,5.12455036788073e-18,up
OR4S1,420.672841366296,-1.64982967183877,0.176862527692876,-9.32831670654236,1.07565581144576e-20,2.07355707423558e-17,down
CRABP1,147.525429842024,2.38881470749792,0.2572639787647,9.2854612564427,1.61008262970092e-20,2.71580687564803e-17,up
PPM1E,56.3995690680535,1.97423225605763,0.217885565489386,9.06086757800301,1.29417044052138e-19,1.58759417494504e-16,up
DZANK1,525.352401815294,1.46974038323903,0.162115749619595,9.06599381422084,1.23473456678822e-19,1.58759417494504e-16,up
DEGS2,3266.04171570337,-1.11873284637925,0.123213827577213,-9.07960468704852,1.08969902477425e-19,1.58759417494504e-16,down
RAB3D,3513.84403263063,-1.04283508931617,0.115407953551309,-9.03607643343695,1.62396148727748e-19,1.82614469244353e-16,down
TFF1,470.224125760424,-1.72603351396851,0.191823201824612,-8.99804349813038,2.29775781566051e-19,2.38507261265561e-16,down
ABLIM1,5869.39155528049,-1.00105118088219,0.112478250227282,-8.89995335862175,5.58701605001366e-19,5.02607963859229e-16,down
GKN1,82.4256050839281,-2.25508869504855,0.253265996980037,-8.90403260579156,5.38536220453419e-19,5.02607963859229e-16,down
FOXL1,790.737498856325,1.47830387069254,0.166904517314982,8.85718310369446,8.20616832396522e-19,6.92087721022417e-16,up
ACKR2,313.903959731124,-1.2426547767498,0.141418908960081,-8.78704825180465,1.53540844970977e-18,1.21875303649315e-15,down
CLDN11,1215.58539700504,1.83083886178691,0.20973287982388,8.72938407809175,2.56063256607002e-18,1.91962088036382e-15,up
RIPPLY3,297.82799536489,1.92035487904211,0.22228717836749,8.63907173209665,5.66715868185864e-18,4.02487575015792e-15,up
SPRR2A,17415.5310197388,-1.19547110796066,0.139413810850139,-8.57498335832535,9.91011246543165e-18,6.68635288042674e-15,down
HOXC6,1257.24528530065,1.20041010124432,0.140272904099018,8.55767625939334,1.15165223493753e-17,7.40018821821285e-15,up
KLK14,1986.66650371779,-2.4452309016333,0.286284768473929,-8.54125392233703,1.32773091982031e-17,8.14381865093421e-15,down
HOXB13,536.286726000175,2.58341384719802,0.30444008575661,8.48578741126547,2.14262846432155e-17,1.21278583941977e-14,up
NPHP1,468.426671949326,1.13618097588246,0.133979486080296,8.48026074082363,2.24689832410658e-17,1.21278583941977e-14,up
KIF11,6215.81666870742,0.599517568181236,0.0706712218035271,8.48319235017548,2.19098014280486e-17,1.21278583941977e-14,none
MAL2,13965.0805850094,-0.981050510475902,0.116177118271735,-8.44443832890785,3.05510800316558e-17,1.58560105364294e-14,none
ALKAL2,534.780787205013,2.03788567974641,0.241673781536321,8.43238214253759,3.38698839891311e-17,1.63228648053334e-14,up
SPRR2D,18062.6464543853,-1.17458643119895,0.139266669596992,-8.43408142521074,3.33814248597548e-17,1.63228648053334e-14,down
ALOXE3,351.898044115982,-1.45351799494777,0.172596311431755,-8.42148932900278,3.71728189978161e-17,1.72968972260873e-14,down
LYPD3,19948.3555299319,-1.1578783927254,0.138503610965827,-8.35991484013429,6.27635459119672e-17,2.82310429512028e-14,down
SUSD5,340.68569088272,1.4042398245876,0.169458149534517,8.28664675287019,1.16485943473008e-16,4.97006629722166e-14,up
STEAP4,1418.55300827525,-1.87758934848434,0.226618312784035,-8.2852498786083,1.17861361724539e-16,4.97006629722166e-14,down
TMEM151B,200.963512490529,2.37499748506209,0.287997085044239,8.24660251230416,1.62961344474117e-16,6.66363752222344e-14,up
TRPV3,305.035117412764,-1.79833027886696,0.220187950206756,-8.16725110151726,3.15495774739473e-16,1.25214705421601e-13,down
C5orf15,9019.20108340862,0.468596965527631,0.0574072152178289,8.16268414605311,3.27660504270723e-16,1.26327166989404e-13,none
FBXL13,600.696150000933,1.79000885613671,0.22019508150157,8.12919545672935,4.32149019020042e-16,1.61983857296012e-13,up
PPEF1,106.364360764991,1.55592260528278,0.191608989261224,8.12030067734226,4.65030127687883e-16,1.69597744405954e-13,up
NBEAL2,2368.10139151692,-0.732953979788449,0.0906159102253798,-8.08857934512213,6.03646580847767e-16,2.1435807794631e-13,none
H2BFM,669.266000716377,1.22712258626903,0.151816191292057,8.08294936017957,6.32188796748422e-16,2.18737323674954e-13,up
NCCRP1,8415.81448065205,-0.892067602037655,0.110500166130544,-8.07299783589261,6.85928236069397e-16,2.25754039451718e-13,none
CEACAM19,3092.72344931909,-1.17248423600744,0.145183494450379,-8.07587832519195,6.69926579489995e-16,2.25754039451718e-13,down
PPL,22022.2765111333,-0.711275619728961,0.0881764559547476,-8.06650269652468,7.23404852562834e-16,2.32419644773402e-13,none
HOXB9,1137.14621984041,1.24988415001838,0.15540113656325,8.04295372389163,8.76984528973989e-16,2.57261505086413e-13,up
TTC22,2509.61007100868,-0.867917759372675,0.107872817838723,-8.04575032674372,8.57185924303953e-16,2.57261505086413e-13,none
FAM83C,10286.5702474261,-1.5131521185706,0.188119654778608,-8.04356206347168,8.72639792010293e-16,2.57261505086413e-13,down
CASP14,4900.58747090642,-2.05163966399837,0.255020570897899,-8.0449967497711,8.62477122659407e-16,2.57261505086413e-13,down
IL36B,843.592928783298,-1.71214718097987,0.213780202666331,-8.00891363945518,1.1572613522111e-15,3.32257120994395e-13,down
IL36RN,2920.61034384615,-1.71907179189513,0.215158826541385,-7.9897804776532,1.35179244357372e-15,3.80022650699661e-13,down
CENPF,13188.0581172107,0.620763138869806,0.0778925752176803,7.96947767017599,1.59346417657489e-15,4.38820522422481e-13,none
