,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
KIF14,1716.76742372923,2.20706032071281,0.0791006143292862,27.9019365326935,2.52755371294914e-171,2.32552995546413e-168,up
GTSE1,2352.17786644968,1.94493035352714,0.0709407969900682,27.4162461664961,1.75595046824883e-165,1.19044199902701e-162,up
TPX2,7290.30123115185,2.04985110743372,0.0750043640200041,27.3297578643159,1.87952842907955e-164,1.15286693785589e-161,up
CBX3,14102.4025808594,1.0503615837884,0.0391490024519236,26.8298428568718,1.44993723023163e-158,8.12027889678852e-156,up
MYBL2,6710.41974187515,1.77520638450652,0.06802350973214,26.0969537075762,3.94794278717642e-150,1.75356727729722e-147,up
KIF23,3298.54103987868,1.59960420486514,0.0616744047203428,25.9362731122968,2.59749457079324e-148,1.01388871413296e-145,up
KIF2C,3127.41724704157,1.86236546385392,0.073145149706761,25.4612297783263,5.30193837932205e-143,1.89706300733465e-140,up
KIF4A,1211.67298663974,1.64813454905107,0.0655345414600398,25.149097137668,1.44570381649029e-139,4.90055548952933e-137,up
C1QL4,110.772404017954,3.31043585938557,0.131737779601008,25.1289787137132,2.39923963728995e-139,7.92425788921329e-137,up
CENPF,5666.93647112585,1.67808872957194,0.0676274142131268,24.8137349194436,6.37284549357011e-136,2.05221557006692e-133,up
FOXM1,2883.0116784195,1.84815488374921,0.074571096551057,24.7837965274364,1.34057618117134e-135,4.01580506736466e-133,up
KIF20A,6262.89200934263,1.90164075304771,0.076900022967956,24.7287410283364,5.25029856413424e-135,1.5370249046503e-132,up
STC2,2346.18822462901,2.47345853468983,0.100362112680619,24.6453414403608,4.12867362526976e-134,1.15611836885e-131,up
CDCA5,2811.33892518285,2.10322499884804,0.0870884957207782,24.1504343534807,7.38858532083038e-129,1.83023783687723e-126,up
DTL,2424.85781518656,1.83263193938155,0.0759213016693177,24.1385737479022,9.84333215777888e-129,2.39230116083679e-126,up
TOP2A,9010.18205279079,1.86991218960742,0.0775504954368434,24.1121888270883,1.86236167798755e-128,4.44242236558475e-126,up
KNSTRN,3991.31077905156,1.55590937834307,0.0649719947261005,23.947385098799,9.83840471066132e-127,2.22330686101804e-124,up
BUB1B,2846.59886381956,1.5672833026906,0.0655568304975094,23.907246442461,2.57484799674372e-126,5.62146051628064e-124,up
MCM7,16479.4414428088,1.45734705565705,0.0613267963085531,23.7636260717861,7.94437465546351e-125,1.6775654088037e-122,up
ECT2,2360.00820358976,1.77221346176744,0.0746765038303184,23.7318750994865,1.69084004849334e-124,3.51285655881333e-122,up
CMSS1,4288.01970620078,1.35321330573971,0.0572362161578735,23.6426059683465,1.40626198857308e-123,2.83032198043905e-121,up
CEP55,6285.17570151112,1.8156518990793,0.0773400443174316,23.4762200500843,7.13735164873947e-122,1.3721824863793e-119,up
CDCA8,2796.91890031679,1.51312821181318,0.0650239134019485,23.270334445417,8.85665905868132e-120,1.6297517904982e-117,up
TROAP,1323.2706294003,1.63464931955527,0.0706189227744937,23.1474689124779,1.54164176967476e-118,2.72025858016172e-116,up
RFC4,7991.01538852339,1.66553322739011,0.0719886389189547,23.1360566389535,2.00860285014128e-118,3.4497084416893e-116,up
NEK2,3832.71358815266,1.74633100515414,0.0755647865892606,23.1103809588782,3.64096959829017e-118,6.1709643941547e-116,up
AURKB,3173.85804537866,1.75047825618382,0.0759838379768489,23.0375077489131,1.9626268649656e-117,3.2411021343105e-115,up
BID,4128.70665887577,1.5132099484266,0.0661522814803415,22.874644903612,8.30999099584614e-116,1.3214937533024e-113,up
CDC20,9477.21080336096,1.51732991708225,0.0665277520680551,22.8074731208426,3.86544865293277e-115,6.07205415834476e-113,up
HJURP,1573.33515041272,1.89684155364757,0.0833637944871958,22.7537813665489,1.31649435511065e-114,2.01878140335479e-112,up
CENPA,2167.7648761598,1.66311165022972,0.0731324284573833,22.741097011415,1.75780257372906e-114,2.66379470025929e-112,up
DLGAP5,5012.16390107702,1.75139861604452,0.0773417265578828,22.6449381723301,1.56492000541447e-113,2.29065165792544e-111,up
BCAT1,3362.89887232434,2.46263852564512,0.108909170535952,22.611856407741,3.31308017443929e-113,4.79503210415197e-111,up
RUVBL1,3743.79646473289,1.25783027561907,0.055933100869072,22.4881198445156,5.42499573982985e-112,7.67905166206025e-110,up
FANCI,3399.63269644139,1.42074992893066,0.0632693762122162,22.4555703562687,1.12898822455174e-111,1.5470741830267e-109,up
PCSK9,1588.13710894704,2.77565746600414,0.124124348750808,22.3619096006421,9.24704970102019e-111,1.21542088978409e-108,up
CAMK2N2,781.729136480501,2.31097947884149,0.103519866080038,22.3240192085906,2.15974954584563e-110,2.72742489216055e-108,up
GINS2,3710.1183956464,1.53206938254836,0.0687093425914343,22.297832067154,3.8783922389441e-110,4.85024955629504e-108,up
FADS1,3442.81979969993,2.01212583925848,0.0904468966285542,22.2464884286947,1.21977379649404e-109,1.51076021852305e-107,up
WDHD1,1223.77006097738,1.61521726886955,0.0727276272020855,22.2091291990237,2.80317653474713e-109,3.40638839095074e-107,up
FZD2,2083.51984269561,1.70474763353629,0.0768469927920188,22.183660955349,4.93917959125335e-109,5.89088632545689e-107,up
GMPS,6571.08789201493,1.09952783713901,0.0495638987144636,22.1840465673082,4.89702349643263e-109,5.89088632545689e-107,up
