,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
OR4S1,369.951696922531,-2.55208256256821,0.0983447339293329,-25.9503733509722,1.80074128609201e-148,7.24854640817225e-146,down
CCDC50,30718.5641813101,-1.47865356832493,0.0716393015075517,-20.6402566357946,1.19426786193139e-94,1.03941650875258e-92,down
LCN1,2038.81505934459,-4.14106949735298,0.210920012671712,-19.6333645389941,8.02223502442183e-86,5.16672046747888e-84,down
GKN1,1558.63812687627,-5.23684239807926,0.27453943284136,-19.0750098952281,4.07345333418232e-81,2.14163887337153e-79,down
EMP1,32446.3900129874,-2.16840943931277,0.115990115325074,-18.6947778544368,5.45973946884787e-78,2.63396644562657e-76,down
TFF1,6459.63668684779,-4.4164516829026,0.23733254690627,-18.6087063930881,2.73132596565365e-77,1.30788883879497e-75,down
STK39,6261.03144457433,-1.17237925116882,0.0637636838623154,-18.3863161623525,1.6908585005797e-75,7.536314306563e-74,down
GKN2,548.00679306506,-4.60804826881153,0.250962012321256,-18.3615369760136,2.66943828807725e-75,1.1735506685571e-73,down
TEAD3,34283.4869162974,-1.57125546120168,0.086304014339659,-18.2060530234182,4.62082625486204e-74,1.95150370455338e-72,down
ASPA,445.343219708583,-2.29569647450037,0.126393188920642,-18.1631343753956,1.01085116996493e-73,4.21384269265964e-72,down
GPD1L,5103.82193538272,-1.66056385034574,0.0915920501660184,-18.1299997907659,1.84759852055197e-73,7.57927278446813e-72,down
MGLL,14347.2942767324,-1.8498623688683,0.102280134253254,-18.0862332883518,4.09111708712642e-73,1.64680247497736e-71,down
TSPAN8,2771.91844250303,-3.35260930712053,0.185871261517822,-18.0372655769546,9.93392185443734e-73,3.97387724866483e-71,down
UBL3,6427.05991157739,-1.57204265487404,0.087311255469216,-18.0050400881969,1.77870944876299e-72,7.02808478819512e-71,down
SP1,13111.1424101882,-1.11718395308491,0.0620720618865721,-17.9981769435404,2.01337949323007e-72,7.90681135740747e-71,down
SASH1,5334.25857173288,-1.89037233943964,0.105036118568201,-17.9973552451122,2.04346881672341e-72,8.00058414231436e-71,down
CFAP46,116.444524311238,-1.92281115783528,0.106945419948521,-17.9793689038843,2.82691887993458e-72,1.1034406694678e-70,down
F10,1052.35509803608,-1.79190954460262,0.100906839429028,-17.7580583708891,1.49310950409524e-70,5.64010073966299e-69,down
GMDS,3958.88928101827,-1.4345586770967,0.0826048426950878,-17.3665202946027,1.47929175097989e-67,5.08126854516586e-66,down
SNX9,6206.40139893319,-1.11657179549336,0.0650677464096238,-17.1601424223941,5.27840435181873e-66,1.73446751162697e-64,down
PDK4,5740.60552388817,-2.33633081359626,0.136344594499983,-17.1354854379397,8.06767646407055e-66,2.61104875712796e-64,down
ACADM,8461.47812132474,-1.0453377359742,0.0614436458562074,-17.0129509961134,6.58364418925329e-65,2.06335573726938e-63,down
SHROOM3,1466.80278180835,-1.85015999564115,0.109398844733002,-16.912061550162,3.66653968549395e-64,1.1298731504509e-62,down
ACSM1,323.744763063499,-1.73766016869986,0.10276591373506,-16.9089156661391,3.86758987166732e-64,1.18898389348322e-62,down
NFIA,2495.14402916023,-1.2357715112382,0.0736012722687802,-16.7900835562374,2.88438526103932e-63,8.6807865765064e-62,down
MASP2,516.077739949281,-1.21587317920376,0.0726326166008006,-16.7400437448974,6.69389767782022e-63,1.9867303223042e-61,down
