#SYMBOL	ENTREZID
COL10A1	1300
MMP1	4312
SPP1	6696
CST2	1470
CTHRC1	115908
SIX1	6495
COL1A1	1277
MFAP2	4237
CCDC50	152137
EMP1	2012
GPD1L	23171
UBL3	5412
KIF14	9928
CST1	1469
SASH1	23328
YOD1	55432
CBX3	11335
TPX2	22974
GTSE1	51512
MGLL	11343
COL5A2	1290
FSCN1	6624
C4orf3	401152
ESM1	11082
C1QTNF6	114904
KIF2C	11004
KIF23	9493
ZFP64	55734
LPIN1	23175
THSD4	79875
HPGD	3248
SLC46A2	57864
LRRC15	131578
KIF26B	55083
EHD3	30845
GCKR	2646
CDCA5	113130
KIF20A	10112
KNSTRN	90417
TRNP1	388610
RBFOX3	146713
MINDY1	55793
ANXA9	8416
CHP1	11261
LMO7	4008
ECM1	1893
LOXL2	4017
GYS2	2998
HSP90B1	7184
GJB7	375519
FNDC4	64838
CMSS1	84319
KIF4A	24137
NUCB2	4925
DTL	51514
TMOD3	29766
ALDH9A1	223
RANBP9	10048
COL1A2	1278
AFDN	4301
TREM2	54209
CEP55	55165
ABLIM1	3983
TOP2A	7153
DNAH17	8632
ELN	2006
CCNA1	8900
GMDS	2762
TEAD3	7005
ECT2	1894
RFC4	5984
TRIP13	9319
FOXM1	2305
HOXD11	3237
NELL2	4753
EPYC	1833
STK39	27347
ARHGEF10L	55160
SP1	6667
CENPF	1063
BID	637
SLC5A12	159963
MCM7	4176
BUB1B	701
SORBS2	8470
SPAG5	10615
PFN2	5217
SLC16A6	9120
KAT2B	8850
ASPA	443
LAMC2	3918
GDPD3	79153
RUVBL1	8607
WDHD1	11169
EPS8L2	64787
MYBL2	4605
NEK2	4751
STC2	8614
TTYH3	80727
CSTB	1476
DUSP5	1847
GRHL3	57822
CDCA8	55143
COL11A1	1301
SCEL	8796
EVA1A	84141
SIX4	51804
AURKB	9212
UBE2T	29089
GALNT12	79695
SPINK5	11005
LRRFIP2	9209
CAPN5	726
PLXNA1	5361
CPEB3	22849
HJURP	55355
DLGAP5	9787
DNMT3B	1789
C1QL4	338761
SNX9	51429
HSP90AA1	3320
PPL	5493
CHRNA1	1134
TROAP	10024
PSMB2	5690
FANCI	55215
DLX1	1745
LIMK1	3984
HOXC13	3229
F10	2159
SHROOM3	57619
ENDOU	8909
ACSM1	116285
XPR1	9213
DLX2	1746
COL5A1	1289
RAB10	10890
FAM107A	11170
GMPS	8833
STK3	6788
CDC45	8318
N4BP3	23138
CENPA	1058
ZNF185	7739
DHRS1	115817
PLCXD3	345557
TBX15	6913
SERPINB6	5269
HADHB	3032
RAD51AP1	10635
MXD1	4084
STRADB	55437
PAQR8	85315
SULF1	23213
NFIA	4774
FAM72B	653820
HOXD13	3239
GFOD2	81577
CDC20	991
IL11	3589
EPS8L1	54869
