"","T.cells","CD8.T.cells","Cytotoxic.lymphocytes","B.lineage","NK.cells","Monocytic.lineage","Myeloid.dendritic.cells","Neutrophils","Endothelial.cells","Fibroblasts","group"
"ec302",10.01574748,10.63436147,8.75050464,9.291862142,7.912340534,11.24075029,9.62648473,8.371902906,8.926771098,13.05599208,"High"
"ec303",8.811824023,7.12004866,10.42586999,8.234283223,7.267892733,9.056532451,7.879614919,9.154430198,9.1851749,11.37666555,"Low"
"ec305",8.944731944,8.338417425,7.645094106,6.840247262,7.813483833,10.25230953,7.773710364,8.537709445,9.279309456,12.56700343,"High"
"ec306",8.113570488,7.147343579,7.299422712,5.790706276,5.600872235,9.019952044,8.074545095,8.161433316,9.027721415,12.81983977,"High"
"ec325",8.906190282,7.594986534,7.016685875,8.654480777,6.576416921,9.40001911,8.194637213,9.055008417,9.142098327,12.00070285,"Low"
"ec326",9.449718459,10.2031865,8.792065482,8.034850868,8.797272706,11.02229549,8.246696162,8.102972559,8.456369673,12.0126965,"High"
"ec330",8.358822289,8.473989328,7.21886586,7.511077913,7.596319374,9.275432313,7.622109522,8.335638045,8.458164105,12.88397792,"High"
"ec331",8.801828265,8.609023938,7.128061414,7.075234208,6.947567932,9.795879736,8.233733424,8.451304781,9.425439739,13.20442151,"High"
"ec308",10.55771158,8.832937847,8.022560915,8.042213746,7.491139738,10.79351361,10.28747392,9.593986015,8.99093707,12.41844136,"Low"
"ec309",9.597068599,9.726448095,7.778605806,9.22617913,8.209919957,10.96928218,8.638706486,8.911297658,9.277520389,13.40120598,"Low"
"ec311",8.579364968,6.297014072,5.915816183,5.899740035,6.405357099,10.10125036,9.157463145,9.486678506,9.342644559,13.25971705,"High"
"ec312",9.234557416,7.948212936,7.277700779,6.458527801,7.349212817,9.815981897,8.241943243,8.733357454,9.028221501,12.64443655,"Low"
"ec315",9.388995142,7.79095688,9.85384593,7.921296288,6.76593333,8.965664466,8.480325681,9.1828224,9.086222494,11.42850356,"Low"
"ec316",9.407439074,11.3936117,7.420149798,8.093413036,7.780758798,10.06913933,9.534268865,8.893032047,9.241226021,12.69636806,"Low"
"ec317",9.030508856,6.780554041,7.068812111,7.910675179,6.24476644,10.25185009,9.673290933,9.453554209,9.796726225,13.68754312,"Low"
"ec318",8.785755619,7.634411088,7.183915947,8.471888118,7.134074432,10.04872352,8.06854764,8.904072155,8.679711815,13.00629923,"Low"
"ec319",8.268623435,6.080866588,6.241037109,6.558290676,6.725886636,10.33952282,8.766272151,9.769939986,9.386752354,12.88158675,"Low"
"ec321",7.828530514,6.150729821,6.539401539,6.117696707,6.824771163,10.07657983,8.365591737,8.999436708,9.601336299,13.88538058,"Low"
"ec322",9.250011732,8.855261996,8.659570089,7.606575814,7.556769689,10.2429545,8.01235012,8.351100382,8.902463152,12.84064712,"Low"
"ec324",8.722356812,7.291822439,9.639375139,6.646956169,7.612383425,9.078748885,7.861292194,9.680423967,9.172933014,12.15173444,"Low"
"ec333",8.582508127,10.10809427,6.349961337,7.2631954,6.241317753,8.90998621,8.357470923,8.138212137,8.625547137,12.72089569,"High"
"ec334",8.021236603,7.644125606,6.131638945,6.732133757,7.072627889,9.432263524,7.459247668,8.773145163,8.851264024,12.89171458,"Low"
"ec337",8.996985109,9.479235451,9.459017341,6.630444127,7.185279149,9.150792297,8.865280211,7.917686002,8.475951484,12.21632752,"High"
"ec338",8.413093677,7.11127035,6.743269679,6.434301803,7.375950192,9.023807325,7.943312136,8.230767367,8.704643934,12.46632958,"Low"
"ec340",9.113804589,7.220336517,6.877396233,8.183518153,7.494480415,9.305781921,7.415125733,9.85293515,8.504814111,11.97525046,"Low"
"ec341",7.401393756,6.406976448,6.554327035,6.188151443,8.37754352,9.344226293,9.511228428,8.122222094,8.520340162,12.19195365,"Low"
"ec342",7.68923637,6.872301425,7.115879641,8.113477207,7.481388187,9.128285777,8.749209524,9.621220804,9.167421757,13.33448839,"Low"
"ec347",8.448390798,6.745461345,8.185758617,6.397090973,7.107710675,8.789858031,8.046883111,9.121258169,8.465536036,12.05671106,"Low"
"ec353",8.917773096,7.67094161,7.024788549,6.623236039,7.147668682,9.224012386,7.669583797,9.150686931,8.478184495,12.72605938,"High"
"ec355",9.386132713,8.820065517,7.094005891,6.854321409,7.601477384,9.699715549,9.596512231,8.520019638,9.117473136,13.216872,"Low"
"ec361",8.835476463,6.773321665,8.897201081,7.108205551,6.172286248,10.36325183,9.158257212,8.611410499,9.660900787,13.89694918,"Low"
"ec362",7.31810253,7.570346728,7.315015992,6.292088264,6.987895316,7.967788226,6.149752859,8.846233417,8.187943072,12.22878054,"High"
"ec365",9.540745784,9.512479513,7.857032342,7.161804282,8.178512271,10.32921278,8.666173111,7.886943534,8.829029423,13.50044082,"High"
"ec366",8.418076494,9.048925332,6.361246894,6.342892009,6.368713049,8.828795507,10.66625638,7.467720147,7.847779123,11.49220312,"High"
"ec367",8.680372677,9.153045592,6.430817336,6.49190551,6.555389015,9.099208687,8.074908862,7.788944346,8.987481697,12.71695915,"High"
"ec370",8.608256844,7.847569406,6.994607125,7.182935195,6.75532296,9.94203442,9.333358387,9.007512111,9.258741966,13.46574819,"Low"
"ec371",7.73754396,6.146325531,8.148107299,6.474129476,7.225125002,9.35517695,6.486081635,10.3561222,9.639653837,14.29808977,"High"
"ec373",8.76359557,7.691586853,7.393042102,6.567830416,7.390222714,9.539315743,7.798262521,9.17639641,9.230590545,13.00247667,"Low"
"ec374",8.278943919,9.949462011,6.651203542,6.145608261,6.370805874,8.976307518,8.067059026,7.520949839,7.236547367,12.55691293,"Low"
"ec375",7.896550114,10.66909093,5.280916429,5.856204906,6.476973662,9.07917688,7.26175469,6.314048803,9.037142891,12.40752011,"High"
"ec406",7.542602207,7.523964392,5.788591998,6.223720746,7.154735247,8.268128049,8.029620978,8.561911452,8.637451761,13.12026452,"Low"
"ec407",9.711649605,8.213571923,7.64640531,7.815048862,7.226234072,9.827058558,8.089387769,9.063632008,8.850069993,12.12177583,"Low"
"ec408",8.277197044,7.451702259,8.499000815,7.602105142,7.425362125,9.924330418,7.475513428,8.932407395,8.821280718,13.05218424,"Low"
"ec409",6.688328109,5.743450548,6.127603587,7.082036685,7.020881803,8.591416751,8.15703693,7.985745156,8.153302256,12.09981326,"High"
"ec376",9.118532531,7.968717639,6.819363208,8.185042222,7.12890782,9.773888351,8.250345271,8.496341638,8.495037058,12.77025636,"Low"
"ec378",8.606192696,7.242637963,6.987984326,7.747353149,7.502231628,9.844667366,8.190331786,10.04433958,9.617591377,12.58018698,"Low"
"ec380",9.951611549,8.063473648,7.99599959,11.63010974,8.006619122,9.958831237,7.955311578,8.850789081,8.776511141,12.84594577,"Low"
"ec381",8.80490758,8.9834772,6.8249184,6.544440612,6.596683488,9.797866195,6.551126406,7.755156083,8.800690386,13.26312995,"Low"
"ec382",8.271751452,7.413009591,8.842453138,6.972533611,6.835833562,10.15731843,7.987844743,9.07923583,9.152315852,13.69843737,"Low"
"ec385",8.460237533,8.14205465,6.459247826,6.264297704,7.422890814,9.180926558,8.565350806,8.496688021,8.201202337,12.72006445,"Low"
"ec391",8.827470506,8.377632251,9.014312807,7.456459276,8.477064894,10.59326737,7.940975067,9.239537155,9.525814865,13.54659644,"Low"
"ec392",7.232321674,8.170826855,4.262114575,6.172855963,7.292482916,8.455748477,7.343051644,8.751677551,8.882383315,12.61313316,"Low"
"ec393",7.46326008,7.033515288,6.538372255,6.315391778,7.171558373,8.719414251,8.662327638,8.275712582,8.254128299,12.63336088,"Low"
"ec396",8.164780602,7.50840992,7.788900786,6.852292099,7.096606131,8.985486143,7.071729048,9.113244057,8.332055848,13.08827434,"Low"
"ec398",9.949301683,10.27801185,8.347660497,7.741144585,8.48671366,10.3400959,8.878543687,8.722275473,8.716302571,13.09112123,"Low"
"ec400",8.352112028,7.70592728,6.7179569,6.868738754,7.210910082,8.794468332,7.246292494,8.61009386,8.715357992,12.34989685,"Low"
"ec402",8.625902918,9.956894385,8.196828186,6.803220024,6.987959655,8.929436823,7.70261394,8.229346602,8.145705852,13.45286942,"Low"
"ec403",8.05896126,7.364784026,7.405730306,6.548430333,6.981141727,9.484008118,7.022522216,9.201000667,9.187098434,13.80506619,"High"
"ec404",7.126712351,6.503555145,5.529548473,6.686613437,8.345745346,8.745410396,6.728888624,9.205018641,9.309142468,11.58743294,"Low"
"ec405",8.569052303,7.804330828,8.239665914,6.235606815,6.784216623,9.184146772,7.006224732,6.964782533,8.480935177,12.48673087,"High"
"ec224",9.057361684,6.78286105,8.853164243,7.843216807,6.310370305,9.678618689,8.853630867,9.26056893,9.511531893,14.03309532,"Low"
"ec225",8.927632486,7.087344053,6.638846634,7.054667128,5.931357142,10.5138236,10.41907711,8.220503441,9.572068211,13.85615475,"High"
"ec226",9.021074334,7.442694762,8.752251504,7.245448275,5.813459579,10.92515444,9.800447869,8.357402837,9.717463211,14.44564362,"High"
"ec227",10.86422463,9.896479726,9.011408496,10.30255756,7.444290521,11.55046863,10.64407171,9.568221552,10.02319404,13.18884665,"Low"
"ec251",9.598895844,7.742058887,6.956200197,7.860294376,5.981933326,10.99716851,9.203334929,9.393162486,9.709259777,13.52748461,"Low"
"ec253",10.34081698,8.94799748,9.490572483,9.14778734,6.245299876,10.36585887,10.82831035,9.213214332,9.465745083,13.25549691,"High"
"ec256",9.625438404,9.809666357,7.351169322,10.01563845,6.281422742,10.61161789,8.988652014,9.159558464,8.900289986,12.3879792,"High"
"ec258",9.577955042,8.778304765,7.953437057,9.122109637,6.792892035,10.3272031,9.831486139,9.025848928,9.292126457,13.06979523,"High"
"ec259",9.753411701,8.824991964,10.49210286,7.219365469,5.748439793,10.75478401,9.756878326,7.22572954,9.566745495,13.40270331,"High"
"ec260",9.734177432,9.168002231,7.947340776,7.658074815,6.222773628,11.53055283,9.972544168,9.877160994,10.12797509,14.63399456,"High"
"ec261",8.64322386,6.488669857,7.073599653,6.484645972,5.348119915,10.72798329,9.065681559,9.427372974,10.09059023,13.62876883,"High"
"ec262",10.09654428,9.169124384,10.15271785,9.084155833,6.914970787,11.76197314,9.827503864,9.364494679,9.772670007,13.38430123,"High"
"ec264",9.835219062,8.370325281,9.982398365,9.825226732,6.175289526,10.68008289,9.678661226,8.631800959,9.747669507,13.08941293,"High"
"ec265",9.79131172,8.422337844,8.663934786,8.380250088,7.585337503,11.19491927,9.656767199,9.298334924,10.08337615,14.03795078,"Low"
"ec266",9.192565537,7.195391849,8.996211969,7.619767885,6.122586952,10.5366121,9.772826497,8.71055679,9.992468819,14.03290772,"High"
"ec269",10.1312591,10.63129447,7.308750619,9.288128485,6.29084464,10.23821968,8.674357774,7.796141302,9.401366191,12.96884697,"High"
"ec273",10.3224395,8.934368399,11.47867514,9.414006266,6.923342156,10.20482879,10.41848942,9.765748402,9.271774163,12.02299303,"Low"
