,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,P.value,Correlation,RMSE,group
ec303,0.04773009,0,0.294359815,0.157219411,0,0,0.08616715,0.035702136,0.059728057,0,0,0,0.108871767,0.064934783,0.035826123,0,0.065421286,0.030074953,0.011368343,0,0.002596086,0,0.283,0.08657341,1.031528716,Low
ec325,0.000259307,0,0.498040114,0.092480758,0,0.009913616,0.046551885,0.105605648,0.002022138,0.006004277,0,0,0.099432804,0.048638991,0.034126922,0,0,0.019699727,0,0.028915393,0.004229538,0.004078882,0.1,0.149185955,1.017365733,Low
ec308,0.034008341,0,0.112941214,0.217254019,0,0.035340341,0.109946047,0.055982578,0.096293894,0,0,0.020036309,0.088647803,0.055895466,0.081846062,0.013376701,0.034341884,0.003394976,0.040329358,0,0.000365006,0,0.096,0.150442744,1.022020629,Low
ec309,0,0,0.294766032,0.003596292,0,0.028796472,0.025584284,0.08129774,0.025120618,0.03974091,0,0.093255017,0.016756423,0.094516803,0.180505569,0.047598086,0.020849689,0.012304416,0,0,0.034936543,0.000375106,0,0.424251633,0.905925361,Low
ec312,0,0,0.046739946,0.037200905,0,0.244875631,0.107815299,0.048981165,0,0,0.01734007,0.034889712,0.087034582,0.081134422,0.156719565,0,0.051386504,0,0,0.085882199,0,0,0.048,0.18514172,1.020361571,Low
ec315,0,0,0.309748572,0.182790006,0,0.012375627,0.081727796,0.104464464,0.040418246,0,0,0,0.058119438,0.012132945,0.073551354,0,0,0.043626382,0,0.065287461,0.000987863,0.014769847,0.198,0.10890759,1.031372865,Low
ec316,0.025873323,0,0.24092367,0.179535714,0,0.023876945,0.057970956,0.028622616,0.097273014,0,0,0.035952199,0.053590009,0,0.099113039,0,0.008012075,0.026346159,0,0.110284706,0.012625576,0,0.031,0.202596743,1.000033819,Low
ec317,0.01246957,0,0.160837779,0.086454268,0,0.167618884,0.101028582,0.01006846,0.012059034,0,0,0,0.129368396,0.063689,0.089480948,0.01177084,0.01864352,0.016449686,0,0.074249976,0.016521416,0.029289641,0.042,0.191502832,0.999741022,Low
ec318,0.009788796,0,0.291469488,0.13733625,0,0.195776011,0.018467962,0.041338996,0.03555337,0,0,0.005104266,0.084182449,0.020639554,0.103312378,0.000640199,0.026942461,0.016517263,0.009780328,0,0,0.003150227,0.088,0.154989697,1.02441667,Low
ec319,0,0,0.003914118,0.006048832,0,0.185566935,0.0002988,0.050872737,0.056204215,0,0,0,0.24007293,0.071362716,0.051828071,0,0.046092135,0.051608833,0,0.210479957,0,0.02564972,0.107,0.145048669,1.028944911,Low
ec321,0.001956476,0,0.046870936,0.055043418,0,0.238335925,0.16600406,0,0,0,0.015420179,0.003541152,0.152606374,0.141530069,0.022536406,0,0.092639305,0.006384355,0,0.057131344,0,0,0.245,0.093348029,1.044318515,Low
ec322,0.050324282,0,0.122424808,0.025664758,0,0.116085664,0.028366233,0,0.161948726,0,0.00678709,0.045426017,0,0.080651658,0.08228346,0.086344639,0.019991066,0,0.139287296,0,0.024013079,0.010401221,0.088,0.155321835,1.01582645,Low
ec324,0.047774991,0,0.083874853,0.066650069,0,0.076199859,0,0.083802296,0.036864033,0,0,0.058703249,0.122982767,0.046633516,0.149965629,0,0.015522234,0,0,0.143193923,0.055144523,0.012688059,0.225,0.098913505,1.051192271,Low
ec334,0.00674194,0,0.222641217,0.102888981,0,0.126840921,0.202370831,0.026180859,0,0,0,0.005944797,0.11580835,0.053256206,0.034944743,0,0.071468964,0.001111628,0,0.029086642,0.00071392,0,0.255,0.091256102,1.027353728,Low
ec338,0.056652569,0,0.078126263,0.179137202,0,0.081721832,0.096354873,0.008931533,0.067656112,0,0.018669084,0,0.009534217,0.025192067,0.064048197,0,0.128992291,0,0.036396206,0.022858995,0.092941982,0.032786576,0.495,0.047681926,1.058503535,Low
ec340,0.017851671,0,0.345311454,0.05675643,0,0.099047209,0.030348631,0.107061135,0,0,0,0.029318492,0.075906726,0.016815828,0.101314378,0,0.005823212,0.019073736,0,0.050882336,0,0.044488762,0.054,0.178308393,1.005672811,Low
ec341,0.031312181,0,0.055094701,0.060772456,0,0.303265698,0.040335125,0.009350409,0.057108275,0,0,0.03461344,0.100679328,0.08569384,0.088719809,0.014081788,0.07921596,0,0.031798252,0,0,0.007958739,0.412,0.061651827,1.070172115,Low
ec342,0.156863252,0,0.10248992,0.161632178,0,0.048315746,0,0.058362024,0.064370581,0,0,0.080145772,0.081422221,0.013639166,0.04886655,0.03068775,0.049113983,0,0.011572035,0.057779321,0.034739502,0,0.607,0.031977532,1.074134662,Low
ec347,0.113153266,0,0.051619728,0.104586261,0,0.055965117,0,0.040474229,0.0939179,0,0,0.044201095,0.187494701,0,0.054543453,0,0.014038668,0.037700543,0,0.185721185,0.016583854,0,0.674,0.022411448,1.070213806,Low
ec355,0.053016988,0,0.064118962,0.316932577,0,0.031534962,0.07321196,0.105169917,0.053253079,0,0,0,0.061224837,0,0.07244434,0.021244162,0.016043007,0.068564589,0.015377276,0.047863343,0,0,0.102,0.148822526,1.03848505,Low
ec361,0.022942183,0,0.052719204,0.037471108,0,0.137118691,0.096043176,0.011384671,0.046004145,0,0,0.005917973,0.096983961,0.046898447,0.06518512,0,0.176512422,0,0.046581506,0,0.158237392,0,0.031,0.202944656,0.997908975,Low
ec370,0,0,0.094585305,0.156095946,0,0.017657684,0.084473537,0.088158381,0.030728702,0,0,0.021288608,0.09224401,0.217167746,0.048908427,0,0.066238966,0.017297157,0.061856661,0,0,0.003298868,0.055,0.17574518,1.014861758,Low
ec373,0.029766858,0,0.101696418,0,0,0.199037727,0,0.059988618,0.021837688,0,0,0.105738012,0.130915926,0.056920975,0.175760852,0,0.002938331,0.042323543,0,0.05706667,0.016008383,0,0.054,0.178029959,1.034173634,Low
