"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","group"
"ec302",0.0192066650659092,0,0.124419780503279,0.24134766708838,0,0.0684519742319206,0.0879859890485391,0.0819441121889654,0.0511799113990871,0,0,0.0270203003475822,0.0220233711293916,0.00529420310101463,0.134545598081547,0.0243533118262306,0.0465047275464892,0,0,0.000513044177940455,0.0629995717206661,0.00220977254305742,"Low"
"ec303",0.0477300899026646,0,0.294359815404086,0.157219410742014,0,0,0.0861671501328812,0.035702135817744,0.0597280565146729,0,0,0,0.108871767202142,0.0649347832349648,0.0358261230677392,0,0.0654212864556133,0.0300749529756879,0.0113683430211006,0,0.00259608552868927,0,"High"
"ec305",0.0516497615918829,0,0.024418135187965,0.269266443114,0,0,0.0405945369613841,0.00439010763276768,0.135981765551147,0,0,0.0526341558963407,0.0407081822450404,0.0556660501509164,0.174623658333747,0.000131587389020955,0.0349664815056307,0.0211045662526726,0,0.0866408796344845,0.00722368855300086,0,"High"
"ec306",0,0,0.044946340859969,0,0,0.234203742639406,0,0.0719696990152567,0.101409980433291,0,0.0456022361889009,0.0165776873267222,0.0131902711122312,0,0.0214689092958995,0.0653575091946889,0.022821449828933,0.00586447370009218,0,0.282237987945279,0.0569471870645844,0.0174025253947454,"Low"
"ec325",0.000259306604971217,0,0.498040114040506,0.0924807579424173,0,0.00991361574540153,0.0465518852951128,0.105605648011911,0.00202213768338239,0.00600427729573777,0,0,0.099432803640103,0.0486389910779896,0.0341269224236407,0,0,0.0196997266829753,0,0.0289153931929867,0.00422953836722183,0.0040788819956434,"High"
"ec326",0.0295776447677839,0,0.226048886056194,0.237978840994077,0,0,0.0220413969718105,0.0144851667707416,0.0649924230393823,0.0584170044380601,0,0.0652106053737072,0.0316004136691595,0.0402269819807342,0.0700167046510875,0.0288215169967888,0.00491271723092641,0.0140614259045806,0.078159021027581,0,0.0134492501273854,0,"Low"
"ec330",0.0332293936644765,0,0.305690623226611,0.191147709303786,0,0.0270359842206876,0.0667661809761909,0.113220581962067,0.027068156753522,0,0,0.00667821730313821,0.024465180348938,0.0478460430506656,0.0983391746561565,0.00442715712601589,0.0212571609706346,0,0.00563380812315721,0.0126336120371306,0.00194591445338272,0.0126151018234398,"High"
"ec331",0.0343553830512511,0,0.0949033377098859,0.172997157005978,0,0.137923756851571,0.0632725970716212,0.0681357403031584,0.0336384931004479,0,0,0.0212286039439656,0.0320400582672084,0.00239067130904768,0.194643945440334,0.0222092306395492,0.0381143701711039,0,0,0.0090102098171469,0.053159976705576,0.0219764686121546,"High"
"ec308",0.0340083412499962,0,0.112941213549393,0.217254019212439,0,0.0353403411586599,0.109946047148147,0.0559825782596653,0.096293894087755,0,0,0.0200363089019048,0.0886478028183201,0.0558954657584529,0.0818460623598902,0.0133767012991515,0.0343418835984404,0.00339497643328027,0.0403293584156914,0,0.000365005748812244,0,"High"
"ec309",0,0,0.294766031972501,0.00359629155492927,0,0.0287964721777602,0.0255842837787338,0.0812977399129123,0.0251206178477899,0.0397409098070347,0,0.0932550173106005,0.0167564229976211,0.0945168033822759,0.180505569241493,0.0475980858781817,0.0208496893438682,0.0123044159526174,0,0,0.0349365432623602,0.000375105579320752,"High"
