T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts	ABLIM1	CSTB	MAL2	SLPI	FANCB	IFT57	KIF11	PPEF1
ec302	10.89405025	12.249236	9.47911066666667	10.0575693125	8.2186042	12.3106108333333	9.68122566666667	8.96443058888889	9.36429927083333	13.53627525	12.457374	13.604549	12.497643	11.263331	10.626499	8.782928	12.768677	4.83174
ec303	9.664333575	8.998471	10.8667228666667	9.1438625	7.84038112	10.1829745	8.068646	9.65910888888889	9.64052225	12.2514296875	12.713917	15.161421	14.745225	13.680191	10.515734	7.2651906	12.317589	4.4055204
ec305	9.847292325	10.125471	8.516605	8.069503425	8.152534	11.3470370166667	8.00232116666667	9.11452388888889	9.669787625	13.1386047375	11.701794	13.967923	13.816941	11.265507	10.950514	7.110823	12.307015	5.9164643
ec306	9.0494207	9.023719	8.25085156666667	7.2381052875	6.8561889	10.1406230833333	8.22132266666667	8.80483604444444	9.43736355416667	13.331689875	9.893261	13.353104	12.643264	10.052471	10.8618555	7.7773814	13.237599	6.0655003
ec325	9.800860375	9.437792	7.97952646666667	9.50679005	7.44121694	10.5266119666667	8.36253513333333	9.60808118888889	9.61825562083333	12.7292450625	13.396705	14.833201	14.355342	13.444977	10.300784	8.389134	12.377495	4.972824
ec326	10.376507125	11.850396	9.54104	9.0525108875	8.73668726	12.1130565	8.43016153333333	8.75280403333333	8.8571833	12.717275375	10.945958	14.247144	13.484906	13.195907	11.917062	8.256912	12.720234	4.5608187
ec330	9.30614825	10.250876	8.11671373333333	8.55179525	8.0339766	10.3835961666667	7.82023533333333	8.9104962	8.865536825	13.41736975	11.995201	13.859348	14.351112	11.8452835	10.848198	6.6274176	12.637759	4.8478823
ec331	9.693834125	10.375784	8.0480981	8.2694399375	7.6538259	10.8936545833333	8.4010471	9.05414867777778	9.8072302625	13.6757719375	11.666578	13.475714	13.772721	11.460312	10.610102	7.806641	12.502774	5.549739
ec308	11.126009125	10.582906	8.84347783333333	9.0482408375	7.94136676	11.8630706666667	10.184956	10.0199557777778	9.39845759166667	13.07069125	13.439152	15.669471	14.5387945	14.341203	10.609264	7.3831077	12.842517	5.2667217
ec309	10.4660929375	11.4094095	8.621904	9.8287384	8.39174232	12.0331794166667	8.7600102	9.44585684444444	9.6074050625	13.8492495625	12.258928	14.765932	14.033913	14.431876	9.977358	7.5712547	12.108512	3.8511899
ec311	9.4110501875	8.237158	7.0200489	7.3386320625	7.2972634	11.1618135	9.119848	9.98722333333333	9.78083905	13.72455625	11.945734	14.932464	14.043718	13.853852	10.576345	7.061268	12.650119	5.9281797
ec312	10.039431875	9.764529	8.1506619	7.6688837875	7.88516404	10.8947260666667	8.34710533333333	9.29795988888889	9.3447552625	13.2176708125	13.525084	15.239889	14.218354	15.226988	10.575976	8.035767	12.853267	6.0930486
ec315	10.141833375	9.619066	10.4088771666667	8.977760575	7.51434722	10.08294725	8.57902116666667	9.68913672222222	9.53872039583333	12.312696	13.292086	15.61396	14.66999	13.555916	10.68226	8.251561	12.4758005	4.7188125
