ID,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
ec302,-0.000503658,0.444150456,0.451165433,0.29634426,0.185752359,0.35147137,0.558618929,0.208200814,0.183551766,0.396957537,0.095648593,0.285041977,0.075714277,0.332482306,0.105312332,0.243685321,0.466115719,0.049934316,0.142515301,0.384914709,0.113656389,-0.193796278,0.387664115,0.248651997,0.11775199,0.261673727,-0.164209797,0.169758733
ec303,-0.168308421,0.234517024,0.174256005,0.26832381,0.163159092,0.28235659,0.549338229,0.087689244,0.037672322,0.230581331,-0.173173572,0.251210307,-0.143323857,0.336832371,-0.003686923,0.065665971,0.287853004,-0.011928926,0.084799907,0.238004219,0.07278149,-0.110440795,0.34518454,0.076372032,0.002687215,0.112005949,-0.140697105,0.126432896
ec305,-0.215932292,0.349992905,0.227175002,0.299848316,0.206899928,0.286580098,0.551338694,0.104923051,0.047137809,0.246236004,-0.128930289,0.261626361,-0.082612061,0.304136572,0.016668725,0.095178232,0.314083407,0.034040506,0.102200425,0.318624289,0.126540414,-0.153068263,0.346010227,0.14437597,0.028581217,0.147313525,-0.120594817,0.07582038
ec306,-0.294476991,0.191219507,0.011486033,0.176361314,0.216844542,0.279954637,0.473810301,0.156849048,0.056670989,0.148696223,-0.113799459,0.210287043,-0.16669133,0.24818787,0.056784421,0.197668606,0.267848569,-0.016969271,0.072239353,0.304575638,0.107493808,-0.238997139,0.417932009,0.132167757,0.022347054,0.172009918,-0.280169202,0.114974312
ec325,-0.140983388,0.247514916,0.170202232,0.25035746,0.198405974,0.290485313,0.539593785,0.153260208,0.105413449,0.223628458,-0.078696318,0.259151283,-0.098799218,0.292009651,0.021923638,0.065995948,0.283549438,0.037776689,0.094041376,0.303760417,0.061690788,-0.032980897,0.363122586,0.08538305,0.009474477,0.152944644,-0.158797967,0.135469726
ec326,-0.066462869,0.395870582,0.376813101,0.291218312,0.147957823,0.331639323,0.520108205,0.195231098,0.037811936,0.352732232,-0.052844293,0.256728345,0.015366496,0.263453073,0.055046354,0.184133713,0.463316128,0.036931666,0.13717851,0.2986866,0.122946767,-0.209492243,0.389742595,0.233070683,0.094127446,0.208700127,-0.09706316,0.054716609
ec330,-0.180761376,0.278286277,0.178772373,0.239535221,0.201535648,0.329043913,0.557683342,0.169664278,0.052854707,0.270020779,-0.100044064,0.255876137,-0.073858824,0.292099693,0.053657428,0.116647568,0.343343394,0.036704493,0.09572422,0.322946313,0.090746664,-0.180904861,0.382358927,0.126732969,0.029835944,0.151385573,-0.196730243,0.078206935
ec331,-0.240577208,0.236092999,0.189190811,0.232742514,0.189144612,0.312751896,0.560442736,0.186458975,0.105491175,0.268523764,-0.051702526,0.257549555,-0.084959259,0.275803678,0.010703286,0.120118643,0.358426836,0.053780998,0.093395412,0.290781275,0.090784326,-0.182210491,0.35495676,0.15297784,-0.014205924,0.18035467,-0.142857606,0.067288332
ec308,-0.152812686,0.273043819,0.285988144,0.236065729,0.20700668,0.324150208,0.597210948,0.218030882,0.085052935,0.317376744,-0.050958272,0.320281569,-0.059951351,0.325964938,0.065639606,0.112598176,0.400362147,0.08471598,0.107215184,0.309934461,0.078992632,-0.042939833,0.392372963,0.188585419,0.089653199,0.189796881,-0.097940646,0.14092968
ec309,-0.01652702,0.302696044,0.336608172,0.282424145,0.19694993,0.353799694,0.570424892,0.280209908,0.188688056,0.357508626,0.014521799,0.336032425,0.060934097,0.28851779,0.076530899,0.154747197,0.465986075,0.060587268,0.116008641,0.369290984,0.099115109,0.055503182,0.416441242,0.278616176,0.149141256,0.217724199,-0.143104152,0.131402034
