,StromalScore,ImmuneScore,ESTIMATEScore,TumorPurity
ec302,1094.407837,1795.902604,2890.310441,0.515460606
ec303,-102.6649043,386.4225183,283.757614,0.798113012
ec305,466.5641364,694.3056895,1160.869826,0.714148492
ec306,623.6616935,231.6640647,855.3257582,0.744814784
ec325,158.5315787,486.402985,644.9345637,0.765063679
ec326,471.7942315,1454.288418,1926.082649,0.631186928
ec330,764.4126645,741.7345583,1506.147223,0.677769036
ec331,680.3451232,772.0037642,1452.348887,0.683554287
ec308,591.2814391,1054.729961,1646.0114,0.662531746
ec309,1232.315478,1461.952211,2694.267689,0.539903013
ec311,282.6763458,334.041258,616.7176038,0.767724319
ec312,362.0690302,762.9388806,1125.007911,0.717823429
ec315,-49.29937119,520.9097139,471.6103427,0.781197798
ec316,704.6896895,1091.95538,1796.645069,0.64580905
ec317,1226.983655,1184.553714,2411.537369,0.574361064
ec318,897.9849493,917.8044214,1815.789371,0.643660948
ec319,449.0671106,464.4694483,913.5365589,0.73908605
ec321,1125.905237,639.5996254,1765.504862,0.649292261
ec322,889.0317606,1060.295338,1949.327099,0.628536795
ec324,94.35058805,443.0467293,537.3973173,0.775132908
ec333,481.1809314,516.6533713,997.8343027,0.730694465
ec334,583.2298646,594.165191,1177.395056,0.712448408
ec337,463.7452367,748.0411816,1211.786418,0.708896862
ec338,323.9300942,557.082801,881.0128953,0.7422935
ec340,427.0290211,891.9598985,1318.98892,0.697710701
ec341,275.1875977,489.938853,765.1264506,0.753584055
ec342,838.970724,590.0064588,1428.977183,0.686054322
ec347,171.031489,336.2661813,507.2976703,0.777916794
ec353,636.821089,773.2451919,1410.066281,0.688071284
ec355,946.0094164,1026.963906,1972.973322,0.625833347
ec361,1469.169048,1066.856778,2536.025826,0.55930731
ec362,134.8114351,61.97226945,196.7837045,0.805739834
ec365,1390.698243,1357.74473,2748.442973,0.533192342
ec366,95.84472659,563.9545922,659.7993187,0.763656767
ec367,882.265805,604.0925279,1486.358333,0.679901985
ec370,1089.234728,1001.564872,2090.799601,0.61225065
ec371,1040.410511,705.9264948,1746.337006,0.651429555
ec373,533.4034705,653.6883953,1187.091866,0.711448867
ec374,577.4801349,467.729161,1045.209296,0.72592924
ec375,526.3984994,199.9351418,726.3336412,0.757314997
ec406,489.4383755,99.28755463,588.7259301,0.770350703
ec407,340.2712675,923.5807279,1263.851995,0.703485777
ec408,785.8194092,517.181037,1303.000446,0.699390065
ec409,290.0995883,264.4960781,554.5956664,0.773535454
ec376,868.5977914,864.7104791,1733.30827,0.652879369
ec378,451.7096032,688.8620054,1140.571609,0.716230982
ec380,934.1568593,1467.681122,2401.837981,0.575525972
ec381,1036.982992,883.8053243,1920.788316,0.631789516
ec382,1248.396849,801.8989482,2050.295797,0.616940683
ec385,383.6049391,478.1355452,861.7404843,0.744186146
ec391,1405.222327,1102.267955,2507.490281,0.562774649
ec392,405.6852629,195.1240422,600.8093051,0.769218545
ec393,289.1658875,111.9991633,401.1650508,0.787611355
ec396,577.4784755,298.5651533,876.0436288,0.742782075
ec398,963.1244155,1405.789439,2368.913854,0.579471485
ec400,328.6928336,709.9229985,1038.615832,0.726594553
ec402,1037.251324,715.1946906,1752.446015,0.650748935
ec403,970.2699861,576.6977028,1546.967689,0.673351149
ec404,-63.00353544,178.1047174,115.1011819,0.812783088
ec405,685.4009221,404.1050646,1089.505987,0.721441884
ec224,364.9100129,168.5754892,533.485502,0.775495565
ec225,598.3603245,686.8285976,1285.188922,0.701256379
ec226,999.0145588,621.737391,1620.75195,0.665304449
ec227,748.2567941,1657.745892,2406.002686,0.575025929
ec251,485.0579751,943.8891067,1428.947082,0.686057537
ec253,313.5206309,843.2025614,1156.723192,0.714574431
ec256,22.71847706,804.813676,827.5321531,0.747530897
ec258,395.7699447,831.8959308,1227.665875,0.707250912
ec259,588.3834716,548.8065175,1137.189989,0.716577301
ec260,1332.442784,1294.984429,2627.427213,0.548135423
ec261,285.7941441,372.1200718,657.9142159,0.763835389
ec262,563.8539436,1053.766397,1617.620341,0.665647566
ec264,697.0677132,955.6794881,1652.747201,0.661790824
ec265,783.7203873,1072.056245,1855.776632,0.639157767
ec266,633.5292379,551.3832813,1184.912519,0.711673638
ec269,652.6425685,955.2811127,1607.923681,0.666709094
ec273,-19.86414199,632.4416267,612.5774847,0.768113593
ec274,474.570184,718.5549702,1193.125154,0.710826232
ec275,274.5821388,551.0431863,825.6253251,0.747716785
ec277,753.7489055,1078.391339,1832.140244,0.641822259
ec279,525.5224167,1078.559953,1604.082369,0.667129243
ec280,975.5264765,1206.245773,2181.772249,0.601638066
ec281,-396.4542194,-58.06975329,-454.5239727,0.858597696
ec284,530.2562522,545.4184672,1075.674719,0.722846307
ec285,968.8941842,939.094931,1907.989115,0.633244713
ec287,-151.5236456,-317.2082113,-468.7318569,0.859664986
ec288,382.0424521,1253.89809,1635.940542,0.663638307
ec29,-101.6652639,212.8937298,111.2284659,0.813114128
ec30,219.3042812,749.5279819,968.8322631,0.73359422
ec68,352.9404775,240.6891769,593.6296544,0.769891538
ec80,30.73764492,16.21765156,46.95529648,0.818569755
ec81,40.61238212,144.9874737,185.5998558,0.806711053
ec108,-422.147986,-304.8984339,-727.0464199,0.878412938
ec119,845.2934739,1199.753952,2045.047426,0.617546812
ec120,-300.8022502,585.4885441,284.6862939,0.798030871
ec122,-412.0423979,561.0395144,148.9971165,0.809874463
ec131,309.7126465,820.6460413,1130.358688,0.71727637
ec132,1089.475402,1700.282303,2789.757705,0.528052018
ec134,375.5998799,324.0470178,699.6468977,0.759867375
ec135,-395.0683781,235.960653,-159.1077251,0.835567143
ec142,-117.0665247,-199.8615481,-316.9280728,0.84806904
ec148,702.1107285,249.0732457,951.1839742,0.735352272
ec136,285.3528674,603.6660815,889.0189489,0.741505518
ec146,80.14555878,239.0595928,319.2051515,0.794967201
ec205,1010.696967,1311.249048,2321.946015,0.5850765
ec206,574.5204465,969.1682798,1543.688726,0.673706917
ec207,644.4407321,788.2264667,1432.667199,0.685660143
ec208,773.6663531,615.7938635,1389.460217,0.690263009
ec210,316.0939072,890.0028942,1206.096801,0.70948567
ec211,232.2218388,273.9334276,506.1552664,0.778022155
ec212,1291.808298,1523.747129,2815.555426,0.524832438
ec214,1125.044059,1627.035646,2752.079705,0.532740649
ec215,363.5110364,684.5779504,1048.088987,0.725638451
ec216,601.3788788,821.6836098,1423.062489,0.686685729
ec218,898.5876705,1087.982881,1986.570551,0.624275373
ec219,1271.181802,1747.223898,3018.4057,0.499257985
ec220,340.2602699,583.9544816,924.2147515,0.738029302
