,TIDE,Cluster,ABLIM1,CSTB,MAL2,SLPI,FANCB,IFT57,KIF11,PPEF1
ec97,-0.66,2,High,High,High,Low,Low,Low,Low,Low
ec96,0.34,2,High,High,Low,High,High,High,High,High
ec94,0.49,2,Low,Low,High,Low,Low,High,Low,High
ec92,-0.9,2,High,High,High,High,Low,Low,Low,Low
ec91,-0.05,2,High,Low,Low,Low,Low,Low,Low,Low
ec9,-0.25,2,High,High,High,High,High,Low,High,High
ec87,0.03,2,High,High,High,High,Low,Low,Low,High
ec81,1.33,1,Low,Low,Low,Low,High,High,High,High
ec80,0.94,2,High,High,High,Low,High,Low,High,High
ec79,0.54,1,Low,Low,High,Low,High,Low,Low,High
ec77,0.65,2,High,High,High,High,Low,Low,High,Low
ec76,0.47,1,High,Low,Low,Low,Low,Low,High,High
ec74,1.35,1,Low,Low,Low,Low,Low,Low,High,High
ec73,0.56,2,Low,Low,Low,High,Low,High,High,High
ec71,0.59,1,Low,Low,Low,Low,Low,Low,Low,Low
ec7,-0.06,2,High,High,High,High,Low,Low,Low,Low
ec68,1.64,1,High,Low,Low,Low,High,High,High,High
ec61,0.8,2,High,High,Low,Low,Low,Low,Low,Low
ec60,0.24,1,Low,Low,Low,Low,High,High,High,Low
ec6,-0.26,1,Low,Low,Low,Low,High,High,High,High
ec52,-0.56,2,High,High,High,High,Low,Low,Low,Low
ec51,0.63,2,Low,Low,Low,High,Low,Low,Low,Low
ec49,0.35,2,Low,High,Low,High,Low,High,High,Low
ec46,0.13,1,Low,Low,Low,Low,High,Low,Low,High
ec45,2.24,1,Low,Low,Low,Low,High,Low,High,High
ec42,1.1,1,Low,Low,Low,Low,High,High,Low,High
ec409,-0.32,2,High,Low,High,High,High,High,High,Low
ec408,-0.11,2,Low,Low,Low,High,High,Low,Low,Low
ec407,0.31,2,Low,High,High,High,Low,Low,High,Low
ec406,0.35,2,High,High,High,High,Low,Low,Low,Low
ec405,0.43,1,Low,Low,Low,Low,High,Low,Low,Low
