,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SLPI,20107.9081288745,-2.31018585377354,0.141349829808875,-16.343746977957,4.81977359589645e-60,6.50380249030267e-56,down
SOX14,203.721052211198,3.18740010687753,0.266446212126176,11.9626399694064,5.57605154664197e-33,3.76216197851934e-29,up
TGM1,10376.7187870017,-2.15003891799291,0.181462361450156,-11.8484015131892,2.19334718125001e-32,9.86567562126256e-29,down
SPRR2D,18062.6464543853,-1.55129908688026,0.13295378926187,-11.6679569306955,1.85832514838088e-31,6.2690598880629e-28,down
PLA2G4E,280.298708728498,-2.87636294906345,0.247607583330523,-11.6166189676989,3.39299767855647e-31,9.1570221348882e-28,down
PI3,46434.5654944392,-1.95039523957276,0.168387621697397,-11.5827708706388,5.0390500116377e-31,1.13328234761732e-27,down
SPRR2A,17415.5310197388,-1.54783776637842,0.134213515483158,-11.5326519896773,9.0317931514176e-31,1.74107166836042e-27,down
IL36RN,2920.61034384615,-2.38154515756018,0.20827978636974,-11.434355676419,2.81619475948065e-30,4.75021651055398e-27,down
WFDC12,1493.57134847183,-2.89823159462713,0.254838309944863,-11.3728253623021,5.71085557402831e-30,8.56247612399311e-27,down
ASCL4,229.088110013103,3.40675884856784,0.301405994823369,11.3028901451157,1.26969304548287e-29,1.71332379557459e-26,up
RDH12,1753.93696043611,-2.37233325332413,0.210189077261953,-11.2866628667272,1.52725754900951e-29,1.87352848784858e-26,down
DAZL,313.389266312291,3.50783172329831,0.314037069733827,11.170119904225,5.71037439522325e-29,6.42131600742855e-26,up
CSTB,27083.2951712906,-1.10287401931499,0.0993531909284765,-11.1005394895564,1.24688948930676e-28,1.29427128990041e-25,down
SPRR1A,81314.4772606127,-1.48630180916739,0.134437211754944,-11.0557321872805,2.05651892141503e-28,1.98219045182675e-25,down
KRT80,5072.32054409924,-1.89311539398674,0.172581928409322,-10.9693721204501,5.36436043597375e-28,4.82577864820198e-25,down
FBXL13,702.655638890662,2.44651846282099,0.223734931100072,10.9348971606348,7.84949284840879e-28,6.62006603102677e-25,up
S100A9,33758.1648271973,-1.59299613853751,0.149332330538075,-10.6674564898145,1.44528544979927e-26,1.14721657997596e-23,down
GPR45,7298.37075180473,-1.88961977546603,0.181375911911142,-10.4182509990179,2.04682500165178e-25,1.49684267310865e-22,down
SDR9C7,2331.79926564299,-1.96905833054463,0.192093440971798,-10.2505234982683,1.17704305969389e-24,7.94150952375465e-22,down
SBSN,9525.09020471988,-1.62630866450199,0.15898756560799,-10.2291563386279,1.46792574983328e-24,9.43247146107156e-22,down
SCEL,3133.05424553614,-1.58658609734628,0.156271516438027,-10.1527529361083,3.22145553916767e-24,1.97592368388766e-21,down
CNFN,22309.7371877491,-1.51756463777546,0.149867391724245,-10.1260495716624,4.23411415233613e-24,2.48413636398364e-21,down
SPRR1B,34177.5277032332,-1.51453392354063,0.149687395618617,-10.1179789873521,4.5981184058548e-24,2.58529207369186e-21,down
FAM25A,13901.3322644784,-1.55007285466245,0.153513685052601,-10.0972942844237,5.67873701342339e-24,3.06515509036541e-21,down
IL1RN,12086.9792941057,-1.20241765974604,0.119533432069597,-10.0592582253135,8.36260458141183e-24,4.18917978621098e-21,down
ALOX12B,2818.69185315076,-1.95725578870392,0.194577007539191,-10.0590291394511,8.38208494350796e-24,4.18917978621098e-21,down
CRABP1,186.367508205019,2.76736864240806,0.2773361914988,9.9783898648512,1.89517093563254e-23,9.13337021622337e-21,up
S100A8,49264.9955731966,-1.3938724960361,0.140680325640313,-9.90808408845954,3.83937839975301e-23,1.78650248711266e-20,down
KLK14,1584.71365861681,-2.69286047448929,0.27283049557572,-9.87008607233177,5.61164372187376e-23,2.52411734609882e-20,down
LYNX1,6120.10143077248,-1.90980705898308,0.193671439298848,-9.86106710363277,6.13934034111387e-23,2.67239543751582e-20,down
EDAR,1112.03674411089,3.04522830765407,0.309143314079713,9.85053911555354,6.81772841547043e-23,2.87495085119869e-20,up
OVOL1,3352.48643789418,-1.63178827025974,0.166089400872034,-9.82475860405429,8.80848096959879e-23,3.60186794556867e-20,down
KLK13,7213.10117294617,-1.84541140733803,0.189040425399133,-9.76199351774463,1.63901227602128e-22,6.50495048606797e-20,down
PRR9,885.807695458452,-3.40505193371317,0.351507961838943,-9.68698380514442,3.42493771511085e-22,1.32046027222017e-19,down
EPS8L1,8379.28989229026,-1.23506560049429,0.127811101744314,-9.66321065727947,4.32104839262736e-22,1.61967297250316e-19,down
ZNF750,8789.16186135592,-1.31397379166205,0.136660821171192,-9.61485362374683,6.92077155032122e-22,2.52402408919012e-19,down
P2RX3,728.121520829675,-1.49887355878024,0.156259349853872,-9.59221678691184,8.62124502940207e-22,3.06144948491451e-19,down
NPTX2,2003.27065262201,2.93767526205992,0.311323272420191,9.43609271232047,3.86939817994701e-21,1.33881177026167e-18,up
WFDC5,3740.3569325457,-1.85124490088128,0.196300911526863,-9.43064852059002,4.07561187170916e-21,1.37490766492109e-18,down
LYPD3,19948.3555299319,-1.32632366739804,0.14095905174956,-9.40928341199754,4.99530811384201e-21,1.64406555337034e-18,down
HOXB13,536.286726000175,2.85812022843724,0.304598139938156,9.38324911970093,6.3970405280775e-21,2.00748057874134e-18,up
IL17C,86.7568896416226,-2.28498088897823,0.24349827279042,-9.38397165118672,6.35333689305632e-21,2.00748057874134e-18,down
SERPINB3,18117.1940434744,-1.66974011976555,0.180142764657712,-9.268982425901,1.87930207421563e-20,5.76347777033311e-18,down
GDPD3,1362.11440098456,-1.64488118082786,0.177581084091814,-9.26270491725018,1.99317618539802e-20,5.97687098794686e-18,down
BNIPL,2854.33118335741,-1.40370429280319,0.152196228175962,-9.2229900151027,2.88928737437245e-20,8.47566170212649e-18,down
HGC6.3,22.386931271305,1.90567715341206,0.210082284876219,9.07109875796947,1.17822798140841e-19,3.38276774066492e-17,up
LCE2A,253.32915640334,-3.00242884520272,0.332554979697629,-9.02836832554012,1.74250464400922e-19,4.89861618047092e-17,down
ABLIM1,5869.39155528049,-1.05915483104734,0.11743950085124,-9.01872728826534,1.90287054112398e-19,5.23338961755621e-17,down
CRCT1,15037.3769242247,-1.35393557038665,0.150159364688038,-9.01665755711943,1.9391542973011e-19,5.23338961755621e-17,down
TREX2,479.622888027865,-1.87618490820452,0.208757700709137,-8.98738059401518,2.53192600028358e-19,6.69917832310325e-17,down
RNF39,2630.42504094051,-1.66407260932818,0.185858889555985,-8.95341951791293,3.44637134428357e-19,8.94333363841587e-17,down
EPGN,1168.17690467406,-2.04379507340015,0.228372386802645,-8.94939664998275,3.57430611002668e-19,9.10031823560377e-17,down
KCNA2,167.584088987964,2.23393336432666,0.24983680287685,8.94157041157709,3.8367851581817e-19,9.58769980083405e-17,up
MAB21L3,358.204531464985,-1.83705345991,0.205659701151875,-8.93249114737059,4.16521717755796e-19,1.02191710170849e-16,down
LCE2B,462.587944778494,-2.71460990111778,0.30622650618944,-8.86471238201193,7.67018113866585e-19,1.8482397193778e-16,down
SPINK5,10660.5136963157,-1.26179019978331,0.142707300780855,-8.84180551996386,9.41840583414487e-19,2.22968365484124e-16,down
MAPK4,81.478835587777,2.17492613203092,0.246172985679643,8.83495045577932,1.00142632193457e-18,2.32987013589399e-16,up
C2orf54,1618.95682302841,-1.65339275417616,0.187578440090587,-8.8144072068074,1.20319983736606e-18,2.75186078057926e-16,down
EVPLL,1386.56004598356,-1.12810132969052,0.128178327650163,-8.8010301770316,1.35565887679554e-18,3.04887681391317e-16,down
ALOXE3,351.898044115982,-1.57793898733726,0.179557309701008,-8.78794068570522,1.52326353545447e-18,3.36965871269224e-16,down
DEFB4B,9425.93037838627,-2.51955568331099,0.288223548809782,-8.74167185060168,2.29685813335014e-18,4.9990005889398e-16,down
TGM5,900.379756441731,-1.39489359545644,0.159659389873556,-8.73668374006155,2.40053317214559e-18,5.14171343252898e-16,down
SP5,370.971376806113,2.00920332538154,0.230796634821292,8.70551395577011,3.16138861694957e-18,6.66559031204961e-16,up
AQP3,19543.49750178,-1.48278758766628,0.170691895903236,-8.68692435466807,3.72383911320778e-18,7.73068999901936e-16,down
OR4S1,420.672841366296,-1.63769107684825,0.189257537745291,-8.65324095599466,5.00571837011553e-18,1.02344187403544e-15,down
MYBPC1,858.972914925913,1.98706150836546,0.230286751858941,8.628640129427,6.20857014530156e-18,1.25042456030894e-15,up
MUC15,1448.84698315024,-1.77210330198811,0.205879973806387,-8.60745836141705,7.46982710212811e-18,1.48232127817819e-15,down
KIF1A,910.172322681685,2.62326042802572,0.304892640773953,8.60388240715394,7.70639373938283e-18,1.50710256694539e-15,up
SHC4,522.3064581295,1.58390440762564,0.18502704440458,8.56039403711321,1.12482411300193e-17,2.16833951154973e-15,up
VSIG10L,1964.06463690349,-1.40966956965584,0.164999319262978,-8.5434871849931,1.30230964442462e-17,2.4751220199811e-15,down
MYB,3040.35315313811,1.93181225739364,0.226171296329261,8.54136793106274,1.32642137606031e-17,2.48593472896637e-15,up
S100A12,8678.45978035528,-1.93311774680517,0.228805271103611,-8.44874655850821,2.9444687730075e-17,5.44283035931002e-15,down
TMC5,317.990250940523,-2.05085772423387,0.242991679618616,-8.44003270997906,3.17248870691387e-17,5.78507602852645e-15,down
PPM1E,56.3995690680535,1.90358123392255,0.226722361590125,8.39608947512598,4.61593952407785e-17,8.30499839172086e-15,up
KLK10,2100.07384671465,-1.77184242747962,0.21133231804791,-8.38415271192895,5.10924281507473e-17,9.07159507192348e-15,down
FAM46B,1805.26199186171,-1.15553468498639,0.138001460221978,-8.37335114518123,5.60024122182109e-17,9.68841731375048e-15,down
PRSS22,3967.33059347379,-1.33269574289003,0.159134470763988,-8.37465155407178,5.53875030049414e-17,9.68841731375048e-15,down
SEZ6L,158.28942329407,1.64646970371101,0.196777461450201,8.36716609502395,5.90204761738624e-17,1.00812950062038e-14,up
PLA2G4D,710.21568977111,-1.62461850818854,0.19515644324093,-8.32469828414978,8.45438014822048e-17,1.42604257150109e-14,down
KRT37,173.818925701773,-2.66172263420675,0.319885102488686,-8.32087087988379,8.73193321158381e-17,1.45467539206311e-14,down
RHBDL3,233.489063335669,1.95868465832643,0.236612627912136,8.27802250289772,1.25237565660722e-16,2.06092159881193e-14,up
POU3F2,394.863369598192,1.62633638361488,0.197007965894494,8.25518083104241,1.51672421739926e-16,2.46586464934767e-14,up
OR10A6,449.303499879859,-1.40536388861548,0.170388368426287,-8.24800367299406,1.61062420624418e-16,2.58735274274511e-14,down
LCE3E,9960.82035934367,-1.79452216326088,0.217650955980417,-8.24495419823629,1.65223493533325e-16,2.62297155498669e-14,down
TMPRSS11F,1103.25667963166,-1.99729784575412,0.242996621039873,-8.21944699151347,2.04443700137436e-16,3.20786429029601e-14,down
SERPINB2,6217.44736299022,-1.79992950024312,0.219109337050874,-8.21475490031355,2.12598041375121e-16,3.29746893139757e-14,down
GSDMA,1545.10725910413,-1.58399991602482,0.19288869006126,-8.21198959628867,2.17553129519793e-16,3.33597946561373e-14,down
EMID1,968.213948694609,1.58666562910956,0.193341429057125,8.20654754052098,2.27639435319455e-16,3.45142307887722e-14,up
ZNF449,5581.03951660174,-1.28742090070624,0.157621628821825,-8.16779340709351,3.14081169771446e-16,4.70912367210655e-14,down
CLDN17,589.112719474496,-1.88430740027477,0.231145313809249,-8.1520467329473,3.57815961468534e-16,5.30589954291912e-14,down
RIPPLY3,297.82799536489,1.87441596915735,0.231405248338556,8.10014458451261,5.48939083098864e-16,8.05150433406094e-14,up
OBP2A,309.689572779378,1.55069536650192,0.19155217177317,8.09542043897161,5.70669022200347e-16,8.28022342534568e-14,up
DEGS2,3266.04171570337,-1.07518586244118,0.132866642436313,-8.09221820259779,5.85878312401493e-16,8.41047015696356e-14,down
SPHKAP,169.962197763516,-1.37839254105715,0.170578515397796,-8.08069256460981,6.43999776360661e-16,9.14750840232712e-14,down
RASAL1,1083.06472445786,-1.00871621204609,0.125074340159013,-8.06493330897177,7.32758567796368e-16,1.02998376185877e-13,down
HOXB9,1137.14621984041,1.28856687212143,0.160064963374964,8.05027436955623,8.26086351959242e-16,1.14919682817918e-13,up
TDRD12,1044.46001627172,-1.90101846376853,0.236499756555662,-8.03814131335526,9.12114068981531e-16,1.25592522926906e-13,down
GNRHR,158.436192358582,-1.9041958844914,0.237976642489072,-8.00160832834191,1.22804480376622e-15,1.65712365820214e-13,down
FLG2,239.297677806901,-2.7610130618456,0.345027423945572,-8.00230031071717,1.22116111241983e-15,1.65712365820214e-13,down
USP2,934.640585267537,-1.59647593830288,0.199733956030016,-7.99301215494356,1.31681140560477e-15,1.75931218883472e-13,down
SLC26A9,346.72586412207,-1.389032000508,0.174582540129232,-7.95630536409767,1.77252617797155e-15,2.32218138306292e-13,down
LCE3C,1102.61957010442,-1.87441844568347,0.235851695756712,-7.94744527771805,1.90397065597967e-15,2.44687428874187e-13,down
ALKAL2,534.780787205013,1.99521278545871,0.251227743493711,7.94184892843516,1.99189456559343e-15,2.53571936491677e-13,up
FSHR,196.574541078254,-1.12665761823437,0.142376328978132,-7.91323688650113,2.50781525702389e-15,3.16265972694209e-13,down
IL36B,843.592928783298,-1.77420343996493,0.22483478383848,-7.89114304145886,2.99431208314778e-15,3.74122659722186e-13,down
SCGB1A1,3016.23469249806,-1.61479134431538,0.204924078087431,-7.87994929334966,3.27513960476255e-15,4.05456273639137e-13,down
MEX3A,3775.65812406886,1.40499484505595,0.179567326442484,7.82433459856614,5.10349029984449e-15,6.26059073691832e-13,up
PDZK1IP1,14779.8271151204,-1.35707594072107,0.173731682941236,-7.81133249702124,5.65865164609329e-15,6.87908516327774e-13,down
KLK12,2264.02175667189,-1.51413507569531,0.193923261807175,-7.80790845608235,5.81447916821818e-15,7.00540909785144e-13,down
DZANK1,525.352401815294,1.35024711454828,0.17301982352162,7.80400237999063,5.99740603935395e-15,7.16185815000373e-13,up
SLC10A6,424.466712195704,-1.58023183358023,0.20373521827174,-7.75630176748594,8.74418170639756e-15,1.01718955125973e-12,down
CARD18,1300.79722731903,-2.25932323306313,0.291257497150512,-7.75713331044518,8.68706018571193e-15,1.01718955125973e-12,down
ANXA9,429.815902973361,-1.11079681792808,0.14446519966538,-7.68902698020684,1.48258199637935e-14,1.69542046263923e-12,down
RNF222,2818.54174511498,-1.01544659388854,0.132209052163349,-7.68061322029543,1.58328842652635e-14,1.76569372128484e-12,down
S100A7A,3623.88862165496,-2.67244656039852,0.347903460096927,-7.68157511182547,1.57144296498452e-14,1.76569372128484e-12,down
LY6G6C,2503.33780897883,-1.31964137362339,0.172731951411679,-7.63982206440912,2.17522140955296e-14,2.39498601862143e-12,down
KLK7,19765.1637046938,-1.41526095249804,0.185259138304878,-7.63935838980835,2.18306862524408e-14,2.39498601862143e-12,down
COL9A3,4338.95547500581,1.73558455836715,0.227619388990717,7.62494164518617,2.4414480364382e-14,2.65684675836267e-12,up
SLC7A3,20.3537376378002,1.66565873787249,0.218566897842569,7.6208188628465,2.52071464569626e-14,2.70131608110648e-12,up
SLC6A14,1568.68207557303,-1.84056601837729,0.241520794703445,-7.62073518612449,2.52234938653785e-14,2.70131608110648e-12,down
SLC4A9,4700.20987738528,-1.00358381552981,0.13225656045404,-7.58815904545288,3.24482485348007e-14,3.4207552010047e-12,down
ASPRV1,4119.91051271928,-2.16798588608263,0.285821897767068,-7.58509373501341,3.32246781862924e-14,3.4754558716731e-12,down
SPRR2G,9249.48826557849,-2.59347195825607,0.342007438987992,-7.58308639698077,3.37429982572864e-14,3.50252321910633e-12,down
KCNA7,3483.461912705,-1.7632588739274,0.233423243405123,-7.55391300457229,4.22372355875292e-14,4.35075768716121e-12,down
ADARB2,403.783780101105,1.88658425598454,0.249966907860112,7.54733605394007,4.44251232290695e-14,4.54145918828079e-12,up
CYP4B1,1141.08250902491,-2.0333481075048,0.2696027823396,-7.54201455140598,4.62766095439748e-14,4.6951621743338e-12,down
MYO1H,90.0271231633321,-1.51958452596809,0.201604107641405,-7.53746807912756,4.7918387740809e-14,4.82545316548117e-12,down
VNN1,643.550548303244,-1.93165374359643,0.256627339899626,-7.52707698389406,5.18887802808485e-14,5.18657186007237e-12,down
ATP10B,964.121117987278,-1.56344375648515,0.208243193841727,-7.50777841831136,6.01391844227714e-14,5.96704525441821e-12,down
ECM1,10966.7871472881,-1.03742516925938,0.138743319834295,-7.4772981538744,7.58661625102176e-14,7.41839128197736e-12,down
LCE3D,10950.8119844836,-2.08564973027083,0.279108141795494,-7.47255066388931,7.86550698673814e-14,7.63576627906795e-12,down
KCNB2,347.881279569484,1.30295165107042,0.174538957031743,7.46510505865724,8.32331762017914e-14,8.02248914047838e-12,up
ADGRG2,103.736562736482,1.62177474403031,0.217860859508294,7.44408494343871,9.7618675914798e-14,9.30422657955003e-12,up
KLK11,4780.91956199322,-1.32741008297347,0.178326859765739,-7.44369123483266,9.79101952198091e-14,9.30422657955003e-12,down
RAET1E,407.37780363343,-1.43077298941603,0.193630751335095,-7.38918265590963,1.47734109287767e-13,1.39407277673365e-11,down
LCE3A,13055.0005859499,-1.66541779957091,0.225583946459262,-7.38269644498692,1.55115415683837e-13,1.45356070780395e-11,down
CYP2C18,2021.6240756915,-1.57366034668093,0.213603362819909,-7.36720773449478,1.7423887116224e-13,1.62150298445742e-11,down
TGM3,5046.68047798235,-1.38113728654047,0.188065487289783,-7.34391677305642,2.07432139072177e-13,1.91718444153421e-11,down
SLC5A1,1052.55521839655,-1.48734968406038,0.203554910124831,-7.30687205309003,2.73432689424027e-13,2.51000048373321e-11,down
IL17RB,901.966100916209,1.32068969472491,0.181512472481189,7.27602724304123,3.43794190280637e-13,3.13456675922089e-11,up
CASP14,4900.58747090642,-1.97488494157905,0.271597993206157,-7.27135321681116,3.55903966512319e-13,3.22320008330015e-11,down
RNASE7,2700.79571917204,-1.66195747879949,0.229194152042595,-7.25130839503541,4.12764636997637e-13,3.71323067443074e-11,down
STEAP4,1418.55300827525,-1.75764439562014,0.243127213119867,-7.22931988182492,4.854188393981e-13,4.33790848929666e-11,down
MACC1,2359.28458986241,-1.24916640305538,0.173458364763922,-7.20153452821663,5.95386450701702e-13,5.28562155642682e-11,down
PCOLCE2,879.730305942625,1.42190237166875,0.197667462559429,7.1934063060138,6.31945240289098e-13,5.52936526678947e-11,up
SPRR3,15470.8579422007,-1.12359102486936,0.156231342559257,-7.19184131982476,6.39232978819591e-13,5.52936526678947e-11,down
C15orf48,3988.75174051294,-1.12237386525968,0.156154826464246,-7.18757076340937,6.59542218277078e-13,5.66870235250375e-11,down
ANKRD6,839.035177188629,1.00492822483209,0.140279992717636,7.1637316581194,7.8510013906161e-13,6.62133829781085e-11,up
LIPK,219.998702175691,-1.67312379665629,0.233851009786897,-7.15465713909454,8.38823092288718e-13,6.98708568354565e-11,down
ALX3,179.324043514784,1.23526952300106,0.172688826429289,7.15315257242117,8.48072523746764e-13,7.02079180088272e-11,up
CHGB,1501.88368506165,1.74104412734877,0.245108000816888,7.1031713430254,1.21926084542913e-12,9.91126858326546e-11,up
ROPN1L,168.335735089813,1.17087857406544,0.165910250474849,7.05730098480529,1.69767647691836e-12,1.36359799878192e-10,up
LYPD5,3445.01955201779,-1.42989463313012,0.203594121532882,-7.0232608995009,2.16748923352834e-12,1.73065678800186e-10,down
CENPV,636.325594692099,1.15799326681256,0.165033840827111,7.01670191403758,2.27166533647067e-12,1.80316776766677e-10,up
KRTAP19-7,4777.70211256571,-1.16377033309655,0.166756513504074,-6.97885982767397,2.97585197624006e-12,2.30374005368837e-10,down
H2BFM,669.266000716377,1.12574589730666,0.161621201763665,6.96533551923973,3.27621994429451e-12,2.49770123888758e-10,up
ZBTB8B,19.2954841945013,1.15572187757788,0.166181840418269,6.95456179007892,3.53659607489451e-12,2.65126819081259e-10,up
KIF5C,629.258343714894,1.4928436583958,0.215385284724238,6.9310383033229,4.17762907065267e-12,3.09741355381248e-10,up
TFF1,470.224125760424,-1.46367894081681,0.211306649660783,-6.92680018904513,4.30465896022001e-12,3.17415672181469e-10,down
SLC39A2,1629.95227835385,-1.4389123456329,0.207789063242994,-6.92487045841386,4.36374649642886e-12,3.20023887080495e-10,down
PIANP,124.786023704517,1.38038313855669,0.199943227481079,6.90387544478001,5.06026725839144e-12,3.6909862910667e-10,up
FSTL4,493.338661131308,1.66694454059845,0.241839404974255,6.8927747352666,5.47144823458507e-12,3.96944744502639e-10,up
SERPINB7,3093.13995787075,-1.39346783158205,0.20264526691856,-6.8763897265958,6.13884136775703e-12,4.42981419339643e-10,down
IL36G,7472.39420103804,-1.7489806967253,0.254396906559023,-6.8750077207386,6.19865017569963e-12,4.44918007823887e-10,down
LCE1C,12235.8786479776,-1.07114197716702,0.156097173344647,-6.86202033141267,6.78933975916755e-12,4.79661522042968e-10,down
PNPLA1,405.540948777267,-1.71333829967888,0.249827606153427,-6.85808236351058,6.97910203508422e-12,4.90500014903263e-10,down
MAGEB5,40.8051439193974,-1.21661943356895,0.177627990640304,-6.84925517190925,7.42354784654191e-12,5.19032925602262e-10,down
LIPH,4355.13149547333,-1.16667257257967,0.170413545724174,-6.84612580309788,7.58767596101637e-12,5.27773708339973e-10,down
TMPRSS11E,3378.83085698073,-1.36205375043667,0.199388488992904,-6.83115538573117,8.42334327603499e-12,5.79921398810287e-10,down
KRT75,6582.29581146159,-1.24228668662336,0.18187836869067,-6.83031575204076,8.47279353689907e-12,5.80364852725462e-10,down
GRHL1,5349.40305172389,-1.0731389315882,0.157746166236794,-6.80294778116705,1.02499809943986e-11,6.8812558974336e-10,down
KRT6B,33177.0108499465,-1.06265496254983,0.156499977227452,-6.79012854427066,1.12033677141125e-11,7.44720413469134e-10,down
GKN1,85.1975576107293,-1.89674132152143,0.279470218805487,-6.78691750995327,1.14554661902824e-11,7.55021734463844e-10,down
ARNT2,1278.26626357881,1.42845127947327,0.21095800569586,6.77125892786775,1.27666551437291e-11,8.36277885968353e-10,up
TSPEAR,101.74407900218,1.45889096742595,0.215780706330487,6.76098893286378,1.37052994134961e-11,8.89131299450562e-10,up
THSD4,432.442171405973,-1.27049281539611,0.188377163608776,-6.74440994363144,1.53650154626235e-11,9.87311993584004e-10,down
KLK9,4607.25440814992,-1.30451562697457,0.194519076265642,-6.70636346839875,1.99534360876968e-11,1.27005503097821e-09,down
EMX2,125.978948590053,1.71397032336199,0.255710285869732,6.7027820861111,2.04488303965542e-11,1.29151791146651e-09,up
S100A7,44154.1923683415,-1.38987520155591,0.207668334101193,-6.69276424627481,2.18993802216663e-11,1.37446621726123e-09,down
VIT,614.194648282535,1.1297827704077,0.169323429713972,6.67233573236838,2.51763788775199e-11,1.57282433598728e-09,up
LEP,331.992075569681,-1.49171042783499,0.223612918887846,-6.67094922446393,2.54154150418494e-11,1.57646799361178e-09,down
SLC15A1,1187.97007715912,-1.44639745263179,0.21688337621687,-6.66901022043057,2.57534320734171e-11,1.58683475981137e-09,down
PNMAL1,1372.25018832819,1.66508266719377,0.251014691758132,6.63340721426052,3.28025207530298e-11,2.00153162478958e-09,up
TMPRSS11D,6838.16196204672,-1.4495064839602,0.218816511014027,-6.62430123413897,3.48894631606168e-11,2.11120365869669e-09,down
SUSD5,340.68569088272,1.20902829984622,0.182790230453725,6.61429386485891,3.73329470916341e-11,2.24897673238621e-09,up
NLRP10,181.194057918995,-1.74554877131309,0.263932185790598,-6.61362601944271,3.7501845762489e-11,2.24911069652901e-09,down
SLURP1,8850.57884138827,-1.07300839787876,0.163263940026321,-6.57223142909435,4.95667405161065e-11,2.89547011482399e-09,down
RORC,254.713843048475,-1.3195856535617,0.200815217585953,-6.5711437082545,4.99302399092005e-11,2.90413214368427e-09,down
TMSB15B,1098.68478482407,1.2815615265668,0.195067372772068,6.56984050358989,5.03691856675572e-11,2.91708923346788e-09,up
TRPV3,305.035117412764,-1.56752111582281,0.238795891213384,-6.56427172116665,5.2287779156179e-11,3.00243102950417e-09,down
CST6,3446.50137680544,-1.54255712283547,0.236996447319478,-6.50877741114851,7.57648894189028e-11,4.3138034507117e-09,down
PHF21B,62.7476162592881,1.41056120411351,0.216791221211876,6.50654208333892,7.69003669428609e-11,4.31663092831536e-09,up
PRAC1,19.6098919237527,1.26299333988861,0.194122583226387,6.50616388313616,7.70941198846896e-11,4.31663092831536e-09,up
FAM83C,10286.5702474261,-1.32749630760627,0.203980073970831,-6.50797051772862,7.61728625698824e-11,4.31663092831536e-09,down
SFRP1,3284.59627845973,1.8956262689264,0.291403258407776,6.5051649706461,7.7608163728979e-11,4.32745686511918e-09,up
KPRP,2251.95554040185,-1.19052491956269,0.18312169715371,-6.50127722747883,7.9640908499767e-11,4.42252847446854e-09,down
ZNF80,8847.03981771682,-1.10492989211899,0.170279163917272,-6.48893186165635,8.64470492020907e-11,4.78080525382382e-09,down
LGR6,2966.39593043543,1.46052078142302,0.225905403174242,6.46518746741312,1.0117330228696e-10,5.50496992362997e-09,up
IL19,169.212712139434,-1.25598537299405,0.194625925331572,-6.45333025831119,1.09418546211701e-10,5.92969422723168e-09,down
GSC,621.113337820435,1.15514854463216,0.179492867909421,6.43562364391599,1.22967381381303e-10,6.58461049348929e-09,up
CAPN14,1662.49454037338,-1.26264229109055,0.196495574065013,-6.425805248279,1.31173254705982e-10,6.99625256522736e-09,down
PPEF1,106.364360764991,1.32370929747962,0.206055978125601,6.42402763327135,1.32715095054834e-10,7.0506200498816e-09,up
TCN1,931.000284388574,-1.87529813279036,0.292101547721068,-6.42002121324298,1.36255356693699e-10,7.21031287539125e-09,down
IRX1,549.88883421288,2.18236355851363,0.340007295115282,6.41857863012523,1.37552556007924e-10,7.25052418269892e-09,up
LRP4,2283.60648426261,1.03205549533328,0.160923032236257,6.41334854924982,1.42357534713031e-10,7.44563012952571e-09,up
TUBB2B,767.067671975337,1.92462953539472,0.300377204924164,6.40737547271815,1.48045915607113e-10,7.71324936371579e-09,up
KRTAP20-3,3784.43065825153,-1.65099866892153,0.259537493362149,-6.36131083618733,2.00039159507922e-10,1.02636061536118e-08,down
POF1B,1403.14048081069,-1.67202824934843,0.264502145852553,-6.32141657663718,2.59176286175899e-10,1.3147837615254e-08,down
RNF182,287.415773001193,1.1780244674287,0.186624731305968,6.31226343467499,2.74983614614752e-10,1.37941594632396e-08,up
