,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OBSL1,3653.08645428266,0.3335066402695,0.0896015128055734,3.72210948037426,0.000197565322166022,0.00185263826081188
CAPN8,36.7668072644832,-0.68933482037794,0.194974733561452,-3.53550846197555,0.000406991210014716,0.00336661177274457
KIAA1024L,19.4986146226169,0.174867424406087,0.140978463265989,1.24038395904599,0.21483341127109,0.400962061149582
GPR137B,5579.83618946189,0.0988718108910927,0.106439396522504,0.928902400063761,0.352939669066634,0.550873141476153
MMACHC,1184.0094527362,0.0559043934933595,0.134302275926314,0.416257975583616,0.677221240279649,0.814320900837185
POU6F2,1251.27433830035,0.530399610171916,0.215085828867892,2.46599049767102,0.013663495891258,0.0549662596521951
GPR35,190.73488796917,-0.343511255874409,0.137694266458922,-2.49473899464716,0.0126049809712907,0.0517940356962839
NDUFAF4,8898.0617143318,0.19621033186064,0.0908172567068189,2.16049613229407,0.0307342826989892,0.101391118126859
ARPC4,5424.08395617787,-0.150431443335942,0.0930360385938801,-1.61691582756015,0.105896451415917,0.249819355840277
SPPL3,1112.5549308068,0.0651659681958119,0.0959106165645419,0.679444784425499,0.496856081887827,0.678532129237358
OR11G2,18.2224649190231,-0.309026451258431,0.14441760377865,-2.13981151309005,0.0323700024067343,0.105354754577056
LYPD3,19948.3555299319,-1.32632366739804,0.14095905174956,-9.40928341199754,4.99530811384201e-21,1.64406555337034e-18
MID1,23.6339958595574,0.324134870135126,0.160549991651695,2.01890306440078,0.043497295672379,0.130637103895634
HLA-A,31669.3430168393,-0.0110956075136384,0.115088824981551,-0.0964090780787538,0.92319568244682,0.95999260088267
MRPL50,5861.47264797234,0.0907117813468498,0.106283723799996,0.853487044898339,0.393389268900448,0.587406749423775
LY6G6D,493.292338268411,0.14941806630218,0.100895386682158,1.48092069633351,0.138627707238906,0.298252914777073
TPM2,17927.8725941688,0.527453667320514,0.127546256487626,4.13539120508553,3.54350462944241e-05,0.000437075424768701
EDN1,8175.6742989162,-0.132590602424312,0.146239848931267,-0.906665340488898,0.364583797194158,0.562507861804021
HERC4,1756.26214022128,-0.301226850292248,0.142577545325453,-2.11272293687379,0.0346244889168248,0.110376294222451
LOC389831,819.883552179566,0.635232098303339,0.170586839104983,3.72380484705741,0.000196242642809624,0.00184151475804803
BRD3,4394.34291292334,0.392165672539772,0.0753177181711238,5.20681829007036,1.92106043903806e-07,4.6896697727515e-06
ADAM7,225.610929190123,-0.0310786333167676,0.0987735737995798,-0.314645224641045,0.753031037577004,0.862817425580716
MOB3C,3073.79283576536,-0.346577555164163,0.0930075361587257,-3.72633841813309,0.00019428151869626,0.00182819721986564
EFCAB11,2303.58670903883,-0.000535579570832262,0.115011570882383,-0.00465674511462829,0.99628446839817,0.997626340201485
EPB41L1,5146.90089206269,-0.206634969387493,0.126709247231013,-1.6307804986858,0.102936643750157,0.244665132548026
ATXN7L1,1525.18596152316,-0.133688053795703,0.110469960859199,-1.21017562381594,0.226211509623195,0.414178848148628
TDO2,1948.08859710196,-0.127136536706066,0.229421573465337,-0.554161209801289,0.579468522713448,0.74526765588022
ZNF365,1309.63330983271,-0.55979859991114,0.151764460149302,-3.68860139824847,0.000225490160439984,0.00205870380580321
BRICD5,2045.00689913923,0.0845120192063779,0.118741029900595,0.711733924466784,0.476629556076668,0.661283286986049
CEBPA,6492.07775039468,-0.0904765666044571,0.112758548622672,-0.802392082104765,0.422326191787814,0.614831117918304
ZEB2,9006.33780154712,0.0498656913589132,0.128390516838948,0.388390767376258,0.697726875603207,0.828016358703475
GPR174,690.57647529741,-0.0476863299855908,0.253225666721466,-0.188315547167827,0.850629298507792,0.9199640742217
ICA1L,413.972243463025,0.454621150987841,0.181759946083947,2.50121746172763,0.012376715477912,0.0510894459036233
TMEM8B,677.626175117908,0.351097454109034,0.118954998086143,2.9515149405894,0.00316219247556541,0.017639778943894
MTPAP,3819.60567943029,-0.0298644911470022,0.0940298395897579,-0.317606530834231,0.75078341958395,0.860928106028439
TPT1,454.803994826981,-0.124037976165313,0.0961853036423637,-1.28957305813071,0.197198935059092,0.379817646258547
BSX,769.369755807133,-0.194670627829928,0.0937295310912925,-2.07694016563808,0.0378070820285013,0.118121964550265
PCDHA11,36.8939207720262,0.248226493563383,0.18883237346981,1.31453356753507,0.188666709522669,0.369609259334915
