"SYMBOL","ENTREZID"
"LYPD3","27076"
"FRMPD2","143162"
"LCE1B","353132"
"TRIM29","23650"
"KCNA6","3742"
"SCNN1B","6338"
"THEM5","284486"
"TNKS1BP1","85456"
"CAV2","858"
"CTSV","1515"
"AP2A1","160"
"ECM1","1893"
"MUC15","143662"
"TUBA3C","7278"
"EVPLL","645027"
"GJB3","2707"
"GPR45","11250"
"MYB","4602"
"MXD1","4084"
"SPRR2G","6706"
"KRT75","9119"
"IL1RN","3557"
"KLK7","5650"
"DUSP7","1849"
"PI3","5266"
"ARG1","383"
"TMEM154","201799"
"PPL","5493"
"KRT1","3848"
"OVOL1","5017"
"FIBCD1","84929"
"HBEGF","1839"
"HAL","3034"
"PLS3","5358"
"MAPK6","5597"
"ARNT2","9915"
"SOX14","8403"
"PTHLH","5744"
"SLC27A4","10999"
"OR10C1","442194"
"GPR137C","283554"
"TUBA4A","7277"
"ATP2B3","492"
"SH2D5","400745"
"RDH12","145226"
"KRT5","3852"
"KRT16","3868"
"FAT2","2196"
"ENDOU","8909"
"S100A10","6281"
"KLK6","5653"
"ZFP36","7538"
"EPHX3","79852"
"KRTAP9-1","728318"
"KLK11","11012"
"S100A8","6279"
"SLC26A9","115019"
"DSC1","1823"
"LCE3C","353144"
"S100A7A","338324"
"LCE2B","26239"
"TMPRSS11D","9407"
"ABLIM1","3983"
"KLK13","26085"
"LCE1C","353133"
"DRC3","83450"
"KLK5","25818"
"CNTN4","152330"
"GRHL1","29841"
"PRSS3","5646"
"YOD1","55432"
"FFAR2","2867"
"CDA","978"
"ZNF80","7634"
"ANXA9","8416"
"P2RX3","5024"
"LYNX1","66004"
"LY6G6C","80740"
"BCL2","596"
"SPRR2A","6700"
"DENND2C","163259"
"BAIAP2","10458"
"SLC39A2","29986"
"KPRP","448834"
"PRSS22","64063"
"LCE3B","353143"
"S100A7","6278"
"CYP2C9","1559"
"CLDN4","1364"
"STARD5","80765"
"KRT17","3872"
"XKRX","402415"
"SLC6A14","11254"
"USHBP1","83878"
"TDRD12","91646"
"CST6","1474"
"RNASE7","84659"
"DAPP1","27071"
"SNRNP48","154007"
"MPO","4353"
"SLC15A4","121260"
"FLG2","388698"
"DSG3","1830"
"SPINK5","11005"
"SLPI","6590"
"EPGN","255324"
"TMPRSS11F","389208"
"RNF222","643904"
"SLC5A1","6523"
"TGM3","7053"
"CLIC3","9022"
"RAB11FIP1","80223"
"SPRR1B","6699"
"DUOX1","53905"
"CEACAM19","56971"
"C11orf40","143501"
"ZNF449","203523"
"LCE3A","353142"
"PITX1","5307"
"KRT6A","3853"
"USP43","124739"
"SLC15A1","6564"
"IL36B","27177"
"NPAS3","64067"
"SPHKAP","80309"
"BARHL2","343472"
"OR4S1","256148"
"KLK12","43849"
"SLC4A9","83697"
"OR4D2","124538"
"MPIG6B","80739"
"SH3RF2","153769"
"DHRS1","115817"
"CTNNBIP1","56998"
"C4orf3","401152"
"RABGGTA","5875"
"PLIN3","10226"
"LOC388282","388282"
"IQCF3","401067"
"RASSF3","283349"
"CARD18","59082"
"TTC22","55001"
"HEPHL1","341208"
"TUBB2A","7280"
"TACSTD2","4070"
"MALL","7851"
"KLK9","284366"
"OVCH1","341350"
"ZNF750","79755"
"C1orf116","79098"
"NIPAL4","348938"
"ALOXE3","59344"
"SDC1","6382"
"FLG","2312"
"KCNG2","26251"
"ESRP2","80004"
"CRYBB3","1417"
"KCTD4","386618"
"ZBED2","79413"
"LCE3D","84648"
"FABP5","2171"
"BNIPL","149428"
"S100A12","6283"
"PSAPL1","768239"
"PNLIPRP3","119548"
"EREG","2069"
"C16orf82","162083"
"MREG","55686"
"KRT14","3861"
"ADGRF4","221393"
"ADARB2","105"
"VSNL1","7447"
"TMPRSS11A","339967"
"BNC1","646"
"GLTP","51228"
"SLC14A1","6563"
"GJB6","10804"
"MINK1","50488"
"LY6D","8581"
"MAGEB5","347541"
"CDHR1","92211"
"FGFBP1","9982"
"LCE3E","353145"
"DHRS9","10170"
"DUOX2","50506"
"C15orf62","643338"
"KCNA7","3743"
"SPRR2D","6703"
"SLC10A6","345274"
"NDRG1","10397"
"PATE3","100169851"
"DGKA","1606"
"ARAP2","116984"
"KRTAP5-5","439915"
"IL5RA","3568"
"S100A11","6282"
"KLK10","5655"
"NDEL1","81565"
"GPR62","118442"
"IL36G","56300"
"MUCL1","118430"
"SBSN","374897"
"TGM1","7051"
"MYO1H","283446"
"BICD2","23299"
"SLC7A3","84889"
"CSTB","1476"
"TIPARP","25976"
"POF1B","79983"
"SFN","2810"
"PLA2G4E","123745"
"PYGL","5836"
"PNPLA1","285848"
"CXCR2","3579"
"HAS3","3038"
"GRHL3","57822"
"IVL","3713"
"KRT6B","3854"
"SNX33","257364"
"CLDN17","26285"
"KRT4","3851"
"CCDC172","374355"
"CNFN","84518"
"KRT23","25984"
"JUP","3728"
"PRR9","574414"
"PRSS1","5644"
"IL20RB","53833"
"ADRB2","154"
"EPS8L1","54869"
"LCE2A","353139"
"FSHR","2492"
"AHNAK2","113146"
"SLURP1","57152"
"AQP3","360"
"CALB2","794"
"DEGS2","123099"
"GSDMA","284110"
"CSMD2","114784"
"LTB4R2","56413"
"ALDH3B2","222"
"FAM83G","644815"
"SPINK6","404203"
"IFFO2","126917"
"BPIFC","254240"
"LIPM","340654"
"AMOT","154796"
"RHOD","29984"
"PDZK1IP1","10158"
"RAET1E","135250"
"SERPINB2","5055"
"GSDMC","56169"
"VSIG10L","147645"
"SDR9C7","121214"
"GJB5","2709"
"SERPINB7","8710"
"ALOX12B","242"
"ITPKC","80271"
"GDPD3","79153"
"TMPRSS11E","28983"
"EPN3","55040"
"RPTN","126638"
"DEFB4B","100289462"
"CYP2C18","1562"
"CLEC18B","497190"
"LCE1A","353131"
"SERPINB13","5275"
"ANXA2","302"
"GPR87","53836"
"DUOXA2","405753"
"WNT7A","7476"
"RGS14","10636"
"LIPK","643414"
"CDSN","1041"
"RAB38","23682"
"ASPRV1","151516"
"SPACA4","171169"
"SCEL","8796"
"KRTAP5-6","440023"
"S100A9","6280"
"SPRR3","6707"
"SERPINB5","5268"
"SPRR1A","6698"
"KLK14","43847"
"PLA2G4D","283748"
"SLC2A1","6513"
"SERPINB3","6317"
"FAM83C","128876"
"KCNK7","10089"
"LCE6A","448835"
"IL17C","27189"
"RASAL1","8437"
"LTB4R","1241"
"PRDM1","639"
"EMP1","2012"
"KRT37","8688"
"LAD1","3898"
"GDPD2","54857"
"CDH16","1014"
"TOM1L2","146691"
"CWH43","80157"
"TGM5","9333"
"S100A2","6273"
"CASP14","23581"
"NLRP10","338322"
"TREX2","11219"
"TNP1","7141"
"MAB21L3","126868"
"KRTAP10-8","386681"
"GFOD1","54438"
"KRT34","3885"
"HES2","54626"
"NCCRP1","342897"
"LYPD5","284348"
"EZR","7430"
"KRT6C","286887"
"LIPH","200879"
"IL36RN","26525"
"IL37","27178"
"TCN1","6947"
"WFDC12","128488"
"CRCT1","54544"
"NOTO","344022"
"DMKN","93099"
"ATP10B","23120"
"FAM25A","643161"
"PKP1","5317"
"KCNK6","9424"
"APOBEC3B","9582"
"WFDC5","149708"
"OR2F1","26211"
"EPHA1","2041"
"PERP","64065"
"FBXL13","222235"
"PGK1","5230"
"TM4SF4","7104"
"P2RY2","5029"
"KRT80","144501"
"LCE2D","353141"
