"","x"
"1","LYPD3"
"2","FRMPD2"
"3","AIM1L"
"4","LCE1B"
"5","TRIM29"
"6","KCNA6"
"7","SCNN1B"
"8","THEM5"
"9","TNKS1BP1"
"10","CAV2"
"11","CTSV"
"12","AP2A1"
"13","ECM1"
"14","MUC15"
"15","TUBA3C"
"16","EVPLL"
"17","GJB3"
"18","GPR45"
"19","MYB"
"20","MXD1"
"21","SPRR2G"
"22","KRT75"
"23","IL1RN"
"24","KLK7"
"25","DUSP7"
"26","PI3"
"27","ARG1"
"28","TMEM154"
"29","PPL"
"30","KRT1"
"31","OVOL1"
"32","FIBCD1"
"33","HBEGF"
"34","HAL"
"35","PLS3"
"36","MAPK6"
"37","ARNT2"
"38","SOX14"
"39","PTHLH"
"40","SLC27A4"
"41","OR10C1"
"42","GPR137C"
"43","ARNTL2"
"44","TUBA4A"
"45","ATP2B3"
"46","SH2D5"
"47","RDH12"
"48","KRT5"
"49","KRT16"
"50","FAT2"
"51","ENDOU"
"52","S100A10"
"53","KLK6"
"54","ZFP36"
"55","EPHX3"
"56","KRTAP9-1"
"57","KLK11"
"58","S100A8"
"59","SLC26A9"
"60","DSC1"
"61","LCE3C"
"62","S100A7A"
"63","LCE2B"
"64","TMPRSS11D"
"65","ABLIM1"
"66","KLK13"
"67","LCE1C"
"68","DRC3"
"69","KLK5"
"70","CNTN4"
"71","GRHL1"
"72","PRSS3"
"73","YOD1"
"74","FFAR2"
"75","CDA"
"76","ZNF80"
"77","ANXA9"
"78","P2RX3"
"79","LYNX1"
"80","LY6G6C"
"81","BCL2"
"82","SPRR2A"
"83","DENND2C"
"84","BAIAP2"
"85","SLC39A2"
"86","KPRP"
"87","PRSS22"
"88","LCE3B"
"89","S100A7"
"90","CYP2C9"
"91","CLDN4"
"92","STARD5"
"93","KRT17"
"94","XKRX"
"95","SLC6A14"
"96","USHBP1"
"97","TDRD12"
"98","CST6"
"99","RNASE7"
"100","DAPP1"
"101","SNRNP48"
"102","MPO"
"103","SLC15A4"
"104","FLG2"
"105","DSG3"
"106","SPINK5"
"107","SLPI"
"108","EPGN"
"109","TMPRSS11F"
"110","RNF222"
"111","SLC5A1"
"112","TGM3"
"113","CLIC3"
"114","RAB11FIP1"
"115","SPRR1B"
"116","DUOX1"
"117","CEACAM19"
"118","C11orf40"
"119","ZNF449"
"120","LCE3A"
"121","PITX1"
"122","KRT6A"
"123","USP43"
"124","SLC15A1"
"125","IL36B"
"126","NPAS3"
"127","SPHKAP"
"128","BARHL2"
"129","OR4S1"
"130","KLK12"
"131","SLC4A9"
"132","LEXM"
"133","OR4D2"
"134","MPIG6B"
"135","SH3RF2"
"136","DHRS1"
"137","CTNNBIP1"
"138","C4orf3"
"139","RABGGTA"
"140","PLIN3"
"141","LOC388282"
"142","IQCF3"
"143","RASSF3"
"144","CARD18"
"145","TTC22"
"146","HEPHL1"
"147","TUBB2A"
"148","TACSTD2"
"149","LOR"
"150","MALL"
"151","KLK9"
"152","OVCH1"
"153","ZNF750"
"154","C1orf116"
"155","NIPAL4"
"156","ALOXE3"
"157","SDC1"
"158","FLG"
"159","KCNG2"
"160","ESRP2"
"161","CRYBB3"
"162","KCTD4"
"163","ZBED2"
"164","LCE3D"
"165","FABP5"
"166","BNIPL"
"167","S100A12"
"168","PSAPL1"
"169","PNLIPRP3"
"170","EREG"
"171","C16orf82"
"172","MREG"
"173","KRT14"
"174","ADGRF4"
"175","ADARB2"
"176","VSNL1"
"177","TMPRSS11A"
"178","BNC1"
"179","GLTP"
"180","SLC14A1"
"181","GJB6"
"182","MINK1"
"183","LY6D"
"184","MAGEB5"
"185","CDHR1"
"186","FGFBP1"
"187","LCE3E"
"188","DHRS9"
"189","DUOX2"
"190","C15orf62"
"191","KCNA7"
"192","SPRR2D"
"193","SLC10A6"
"194","NDRG1"
"195","PATE3"
"196","DGKA"
"197","ARAP2"
"198","KRTAP5-5"
"199","IL5RA"
"200","S100A11"
"201","KLK10"
"202","NDEL1"
"203","GPR62"
"204","IL36G"
"205","MUCL1"
"206","SBSN"
"207","TGM1"
"208","MYO1H"
"209","BICD2"
"210","SLC7A3"
"211","CSTB"
"212","TIPARP"
"213","POF1B"
"214","SFN"
"215","PLA2G4E"
"216","PYGL"
"217","PNPLA1"
"218","CXCR2"
"219","HAS3"
"220","GRHL3"
"221","IVL"
"222","KRT6B"
"223","SNX33"
"224","CLDN17"
"225","KRT4"
"226","CCDC172"
"227","CNFN"
"228","KRT23"
"229","JUP"
"230","PRR9"
"231","PRSS1"
"232","IL20RB"
"233","ADRB2"
"234","EPS8L1"
"235","LCE2A"
"236","FSHR"
"237","AHNAK2"
"238","SLURP1"
"239","AQP3"
"240","CALB2"
"241","DEGS2"
"242","GSDMA"
"243","CSMD2"
"244","LTB4R2"
"245","ALDH3B2"
"246","FAM83G"
"247","SPINK6"
"248","IFFO2"
"249","BPIFC"
"250","LIPM"
"251","AMOT"
"252","RHOD"
"253","PDZK1IP1"
"254","RAET1E"
"255","SERPINB2"
"256","GSDMC"
"257","VSIG10L"
"258","SDR9C7"
"259","GJB5"
"260","SERPINB7"
"261","ALOX12B"
"262","ITPKC"
"263","GDPD3"
"264","TMPRSS11E"
"265","EPN3"
"266","RPTN"
"267","DEFB4B"
"268","CYP2C18"
"269","CLEC18B"
"270","LCE1A"
"271","SERPINB13"
"272","ANXA2"
"273","GPR87"
"274","DUOXA2"
"275","WNT7A"
"276","RGS14"
"277","LIPK"
"278","CDSN"
"279","RAB38"
"280","ASPRV1"
"281","SPACA4"
"282","SCEL"
"283","KRTAP5-6"
"284","S100A9"
"285","SPRR3"
"286","SERPINB5"
"287","SPRR1A"
"288","KLK14"
"289","PLA2G4D"
"290","SLC2A1"
"291","FAM46B"
"292","SERPINB3"
"293","FAM83C"
"294","C2orf54"
"295","KCNK7"
"296","LCE6A"
"297","IL17C"
"298","RASAL1"
"299","LTB4R"
"300","PRDM1"
"301","EMP1"
"302","KRT37"
"303","LAD1"
"304","GDPD2"
"305","CDH16"
"306","TOM1L2"
"307","CWH43"
"308","TGM5"
"309","S100A2"
"310","CASP14"
"311","NLRP10"
"312","C1orf68"
"313","TREX2"
"314","TNP1"
"315","MAB21L3"
"316","KRTAP10-8"
"317","GFOD1"
"318","KRT34"
"319","HES2"
"320","NCCRP1"
"321","LYPD5"
"322","EZR"
"323","KRT6C"
"324","LIPH"
"325","BTBD11"
"326","IL36RN"
"327","IL37"
"328","TCN1"
"329","WFDC12"
"330","CRCT1"
"331","NOTO"
"332","DMKN"
"333","ATP10B"
"334","FAM25A"
"335","PKP1"
"336","KCNK6"
"337","APOBEC3B"
"338","WFDC5"
"339","OR2F1"
"340","EPHA1"
"341","PERP"
"342","FBXL13"
"343","PGK1"
"344","TM4SF4"
"345","P2RY2"
"346","KRT80"
"347","LCE2D"
