Sample,Cluster1,Cluster2
ec302_GSM1296956,1,0
ec305_GSM1296960,1,0
ec306_GSM1296962,1,0
ec326_GSM1296966,1,0
ec330_GSM1296968,1,0
ec331_GSM1296970,1,0
ec333_GSM1296996,1,0
ec337_GSM1297000,1,0
ec341_GSM1297006,1,0
ec362_GSM1297018,1,0
ec365_GSM1297020,1,0
ec366_GSM1297022,1,0
ec371_GSM1297028,1,0
ec374_GSM1297032,1,0
ec375_GSM1297034,1,0
ec376_GSM1297044,1,0
ec391_GSM1297056,1,0
ec403_GSM1297070,1,0
ec405_GSM1297074,1,0
ec225_GSM1297078,1,0
ec253_GSM1297086,1,0
ec258_GSM1297090,1,0
ec259_GSM1297092,1,0
ec261_GSM1297096,1,0
ec262_GSM1297098,1,0
ec264_GSM1297100,1,0
ec269_GSM1297106,1,0
ec277_GSM1297114,1,0
ec280_GSM1297118,1,0
ec287_GSM1297126,1,0
ec30_GSM1297132,1,0
ec68_GSM1297134,1,0
ec81_GSM1297138,1,0
ec108_GSM1297140,1,0
ec131_GSM1297148,1,0
ec135_GSM1297154,1,0
ec148_GSM1297158,1,0
ec136_GSM1297160,1,0
ec205_GSM1297164,1,0
ec207_GSM1297168,1,0
ec208_GSM1297170,1,0
ec211_GSM1297174,1,0
ec214_GSM1297178,1,0
ec218_GSM1297184,1,0
ec223_GSM1297194,1,0
ec243_GSM1297202,1,0
ec228_GSM1297212,1,0
ec229_GSM1297214,1,0
ec112_GSM1297222,1,0
ec117_GSM1297224,1,0
ec129_GSM1297226,1,0
ec201_GSM1297228,1,0
ec25_GSM1297250,1,0
ec26_GSM1297252,1,0
ec28_GSM1297256,1,0
ec32_GSM1297260,1,0
ec42_GSM1297264,1,0
ec45_GSM1297266,1,0
ec46_GSM1297268,1,0
ec60_GSM1297276,1,0
ec71_GSM1297280,1,0
ec74_GSM1297284,1,0
ec76_GSM1297286,1,0
ec79_GSM1297290,1,0
ec6_GSM1297302,1,0
ec303_GSM1296958,0,1
ec325_GSM1296964,0,1
ec308_GSM1296972,0,1
ec309_GSM1296974,0,1
ec311_GSM1296976,0,1
ec312_GSM1296978,0,1
ec315_GSM1296980,0,1
ec316_GSM1296982,0,1
ec317_GSM1296984,0,1
ec318_GSM1296986,0,1
ec319_GSM1296988,0,1
ec321_GSM1296990,0,1
ec322_GSM1296992,0,1
ec324_GSM1296994,0,1
ec334_GSM1296998,0,1
ec338_GSM1297002,0,1
ec340_GSM1297004,0,1
ec342_GSM1297008,0,1
ec347_GSM1297010,0,1
ec353_GSM1297012,0,1
ec355_GSM1297014,0,1
ec361_GSM1297016,0,1
ec367_GSM1297024,0,1
ec370_GSM1297026,0,1
ec373_GSM1297030,0,1
ec406_GSM1297036,0,1
ec407_GSM1297038,0,1
ec408_GSM1297040,0,1
ec409_GSM1297042,0,1
ec378_GSM1297046,0,1
ec380_GSM1297048,0,1
ec381_GSM1297050,0,1
ec382_GSM1297052,0,1
ec385_GSM1297054,0,1
ec392_GSM1297058,0,1
ec393_GSM1297060,0,1
ec396_GSM1297062,0,1
ec398_GSM1297064,0,1
ec400_GSM1297066,0,1
ec402_GSM1297068,0,1
ec404_GSM1297072,0,1
ec224_GSM1297076,0,1
ec226_GSM1297080,0,1
ec227_GSM1297082,0,1
ec251_GSM1297084,0,1
ec256_GSM1297088,0,1
ec260_GSM1297094,0,1
ec265_GSM1297102,0,1
ec266_GSM1297104,0,1
ec273_GSM1297108,0,1
ec274_GSM1297110,0,1
ec275_GSM1297112,0,1
ec279_GSM1297116,0,1
ec281_GSM1297120,0,1
ec284_GSM1297122,0,1
ec285_GSM1297124,0,1
ec288_GSM1297128,0,1
ec29_GSM1297130,0,1
ec80_GSM1297136,0,1
ec119_GSM1297142,0,1
ec120_GSM1297144,0,1
ec122_GSM1297146,0,1
ec132_GSM1297150,0,1
ec134_GSM1297152,0,1
ec142_GSM1297156,0,1
ec146_GSM1297162,0,1
ec206_GSM1297166,0,1
ec210_GSM1297172,0,1
ec212_GSM1297176,0,1
ec215_GSM1297180,0,1
ec216_GSM1297182,0,1
ec219_GSM1297186,0,1
ec220_GSM1297188,0,1
ec221_GSM1297190,0,1
ec222_GSM1297192,0,1
ec236_GSM1297196,0,1
ec239_GSM1297198,0,1
ec241_GSM1297200,0,1
ec245_GSM1297204,0,1
ec246_GSM1297206,0,1
ec247_GSM1297208,0,1
ec249_GSM1297210,0,1
ec231_GSM1297216,0,1
ec234_GSM1297218,0,1
ec102_GSM1297220,0,1
ec217_GSM1297230,0,1
ec268_GSM1297232,0,1
ec290_GSM1297234,0,1
ec297_GSM1297236,0,1
ec9_GSM1297238,0,1
ec10_GSM1297240,0,1
ec11_GSM1297242,0,1
ec12_GSM1297244,0,1
ec13_GSM1297246,0,1
ec23_GSM1297248,0,1
ec27_GSM1297254,0,1
ec31_GSM1297258,0,1
ec36_GSM1297262,0,1
ec49_GSM1297270,0,1
ec51_GSM1297272,0,1
ec52_GSM1297274,0,1
ec61_GSM1297278,0,1
ec73_GSM1297282,0,1
ec77_GSM1297288,0,1
ec87_GSM1297292,0,1
ec91_GSM1297294,0,1
ec92_GSM1297296,0,1
ec94_GSM1297298,0,1
ec4_GSM1297300,0,1
ec7_GSM1297304,0,1
ec96_GSM1297306,0,1
ec97_GSM1297308,0,1
ec101_GSM1297310,0,1
ec106_GSM1297312,0,1
