"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",135,0.577362556799182,2.23309053074197,5.03151957608058e-10,2.51575978804029e-08,1.74779101063852e-08,3440,"tags=62%, list=27%, signal=46%","29089/6117/4001/10635/3930/701/11168/4436/993/9918/5426/4172/10615/23468/1854/4085/3925/2146/83463/6839/7153/4175/4176/672/3148/983/29028/57405/23047/5983/8243/81624/11113/6434/253714/7374/54556/10733/24137/332/9133/9924/4678/3609/10460/5931/7083/3161/81611/7514/9212/1019/7112/55723/9126/51747/1031/10535/5591/11340/5111/9232/4605/7398/84844/5558/10051/5982/9787/6470/4292/3835/64785/4361/11004/7465/9972/7913/675/79077/4173/10606/9319/1029"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",144,0.544472711616651,2.12647980193966,3.36954106999694e-08,8.42385267499236e-07,5.85236080578417e-07,2845,"tags=52%, list=22%, signal=41%","1756/10926/1063/4751/56992/4001/8452/3930/993/3192/8317/7468/26271/6558/51659/5426/4172/1869/51203/9493/10024/8318/2176/4085/10403/3925/3832/2146/6839/7153/4175/983/8438/23047/8243/9994/699/6434/8819/55872/7486/10733/8451/24137/332/9133/4678/3609/10460/10951/10721/22823/10036/3161/7514/9212/9184/10293/1019/7112/25/3226/4211/9055/10592/1871/1031/9232/3151/546/4605/10432/5558/4957/10051"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",148,0.524482095231108,2.05352756229781,2.53797032633711e-07,4.22995054389519e-06,2.93870248312719e-06,1949,"tags=34%, list=15%, signal=29%","6422/5806/26577/8325/4982/284217/2247/7857/23705/4148/1311/2882/4487/6445/9244/4232/6695/6641/2303/4256/6443/2669/56937/7169/6424/10979/2192/3915/7076/8985/6586/1809/7078/4638/2201/7980/30008/25890/7168/4176/5352/7049/10398/6876/4837/64175/5021/11167/3690/3398"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",138,-0.487160563703891,-1.82832208964734,1.5975313476596e-05,0.00019969141845745,0.00013873298545465,2775,"tags=42%, list=22%, signal=33%","7135/6890/51278/7039/8870/6667/26207/1509/10904/8626/3732/1606/581/7421/3162/26355/247/7867/6768/2353/2052/18/5912/23169/8812/5925/10614/10544/57799/1647/2872/64782/23645/6281/10458/10397/8851/2810/578/4071/64065/3872/8744/2760/6382/1030/10140/834/23303/22891/64787/29948/1839/5268/7062/1026/4084/6236"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",79,-0.52552249386112,-1.83784157152512,0.000284814482878537,0.00284814482878537,0.00197871114420878,3053,"tags=42%, list=24%, signal=32%","85363/81894/23424/55281/3431/7318/6890/5696/1997/135112/9246/6402/79132/961/9636/3430/27074/10544/94240/8638/684/9034/3665/83666/4599/55601/3566/116071/129607/834/91543/54809/55008"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",151,-0.43445859240976,-1.66033712442799,0.000370223393238939,0.00308519494365783,0.00214339859243596,1338,"tags=28%, list=10%, signal=25%","3852/1158/8471/2261/57089/8647/7252/23031/4599/1630/1360/1208/4842/5020/3291/9073/91543/6261/54847/4210/8900/495/57016/10686/7032/22849/7068/5317/9435/3851/6712/51806/6707/1014/27076/5650/3848/7356/5055/11254/242/7051"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",150,-0.414946816732306,-1.58277815359864,0.00183554847413818,0.0114721779633636,0.00797014469033683,3259,"tags=39%, list=25%, signal=29%","8743/5214/4939/4790/10392/25939/81894/23424/8673/3431/55024/80830/9021/3601/6890/5696/3091/669/9961/836/9246/84166/8202/3587/79132/9636/6398/5321/3430/7903/57169/3662/94240/6403/2643/1439/8638/684/4600/3665/629/4599/4615/55601/10135/3566/116071/129607/163351/5292/837/834/91543/3434/81030/3135/1026/55008"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",142,-0.40919181864307,-1.5498790062648,0.00182145597145766,0.0114721779633636,0.00797014469033683,2174,"tags=32%, list=17%, signal=27%","51128/6539/5805/645/1066/3162/384/435/211/5627/8644/29950/5909/1592/218/2052/4128/57447/23169/2643/5967/629/5730/131/6580/2326/2203/3172/10611/2646/5467/7498/3728/2328/978/115817/2099/1571/948/760/3294/1562/383/26998/8876"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",146,-0.393684279123172,-1.50068530869576,0.00422146554662207,0.0234525863701226,0.0162933757939799,2649,"tags=34%, list=21%, signal=27%","725/2152/337/1509/462/2820/836/843/6810/5294/1520/1378/959/4322/4067/801/30819/4048/4317/3958/5663/5321/391/9958/2773/1356/51734/23348/4973/3665/629/8851/3172/5292/837/834/3816/10125/1847/978/1803/948/760/4057/1380/5646/6280/5055/6283"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",151,-0.372543420385352,-1.42372065401298,0.0119988689972257,0.0599943449861285,0.0416802817798367,1631,"tags=29%, list=13%, signal=26%","8204/27134/2353/18/11031/91683/55793/10105/7074/8553/23052/6990/6513/23286/26353/11001/23254/2810/25976/56603/4681/375449/3898/64919/10140/10125/57419/80004/6337/7739/29984/1999/1366/5029/55686/9022/3983/794/4582/8416/79875/7031/360/5655"
