Samples	group
ec302_GSM1296956	tumor
ec302_GSM1296957	normal
ec303_GSM1296958	tumor
ec303_GSM1296959	normal
ec305_GSM1296960	tumor
ec305_GSM1296961	normal
ec306_GSM1296962	tumor
ec306_GSM1296963	normal
ec325_GSM1296964	tumor
ec325_GSM1296965	normal
ec326_GSM1296966	tumor
ec326_GSM1296967	normal
ec330_GSM1296968	tumor
ec330_GSM1296969	normal
ec331_GSM1296970	tumor
ec331_GSM1296971	normal
ec308_GSM1296972	tumor
ec308_GSM1296973	normal
ec309_GSM1296974	tumor
ec309_GSM1296975	normal
ec311_GSM1296976	tumor
ec311_GSM1296977	normal
ec312_GSM1296978	tumor
ec312_GSM1296979	normal
ec315_GSM1296980	tumor
ec315_GSM1296981	normal
ec316_GSM1296982	tumor
ec316_GSM1296983	normal
ec317_GSM1296984	tumor
ec317_GSM1296985	normal
ec318_GSM1296986	tumor
ec318_GSM1296987	normal
ec319_GSM1296988	tumor
ec319_GSM1296989	normal
ec321_GSM1296990	tumor
ec321_GSM1296991	normal
ec322_GSM1296992	tumor
ec322_GSM1296993	normal
ec324_GSM1296994	tumor
ec324_GSM1296995	normal
ec333_GSM1296996	tumor
ec333_GSM1296997	normal
ec334_GSM1296998	tumor
ec334_GSM1296999	normal
ec337_GSM1297000	tumor
ec337_GSM1297001	normal
ec338_GSM1297002	tumor
ec338_GSM1297003	normal
ec340_GSM1297004	tumor
ec340_GSM1297005	normal
ec341_GSM1297006	tumor
ec341_GSM1297007	normal
ec342_GSM1297008	tumor
ec342_GSM1297009	normal
ec347_GSM1297010	tumor
ec347_GSM1297011	normal
ec353_GSM1297012	tumor
ec353_GSM1297013	normal
ec355_GSM1297014	tumor
ec355_GSM1297015	normal
ec361_GSM1297016	tumor
ec361_GSM1297017	normal
ec362_GSM1297018	tumor
ec362_GSM1297019	normal
ec365_GSM1297020	tumor
ec365_GSM1297021	normal
ec366_GSM1297022	tumor
ec366_GSM1297023	normal
ec367_GSM1297024	tumor
ec367_GSM1297025	normal
ec370_GSM1297026	tumor
ec370_GSM1297027	normal
ec371_GSM1297028	tumor
ec371_GSM1297029	normal
ec373_GSM1297030	tumor
ec373_GSM1297031	normal
ec374_GSM1297032	tumor
ec374_GSM1297033	normal
ec375_GSM1297034	tumor
ec375_GSM1297035	normal
ec406_GSM1297036	tumor
ec406_GSM1297037	normal
ec407_GSM1297038	tumor
ec407_GSM1297039	normal
ec408_GSM1297040	tumor
ec408_GSM1297041	normal
ec409_GSM1297042	tumor
ec409_GSM1297043	normal
ec376_GSM1297044	tumor
ec376_GSM1297045	normal
ec378_GSM1297046	tumor
ec378_GSM1297047	normal
ec380_GSM1297048	tumor
ec380_GSM1297049	normal
ec381_GSM1297050	tumor
ec381_GSM1297051	normal
ec382_GSM1297052	tumor
ec382_GSM1297053	normal
ec385_GSM1297054	tumor
