"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM","TRM cell"
"ec302",-0.217711664704755,-0.280884709879533,0.152985402316608,-0.072827566125163,-0.245095780368792,-0.0506709522452442,-0.063161394574553,-0.0491639112297978,-0.0188033497723308,-0.296629655242305,-0.0781587423195619,-0.306672757119355,0.18076723839233,-0.147306169400824,-0.19873567415618,-0.0964790039128718,0.0323994701154967,0.200456422851841,-0.320218445454554,0.0903709522523466,-0.0687012528965013,-0.242933958439969,0.208627900466185,0.202283251696442,0.292413293129816,-0.16457796707322,-0.153175737859628,-0.205661378477482,0.117714834778581,-0.0285205978572471,-0.0706243367759453,-0.356922302932653,-0.44969526165693,-0.0893017730494436,-0.264743913019914,-0.179004800202965,-0.133131529383032,-0.147010905187074,-0.140947430176375,0.00895200874443959,-0.142111654442347,-0.296339777221506,-0.0712151441726979,0.117160620913116,0.124695586329855,-0.171693420161387,0.133937987983457,-0.210794416608195,-0.293139070512164,-0.241141344094118,0.417548967030866
"ec303",-0.200292815071579,-0.42200791733463,0.0132499626617828,-0.523311117209349,-0.26655146795701,0.132143581236803,-0.319954059095964,-0.105829349308991,0.0784327998295989,-0.424526971393462,-0.280112449961306,-0.219593516089471,0.212241937015528,-0.473076307234962,0.0329733578421601,-0.088528372240497,-0.092910035373006,0.140600455398338,-0.0672035696125646,0.163788790670216,-0.0541838806568694,-0.199109465315344,-0.169602238754542,-0.368323868557209,-0.163649182972349,-0.40587929950116,-0.343010413205316,0.0834375123852349,-0.267962271747173,-0.0812371177348273,0.0317247777176177,-0.248154986191009,-0.171401058495637,-0.246386924034688,-0.312096160410918,-0.0904687634962487,-0.0884750276015071,-0.271509343463163,-0.137790631146718,-0.0955886249565885,-0.247185489812438,0.0583959950037323,-0.0569006436191526,-0.22630248525908,-0.264021255649148,-0.154509782139581,-0.141540020733881,-0.280814435874781,0.00981762883138426,-0.125269174137457,-0.140506580325727
"ec305",-0.309166324395748,-0.402539389737223,0.0738703183528919,0.0616989980388553,-0.0886667766660933,0.156672390593406,-0.10998708793622,-0.26332301029568,-0.0118968846385808,-0.118006082252616,-0.169866322035537,-0.168665931749122,0.289887010386191,0.0324266699280286,-0.173098621247863,-0.170787998550156,-0.282957067863171,0.251592510405217,-0.16163199641935,0.204388905941683,-0.0480522762717454,-0.201432812081492,-0.0352207393739796,-0.122938631222305,0.14026072463801,-0.0110969700347847,0.0225010313744859,-0.010714441211545,-0.0633816422673924,0.143850213495443,0.0711785723461666,-0.230661658788506,0.120324915289892,-0.13396921414495,-0.264476524282855,-0.388602992587505,-0.197274995310746,-0.197540020747985,-0.286255797464948,-0.0103276941332635,-0.0395142958715094,-0.200262755726517,-0.0819220339307706,0.0889773197157007,0.0778513753758631,-0.0149630816097681,-0.0381426869300502,-0.2757577826946,-0.135900529804758,-0.220421099711614,0.309260199821229
"ec306",-0.164297094590952,-0.476498634323833,0.00765892410850927,0.134408128436085,-0.272597374274375,-0.22650784077354,-0.199388332596234,-0.131606148874125,-0.174991040534536,-0.308825639841097,-0.349110675878365,-0.203484850224077,0.266475675776355,0.252492567726417,-0.219962073658308,-0.262251637528811,-0.285112889990303,0.248983369229231,-0.153085893818766,0.426439475215141,-0.225304176740495,-0.163289217618089,-0.220335546450345,-0.194210572025644,-0.272491052534757,-0.596374684187996,-0.528757392731837,-0.220588308229102,-0.127683672432697,0.113904831875797,-0.159867763982326,-0.205440991651883,-0.363145886228158,0.00121373200716382,0.0279469285472774,-0.433000411958182,-0.337008638343811,0.16747179702998,-0.127349056028549,-0.122764079217906,-0.104212441682639,-0.496378701381261,0.0991192014390038,0.0536464660036815,-0.261100478770365,-0.175403252717365,0.201870207134251,-0.204713200321285,0.309312830562188,-0.351583702061988,-0.225434660257843
"ec325",-0.212773057392345,-0.429538950743674,0.0599791179142303,-0.414847313557329,-0.20278619647449,-0.194226861828712,-0.280016428907121,-0.146423034571207,-0.140561600936529,-0.348774091121276,-0.328044357922398,-0.184854764852469,-0.0707436146081482,-0.453293257796939,-0.0186941248225376,-0.0386087561096859,-0.188914088591325,-0.0690467998820418,-0.232969788686016,0.25952848666132,-0.198126896213531,-0.32815780569368,-0.121144204217914,-0.247748823511706,-0.133467922000426,-0.376424146702743,-0.328500496184103,0.0343678230078546,-0.178538049673565,-0.0771171238416733,-0.111242862411032,-0.328817436772652,-0.260926249445157,-0.109683076392363,-0.304200082531524,-0.203230455048341,-0.168760360565305,-0.201676580106475,-0.196652811886401,0.0955537028335746,0.11799086652943,-0.197773221649944,-0.0562546616825985,-0.198941610573622,-0.255490267621866,-0.0699212399629683,-0.06005038055319,-0.331747721723531,-0.196348039002841,-0.203547119539327,0.0740427301233175
"ec326",-0.110331636523531,-0.346588662357045,0.00724827581011434,-0.0294716934790748,-0.309465890141088,0.24171382324806,-0.256672607456607,-0.0829284117454596,-0.234821677996565,-0.359433463559598,-0.106731437952322,-0.259751610342264,0.279450326861893,-0.402147234497648,-0.191051749832713,-0.210823503347913,-0.18209231469777,0.228772588186003,-0.112355735911394,-0.210366302412498,-0.104808772184706,-0.308956921868328,-0.0603322700248868,-0.169527638469456,0.0928040802619619,-0.188719862275185,-0.199733388329369,-0.142789799343257,-0.0988756081575429,0.0415077864837051,0.0309838149504475,-0.23996536728959,-0.0732442573386907,-0.353409084386953,-0.261415001925349,-0.154631537615832,-0.373848589156372,-0.412797065043096,0.072738275291088,-0.0672073811617305,0.0172465614474436,-0.290290527616683,-0.0321669180920627,-0.272286754551406,-0.330210336394089,-0.0999107288224424,-0.248830641243498,-0.247967834402546,-0.224607794856434,-0.214839572989668,-0.0457641679711258
"ec330",-0.225537960125759,-0.480823373592447,-0.0810328722339699,0.129156505056673,-0.141208450271858,0.172717307633248,-0.159193952189156,-0.0676307743412767,0.00395327405577822,-0.191105504782295,-0.306583935446598,-0.241834378442737,-0.110585366167375,0.086041415437144,-0.171103914447839,-0.146499314783882,-0.0898093017453756,-0.092900681554752,-0.281196402325996,0.0264127108747648,-0.127754158356346,-0.114525761791498,-0.0136170458538453,-0.13186379124852,-0.165968124230567,-0.460536834436552,-0.392360169544635,-0.197448035739758,-0.0743914635082268,-0.203702555874521,0.0478124183567627,-0.255698263255257,-0.310469640202369,0.0655375608948094,-0.464877572899111,-0.229192270837609,-0.19417226488329,0.0364665028241915,-0.0576815374081026,-0.210701686794765,-0.0176651985897098,-0.261200253708483,0.00380660669189656,-0.21183959760709,-0.292108335734706,-0.0843481331144728,-0.0300727131831141,-0.346765317843602,-0.221795346942354,-0.148231078783539,-0.0633294007809058
"ec331",-0.191077819415916,-0.361197083378744,-0.00807373446868598,0.00203528991408786,-0.19741848826107,0.0600091108730291,-0.222994712421134,-0.150771815929578,-0.291005575218448,-0.0107346100517695,-0.157425154695031,-0.302826061320149,-0.170364289642218,0.0648098549092607,-0.210547152548609,-0.335302215686004,-0.32342519210007,-0.0959215942275116,-0.266334629074495,0.114469627625145,-0.105129775785784,-0.2658235738012,-0.0533062371104309,0.00191719586215885,0.106971425773769,-0.26764637401909,-0.167633937288956,-0.107989447825407,-0.00248567445684955,-0.0437059354045068,-0.253850372636802,-0.192222200554989,-0.224879202640081,-0.13655676588303,-0.158738003738928,-0.331159453683005,-0.291884377754862,0.0548656667689493,-0.201214435988747,-0.0629380475006388,0.0403165434720937,-0.491204303287981,-0.0935157053343916,0.11421631597595,-0.0610426966361791,-0.198402550283868,0.167206467403871,-0.33543959377539,-0.249958050589805,-0.296480717849587,0.0454022022982213
"ec308",-0.122350754830841,-0.268037696077255,0.0418788446348497,-0.09554203647645,-0.0579700294485463,0.112069482270451,-0.165712727250336,-0.0424907829559499,0.0247887998462525,-0.0793041748352126,0.0867967182242655,-0.203860264444504,-0.0606294481612194,-0.26628680932883,0.0796102622964686,0.0185766170502805,-0.0797769842517295,-0.0197505556488378,-0.163352839286813,0.134847464555903,0.00595751055172178,-0.261992806627974,0.147869546714108,-0.07469112029567,0.045781673139741,-0.308580230392962,-0.224338903081978,0.0189863531221224,0.132565341465369,-0.0290000532075225,-0.0285119701400974,-0.306879483182244,-0.266348406881178,-0.207507302914515,-0.233838697441711,-0.178137113929785,0.017456351946502,-0.198403893324669,-0.0515112428929172,-0.176472482935407,0.0124286237135274,-0.0162005151520562,-0.20958354273538,-0.186509853130945,-0.0887794506043309,-0.180111837355869,-0.155493776429156,-0.19954054543023,0.0424520357668041,0.10282205767396,0.0526232544274323
"ec309",-0.251834583778566,-0.215254589001229,-0.180858691844881,0.208000661287221,-0.0891009388215528,0.0203255794909346,-0.25670953346606,-0.142426182448369,-0.148998633871718,-0.170217687439804,-0.0340716337391667,-0.306802270208909,-0.229625790146249,0.205567953489556,-0.178839910361648,-0.159695469840296,-0.338909826723853,-0.161818184477089,-0.295788506548142,0.19908892337461,-0.11108321312286,-0.285366069590135,0.314113640903539,0.151609533705557,0.382571837312307,0.0227517610345461,-0.0270045013067119,-0.0277764926117832,0.149310285498472,-0.10296454016185,-0.204964769662196,-0.389384908665967,-0.131540942104467,-0.178710665791161,-0.207729195411692,-0.37275968518675,-0.0624531413986622,0.0430025803866143,-0.142292017261223,-0.135563355798767,-0.0195598239443739,-0.399509832543077,-0.17408153105553,-0.145455731105229,-0.0354040434092676,-0.205040600106693,0.0878705653273399,-0.218920453192232,-0.248056501708606,-0.103493713607788,0.150581244456393
"ec311",-0.175126410688838,-0.451558058274099,-0.0295130803367977,0.159754272261476,-0.321964181334216,0.0446953137696016,-0.201372500632659,-0.120723665394094,-0.106196123886411,-0.161211836654246,-0.284932108374049,-0.226600003734159,0.128119052036426,0.0422409023951261,0.025803157721349,0.103629444925122,-0.0859905828332928,0.0335744889738665,0.0899085402111895,0.446096800011969,-0.0686157449713824,-0.115931922580962,-0.237767294529295,-0.294003008072485,-0.0118999724111888,-0.564340444771347,-0.504452833440187,-0.0307570856610477,-0.134999375236933,0.115827869145863,0.0305498210006722,-0.294334578133751,-0.0768866130948664,-0.231380708298966,-0.0385876036174364,-0.16554965291724,-0.174529612148828,-0.288944130189005,-0.0392502093714967,-0.131889308653986,0.0559717354111948,-0.28270326257491,-0.0840981615069053,-0.0304405509939746,-0.0949887492674751,-0.15355104807058,0.110412493576678,-0.223463995206182,0.217522714698471,-0.140108470850583,-0.12963430797929
"ec312",-0.186560764301271,-0.487967151550322,0.0553369402794278,0.0857209751010727,-0.127784737650488,0.145703418234694,-0.156961507757979,-0.20102879417263,0.012216359145613,0.00766272438197471,0.0562531299642056,-0.274502736370657,-0.304133599235646,0.0857916366235831,-0.0324035661066991,0.00228161354700365,-0.324495256572863,-0.0951423713753239,-0.147247755430401,0.32223252127355,-0.0880108387416564,0.01207260220727,-0.0459064839647142,-0.117185487256675,0.118933187699963,-0.0963417183370233,-0.168654383248302,0.0340558940117794,0.0239916530333998,0.0299955839337081,-0.108641682438786,-0.330458272602645,-0.422528660356379,-0.12897969993249,-0.0733149528341523,-0.374010982107153,-0.0116762728326863,-0.232407444339749,-0.282679666508036,-0.165189484840125,0.159821682275082,-0.274337858212856,-0.123879158126202,-0.00390650040670834,0.149018715439766,0.0235257960221971,0.0551638245296595,-0.109192866563558,-0.094612707491289,-0.282519087217849,0.262919332192902
"ec315",-0.014082470662201,-0.393197525531789,0.00230370667010285,-0.391493770457674,-0.214636845754893,0.0673892901632822,-0.233544335814627,-0.140895285865514,0.0589490528650606,-0.171939724539993,-0.275132276004726,-0.329413914926519,0.109279273642024,-0.462690780146267,0.0244686814154565,0.0729077351169902,-0.00598514162626534,0.0997650659205664,-0.0247245926170179,0.158355817171231,0.017910603184013,-0.162300577507056,-0.210742236039505,-0.320469105679714,-0.106472610569462,-0.403735444896441,-0.360771761139313,0.0944806538364574,-0.110545971519675,-0.0469273276539901,0.0594826153915599,-0.26660348249503,-0.210446544579416,-0.229453325332849,-0.271094803652006,-0.172833543373649,-0.0366943912378345,-0.17627665717863,0.0435743461539471,-0.0369877369189519,-0.0986442298501365,-0.247617255271813,-0.0247649526240766,-0.263698316413427,-0.110269982170158,-0.177015974355415,-0.106926498772042,-0.181729870093016,-0.132581449408217,-0.129251367490523,-0.145520208493758
